"dataset","nhidden","nlayers","layerForm","valAccuracy","learningrate","testAccuracy"
"plant-texture",256,4,"rect",0.864220136404038,1,0.835000038146973
"plant-texture",256,2,"cone",0.851376128196716,0.1,0.827499985694885
"plant-texture",1024,4,"cone",0.851376116275787,1,0.832499980926514
"plant-texture",1024,3,"cone",0.835779786109924,1,0.832499980926514
"plant-texture",1024,3,"rect",0.834862351417541,0.1,0.817499995231628
"plant-texture",512,2,"rect",0.834862351417541,1,0.829999923706055
"plant-texture",1024,2,"rect",0.833027511835098,0.1,0.819999933242798
"plant-texture",1024,2,"cone",0.832110047340393,1,0.842499971389771
"plant-texture",512,2,"cone",0.831192636489868,1,0.829999983310699
"plant-texture",512,4,"cone",0.830275177955627,1,0.832499980926514
"plant-texture",256,3,"rect",0.828440350294113,1,0.832500040531158
"plant-texture",256,3,"rect",0.825688004493713,0.1,0.804999947547913
"plant-texture",256,4,"cone",0.824770629405975,1,0.822499990463257
"plant-texture",256,3,"cone",0.823853218555451,1,0.800000011920929
"plant-texture",256,2,"rect",0.822018325328827,1,0.827499985694885
"plant-texture",1024,2,"cone",0.81926600933075,0.1,0.824999988079071
"plant-texture",512,3,"cone",0.819266003370285,1,0.839999973773956
"plant-texture",512,2,"cone",0.816513776779175,0.01,0.772500038146973
"plant-texture",512,4,"rect",0.816513764858246,0.1,0.804999947547913
"plant-texture",256,2,"rect",0.81651371717453,0.1,0.804999947547913
"plant-texture",512,3,"rect",0.814678847789764,0.1,0.817499995231628
"plant-texture",1024,8,"cone",0.809174311161041,1,0.772500038146973
"plant-texture",512,2,"rect",0.809174299240112,0.1,0.824999988079071
"plant-texture",256,2,"cone",0.808256828784943,1,0.857500076293945
"plant-texture",512,8,"rect",0.806421995162964,0.1,0.762500047683716
"plant-texture",512,3,"cone",0.799082571268082,0.1,0.820000052452087
"plant-texture",1024,4,"rect",0.798165082931519,0.1,0.805000066757202
"plant-texture",1024,2,"rect",0.798165082931519,0.01,0.819999992847443
"plant-texture",256,3,"cone",0.793577939271927,0.1,0.777500033378601
"plant-texture",1024,8,"rect",0.791743123531342,0.1,0.794999957084656
"plant-texture",256,8,"cone",0.788990813493729,1,0.799999952316284
"plant-texture",512,2,"cone",0.784403622150421,0.1,0.804999947547913
"plant-texture",512,8,"cone",0.783486235141754,1,0.8125
"plant-texture",1024,4,"cone",0.779816508293152,0.1,0.797500014305115
"plant-texture",256,4,"rect",0.779816508293152,0.1,0.797500014305115
"plant-texture",512,3,"cone",0.779816508293152,0.01,0.777500033378601
"plant-texture",512,3,"rect",0.779816484451294,0.01,0.789999961853027
"plant-texture",512,8,"cone",0.776146751642227,0.1,0.759999990463257
"plant-texture",512,3,"rect",0.772477030754089,1,0.809999942779541
"plant-texture",256,8,"rect",0.771559602022171,1,0.789999961853027
"plant-texture",1024,4,"rect",0.770642161369324,0.01,0.794999957084656
"plant-texture",256,4,"cone",0.770642161369324,0.1,0.757500052452087
"plant-texture",1024,3,"cone",0.770642161369324,0.01,0.769999980926514
"plant-texture",512,16,"rect",0.769724762439728,0.1,0.740000009536743
"plant-texture",1024,8,"cone",0.763302731513977,0.1,0.764999985694885
"plant-texture",1024,3,"rect",0.76146787405014,0.01,0.784999966621399
"plant-texture",1024,2,"cone",0.759632986783981,0.01,0.779999971389771
"plant-texture",512,4,"cone",0.758715629577637,0.1,0.792500019073486
"plant-texture",512,16,"cone",0.755045849084854,0.1,0.684999942779541
"plant-texture",256,2,"rect",0.752293586730957,0.01,0.777499914169312
"plant-texture",256,4,"rect",0.750458705425262,0.01,0.762499988079071
"plant-texture",256,2,"cone",0.745871585607529,0.01,0.784999966621399
"plant-texture",256,3,"cone",0.745871537923813,0.01,0.772499978542328
"plant-texture",1024,3,"cone",0.743119257688522,0.1,0.814999938011169
"plant-texture",512,4,"cone",0.743119239807129,0.01,0.792500019073486
"plant-texture",512,4,"rect",0.733944892883301,0.01,0.779999971389771
"plant-texture",512,2,"rect",0.731192648410797,0.01,0.772500038146973
"plant-texture",256,3,"rect",0.72477063536644,0.01,0.757499933242798
"plant-texture",1024,16,"rect",0.716513729095459,0.1,0.730000019073486
"plant-texture",1024,4,"cone",0.715596306324005,0.01,0.755000054836273
"plant-texture",256,8,"rect",0.706421971321106,0.1,0.737499952316284
"plant-texture",1024,16,"cone",0.688073396682739,0.1,0.732499957084656
"plant-texture",256,4,"cone",0.679816478490829,0.01,0.684999942779541
"plant-texture",256,16,"rect",0.671559578180313,0.1,0.695000052452087
"plant-texture",256,8,"cone",0.652293556928635,0.1,0.707499980926514
"plant-texture",256,16,"cone",0.649541246891022,0.1,0.694999992847443
"plant-texture",1024,16,"rect",0.633027493953705,0.01,0.642499983310699
"plant-texture",1024,8,"rect",0.60550457239151,0.01,0.634999990463257
"plant-texture",512,8,"rect",0.596330225467682,0.01,0.604999959468842
"plant-texture",512,16,"rect",0.559633016586304,0.01,0.594999969005585
"plant-texture",256,8,"rect",0.532110035419464,0.01,0.555000007152557
"plant-texture",1024,32,"rect",0.517431157827377,0.01,0.504999995231628
"plant-texture",1024,16,"cone",0.511926585435867,0.01,0.5625
"plant-texture",512,16,"cone",0.510091724991798,0.01,0.522499978542328
"plant-texture",1024,8,"cone",0.494495412707329,0.01,0.539999961853027
"plant-texture",512,8,"cone",0.470642158389092,0.01,0.489999979734421
"plant-texture",512,32,"rect",0.466972452402115,0.01,0.499999970197678
"plant-texture",256,8,"cone",0.458715587854385,0.01,0.459999978542328
"plant-texture",256,16,"rect",0.448623830080032,0.01,0.497499972581863
"plant-texture",256,16,"cone",0.419266021251678,0.01,0.427500009536743
"plant-texture",256,32,"rect",0.403669700026512,0.01,0.459999978542328
"plant-texture",512,32,"cone",0.344036671519279,0.01,0.377499997615814
"plant-texture",256,32,"cone",0.245871542394161,0.01,0.280000001192093
"plant-texture",1024,32,"cone",0.0889908224344254,0.01,0.137499988079071
"plant-texture",1024,2,"rect",0.0770642172545195,1,0
"plant-texture",1024,16,"cone",0.0238532096147537,1,0.0400000028312206
"plant-texture",512,16,"cone",0.0211009159684181,1,0.0324999988079071
"plant-texture",512,4,"rect",0.0192660551518202,1,0.00999999977648258
"plant-texture",1024,32,"rect",0.0165137607604265,1,0.00999999977648258
"plant-texture",1024,3,"rect",0.016513760201633,1,0.00749999983236194
"plant-texture",512,32,"cone",0.0155963296070695,0.1,0.0199999995529652
"plant-texture",256,16,"cone",0.0155963296070695,1,0.0299999993294477
"plant-texture",1024,16,"rect",0.0137614673003554,1,0.00999999977648258
"plant-texture",256,32,"rect",0.0128440361469984,0.1,0.0224999990314245
"plant-texture",1024,8,"rect",0.0110091738402843,1,0.00999999977648258
"plant-texture",1024,4,"rect",0.0110091738402843,1,0.00999999977648258
"plant-texture",512,32,"rect",0.0100917426869273,1,0.00999999977648258
"plant-texture",512,16,"rect",0.0100917426869273,1,0.00999999977648258
"plant-texture",1024,32,"rect",0.00825688038021326,0.1,0.00999999977648258
"plant-texture",256,32,"rect",0.00733944922685623,1,0.00999999977648258
"plant-texture",256,16,"rect",0.00733944922685623,1,0.0199999995529652
"plant-texture",512,32,"rect",0.0064220180734992,0.1,0.00999999977648258
"plant-texture",512,8,"rect",0.0064220180734992,1,0.00999999977648258
"plant-texture",1024,32,"cone",0.00458715576678514,1,0.00999999977648258
"plant-texture",256,32,"cone",0.00366972461342812,0.1,0.00999999977648258
"plant-texture",512,32,"cone",0.00275229346007109,1,0.00999999977648258
"plant-texture",1024,32,"cone",0.00183486230671406,0.1,0.00999999977648258
"plant-texture",256,32,"cone",0.000917431153357029,1,0.00999999977648258
