"dataset","learningrate","testAccuracy","layerForm","nhidden","nlayers","valAccuracy"
"semeion",1,0.944723546504974,"cone",256,2,0.943119239807129
"semeion",0.1,0.929648220539093,"rect",512,3,0.935779809951782
"semeion",0.1,0.937185883522034,"rect",512,4,0.935779792070389
"semeion",0.1,0.917085468769073,"cone",512,3,0.935779774188995
"semeion",1,0.949748814105988,"cone",256,4,0.935779750347138
"semeion",0.1,0.937185943126678,"cone",1024,2,0.935779738426209
"semeion",0.1,0.942211031913757,"rect",512,2,0.926605522632599
"semeion",1,0.939698457717896,"cone",1024,4,0.92660551071167
"semeion",1,0.947236180305481,"cone",512,2,0.926605463027954
"semeion",1,0.934673309326172,"rect",256,2,0.92660545706749
"semeion",0.1,0.924623131752014,"rect",1024,3,0.926605421304703
"semeion",0.1,0.924623131752014,"rect",256,3,0.917431175708771
"semeion",1,0.949748694896698,"rect",256,3,0.917431175708771
"semeion",0.1,0.924623131752014,"rect",256,2,0.917431163787842
"semeion",1,0.93969851732254,"cone",1024,8,0.916513687372208
"semeion",1,0.939698457717896,"cone",256,3,0.914678877592087
"semeion",1,0.9321608543396,"rect",512,2,0.912843972444534
"semeion",1,0.934673368930817,"rect",256,4,0.91284396648407
"semeion",0.1,0.886934638023376,"cone",256,3,0.908256888389587
"semeion",1,0.947236180305481,"cone",1024,2,0.908256888389587
"semeion",1,0.952261328697205,"rect",512,3,0.90825686454773
"semeion",0.1,0.909547686576843,"cone",256,2,0.908256846666336
"semeion",1,0.929648280143738,"cone",512,4,0.908256828784943
"semeion",0.1,0.91206032037735,"rect",512,8,0.907339400053024
"semeion",0.1,0.90452253818512,"cone",512,16,0.906421965360642
"semeion",1,0.949748694896698,"cone",512,3,0.901834845542908
"semeion",0.01,0.917085409164429,"rect",1024,2,0.901834827661514
"semeion",0.1,0.917085409164429,"cone",1024,16,0.90091740489006
"semeion",0.1,0.917085409164429,"rect",1024,8,0.900000017881394
"semeion",1,0.937185943126678,"cone",512,8,0.899999916553497
"semeion",0.01,0.879396915435791,"cone",1024,3,0.899082541465759
"semeion",0.01,0.914572834968567,"rect",512,3,0.899082541465759
"semeion",0.01,0.899497449398041,"rect",512,2,0.899082541465759
"semeion",1,0.952261209487915,"cone",1024,3,0.899082517623901
"semeion",0.1,0.9321608543396,"rect",1024,2,0.899082481861114
"semeion",1,0.919597923755646,"cone",256,8,0.896330243349075
"semeion",1,0.922110497951508,"rect",1024,2,0.891743057966232
"semeion",0.1,0.927135705947876,"rect",1024,4,0.889908301830292
"semeion",0.01,0.914572834968567,"cone",1024,2,0.889908194541931
"semeion",0.01,0.909547746181488,"cone",512,2,0.889908194541931
"semeion",0.1,0.917085349559784,"cone",1024,4,0.886238485574723
"semeion",0.1,0.891959726810455,"cone",512,4,0.880733966827393
"semeion",0.1,0.896984934806824,"rect",256,4,0.880733966827393
"semeion",0.01,0.902010023593903,"rect",1024,3,0.880733931064606
"semeion",0.01,0.90452253818512,"rect",256,2,0.880733907222748
"semeion",0.01,0.851758718490601,"cone",512,3,0.880733895301819
"semeion",0.1,0.90452253818512,"rect",1024,16,0.880733895301819
"semeion",0.01,0.881909489631653,"cone",256,3,0.879816418886185
"semeion",0.01,0.899497509002686,"rect",1024,4,0.871559619903565
"semeion",0.1,0.889447212219238,"rect",512,16,0.866972464323044
"semeion",0.1,0.859296441078186,"rect",256,16,0.866972434520722
"semeion",0.1,0.876884400844574,"cone",256,16,0.863302719593048
"semeion",0.1,0.929648220539093,"cone",1024,3,0.862385332584381
"semeion",0.1,0.896984815597534,"cone",1024,8,0.862385284900665
"semeion",0.1,0.884422063827515,"cone",256,4,0.853210985660553
"semeion",0.1,0.846733689308167,"rect",256,8,0.84403669834137
"semeion",0.01,0.87185937166214,"rect",256,3,0.84403669834137
"semeion",0.1,0.919597983360291,"cone",512,2,0.84403669834137
"semeion",0.01,0.896984934806824,"cone",256,2,0.844036686420441
"semeion",0.01,0.856783926486969,"rect",512,4,0.844036638736725
"semeion",0.01,0.856783926486969,"cone",1024,4,0.838532090187073
"semeion",0.01,0.836683332920074,"rect",256,4,0.82018346786499
"semeion",0.1,0.839195907115936,"cone",512,8,0.815596330165863
"semeion",0.01,0.788944721221924,"rect",256,32,0.808256852626801
"semeion",0.1,0.854271292686462,"cone",256,8,0.794495403766632
"semeion",0.01,0.793969810009003,"cone",256,4,0.788990795612335
"semeion",0.01,0.809045195579529,"rect",512,32,0.785321080684662
"semeion",0.01,0.806532621383667,"rect",1024,32,0.770642167329788
"semeion",0.01,0.753768801689148,"rect",1024,16,0.761467814445496
"semeion",0.01,0.821608006954193,"cone",512,4,0.761467814445496
"semeion",0.01,0.613065242767334,"rect",512,16,0.711009174585343
"semeion",0.01,0.698492407798767,"rect",1024,8,0.688073337078094
"semeion",0.01,0.643216013908386,"rect",512,8,0.648623824119568
"semeion",0.01,0.600502490997314,"rect",256,16,0.639449489116669
"semeion",0.01,0.567839205265045,"rect",256,8,0.57798159122467
"semeion",0.01,0.600502490997314,"cone",1024,16,0.571559584140777
"semeion",0.01,0.47989946603775,"cone",512,16,0.533027499914169
"semeion",0.01,0.505025088787079,"cone",256,16,0.519266030192375
"semeion",0.01,0.464824110269547,"cone",1024,8,0.469724744558334
"semeion",0.01,0.354271352291107,"cone",512,8,0.39541283249855
"semeion",0.01,0.288944691419601,"cone",256,8,0.305504578351975
"semeion",0.01,0.241206005215645,"cone",512,32,0.292660531401634
"semeion",1,0.238693445920944,"cone",1024,16,0.197247697412968
"semeion",1,0.183417066931725,"cone",512,32,0.187155948579311
"semeion",1,0.203517571091652,"cone",1024,32,0.172477050125599
"semeion",0.01,0.135678380727768,"cone",1024,32,0.152293568849564
"semeion",0.01,0.097989946603775,"cone",256,32,0.130275224894285
"semeion",0.1,0.097989946603775,"rect",256,32,0.122935774922371
"semeion",1,0.0954773798584938,"rect",1024,3,0.119266046583653
"semeion",1,0.100502505898476,"rect",512,4,0.114678889885545
"semeion",1,0.100502505898476,"rect",512,32,0.112844030559063
"semeion",1,0.097989946603775,"rect",256,16,0.111926600709558
"semeion",1,0.0954773798584938,"rect",256,8,0.111926598101854
"semeion",1,0.100502505898476,"rect",512,16,0.110091738402844
"semeion",1,0.100502513349056,"rect",1024,16,0.110091736540198
"semeion",1,0.113065324723721,"rect",512,8,0.110091736167669
"semeion",1,0.100502505898476,"rect",1024,4,0.110091736167669
"semeion",1,0.097989946603775,"rect",1024,8,0.109174302965403
"semeion",1,0.097989946603775,"rect",256,32,0.105504581332207
"semeion",0.1,0.0979899391531944,"rect",512,32,0.0981651335954666
"semeion",0.1,0.113065324723721,"rect",1024,32,0.0954128380864859
"semeion",1,0.113065324723721,"cone",256,16,0.0935779746621847
"semeion",1,0.097989946603775,"cone",512,16,0.0917431149631739
"semeion",1,0.0954773798584938,"rect",1024,32,0.0917431123554706
"semeion",0.1,0.100502505898476,"cone",1024,32,0.0880733888596296
"semeion",1,0.100502513349056,"cone",256,32,0.0871559601277113
"semeion",0.1,0.100502513349056,"cone",512,32,0.0862385276705027
"semeion",0.1,0.097989946603775,"cone",256,32,0.081651371717453
