"dataset","testAccuracy","nhidden","valAccuracy","learningrate","nlayers","layerForm"
"pittsburg-bridges-REL-L",0.730769276618958,512,0.74285717010498,0.01,4,"cone"
"pittsburg-bridges-REL-L",0.653846144676208,512,0.728571456670761,0.01,8,"cone"
"pittsburg-bridges-REL-L",0.730769276618958,512,0.714285731315613,0.01,16,"rect"
"pittsburg-bridges-REL-L",0.692307710647583,1024,0.714285731315613,0.01,8,"rect"
"pittsburg-bridges-REL-L",0.615384697914124,512,0.714285731315613,0.01,8,"rect"
"pittsburg-bridges-REL-L",0.692307710647583,1024,0.714285731315613,0.01,4,"rect"
"pittsburg-bridges-REL-L",0.730769276618958,256,0.714285731315613,0.01,4,"rect"
"pittsburg-bridges-REL-L",0.730769276618958,512,0.714285731315613,0.1,4,"cone"
"pittsburg-bridges-REL-L",0.692307710647583,256,0.714285731315613,0.1,4,"cone"
"pittsburg-bridges-REL-L",0.730769276618958,512,0.714285731315613,0.01,3,"cone"
"pittsburg-bridges-REL-L",0.769230842590332,256,0.714285731315613,0.01,3,"cone"
"pittsburg-bridges-REL-L",0.653846144676208,512,0.714285731315613,0.1,3,"cone"
"pittsburg-bridges-REL-L",0.615384638309479,512,0.714285731315613,0.1,3,"rect"
"pittsburg-bridges-REL-L",0.730769276618958,256,0.714285731315613,0.1,3,"cone"
"pittsburg-bridges-REL-L",0.692307710647583,1024,0.714285731315613,0.01,2,"cone"
"pittsburg-bridges-REL-L",0.692307710647583,512,0.714285731315613,0.01,2,"rect"
"pittsburg-bridges-REL-L",0.807692408561707,256,0.714285731315613,0.01,2,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.700000017881393,0.1,4,"rect"
"pittsburg-bridges-REL-L",0.692307710647583,256,0.700000017881393,0.01,3,"rect"
"pittsburg-bridges-REL-L",0.692307710647583,1024,0.700000017881393,0.1,3,"cone"
"pittsburg-bridges-REL-L",0.653846144676208,1024,0.685714304447174,0.01,16,"rect"
"pittsburg-bridges-REL-L",0.730769276618958,1024,0.685714304447174,1,3,"cone"
"pittsburg-bridges-REL-L",0.653846144676208,512,0.685714304447174,0.1,2,"rect"
