"dataset","nhidden","layerForm","valAccuracy","learningrate","nlayers","testAccuracy"
"pendigits",1024,"rect",0.998650455474854,0.01,4,0.965694606304169
"pendigits",1024,"cone",0.998380565643311,1,4,0.969696938991547
"pendigits",512,"cone",0.997705811262131,0.1,8,0.969982802867889
"pendigits",512,"cone",0.997705799341202,0.01,3,0.969696938991547
"pendigits",512,"cone",0.997570866346359,0.1,3,0.971126317977905
"pendigits",1024,"cone",0.997570842504501,0.1,3,0.969982743263245
"pendigits",512,"rect",0.997435927391052,0.1,3,0.972269833087921
"pendigits",512,"rect",0.997435903549194,0.1,2,0.971698105335236
"pendigits",512,"rect",0.997435879707337,0.1,4,0.969982802867889
"pendigits",256,"cone",0.997301012277603,0.01,3,0.9679816365242
"pendigits",256,"rect",0.997300970554352,0.01,2,0.968553423881531
"pendigits",256,"rect",0.997300964593888,0.01,3,0.969125151634216
"pendigits",256,"rect",0.997300958633423,0.1,16,0.970268726348877
"pendigits",512,"cone",0.997300958633423,0.01,4,0.969411134719849
"pendigits",512,"rect",0.997300952672958,0.01,2,0.966838121414185
"pendigits",1024,"rect",0.997300946712494,0.1,4,0.967695772647858
"pendigits",1024,"rect",0.997300934791565,0.1,3,0.97055459022522
"pendigits",256,"rect",0.997300934791565,0.1,3,0.966266393661499
"pendigits",1024,"rect",0.997300934791565,0.01,2,0.972269833087921
"pendigits",1024,"rect",0.997300934791565,0.1,2,0.972841620445251
"pendigits",512,"rect",0.997300922870636,0.01,4,0.969696938991547
"pendigits",1024,"rect",0.997300922870636,0.01,3,0.971984028816223
"pendigits",1024,"cone",0.997166013717651,1,2,0.96483701467514
"pendigits",1024,"cone",0.997165977954865,0.1,2,0.972555756568909
"pendigits",1024,"cone",0.997165977954865,0.01,2,0.969410955905914
"pendigits",256,"rect",0.996761155128479,0.1,2,0.968267500400543
"pendigits",256,"cone",0.996626210212708,1,2,0.968267560005188
"pendigits",256,"rect",0.996626192331314,0.1,8,0.969411075115204
"pendigits",1024,"cone",0.996491247415543,0.01,3,0.9679816365242
"pendigits",256,"cone",0.996356272697449,0.1,8,0.966838121414185
"pendigits",1024,"cone",0.996221339702606,0.1,8,0.968839287757874
"pendigits",512,"cone",0.996221333742142,0.1,4,0.96740984916687
"pendigits",512,"cone",0.996221303939819,1,2,0.969982743263245
"pendigits",256,"cone",0.996086394786835,0.1,4,0.968553423881531
"pendigits",512,"cone",0.996086370944977,0.1,2,0.972841620445251
"pendigits",1024,"cone",0.99608633518219,0.1,4,0.971983909606934
"pendigits",512,"cone",0.995951467752457,0.01,2,0.967123985290527
"pendigits",256,"rect",0.995951455831528,0.01,4,0.963121771812439
"pendigits",256,"rect",0.995951449871063,1,2,0.968267560005188
"pendigits",1024,"cone",0.995951437950134,0.01,4,0.97169816493988
"pendigits",256,"rect",0.995951437950134,0.1,4,0.972269892692566
"pendigits",256,"cone",0.995951437950134,0.1,2,0.971698045730591
"pendigits",1024,"cone",0.995951437950134,1,3,0.969411015510559
"pendigits",256,"cone",0.995951426029205,1,3,0.969125211238861
"pendigits",512,"rect",0.995951420068741,0.01,3,0.971412241458893
"pendigits",512,"cone",0.995951420068741,1,3,0.971698045730591
"pendigits",1024,"rect",0.995951414108276,0.1,8,0.968839347362518
"pendigits",512,"cone",0.995951366424561,1,4,0.971983909606934
"pendigits",256,"cone",0.995276647806168,0.1,3,0.966838240623474
"pendigits",256,"cone",0.995141732692719,0.01,4,0.965408742427826
"pendigits",256,"cone",0.995141673088074,1,4,0.968553364276886
"pendigits",256,"cone",0.994871819019318,0.01,2,0.964551091194153
"pendigits",1024,"rect",0.994601929187775,0.01,8,0.969125211238861
"pendigits",256,"cone",0.994601905345917,0.1,16,0.964265286922455
"pendigits",256,"rect",0.994601881504059,1,3,0.970268726348877
"pendigits",512,"cone",0.993522310256958,1,8,0.966266393661499
"pendigits",256,"rect",0.993522226810455,0.01,8,0.964265286922455
"pendigits",512,"cone",0.993252384662628,0.01,8,0.964836955070496
"pendigits",512,"rect",0.99325236082077,0.1,8,0.970268666744232
"pendigits",1024,"cone",0.993252342939377,1,8,0.967123985290527
"pendigits",512,"rect",0.993252336978912,0.01,8,0.963979363441467
"pendigits",1024,"cone",0.993117427825928,0.01,8,0.959119439125061
"pendigits",512,"rect",0.992847508192062,0.1,16,0.973127365112305
"pendigits",512,"rect",0.992172718048096,1,2,0.966838121414185
"pendigits",1024,"rect",0.991632914543152,1,2,0.963407635688782
"pendigits",256,"cone",0.991497957706451,1,8,0.966838181018829
"pendigits",512,"cone",0.991363042593003,0.1,16,0.960262954235077
"pendigits",1024,"cone",0.99082322716713,0.1,16,0.963407695293427
