"dataset","valAccuracy","nlayers","nhidden","layerForm","testAccuracy","learningrate"
"waveform",0.869616520404816,2,512,"cone",0.844799995422363,0.01
"waveform",0.867846608161926,4,256,"cone",0.8367999792099,0.01
"waveform",0.866961658000946,4,512,"cone",0.835199952125549,0.1
"waveform",0.866371685266495,2,512,"cone",0.818399906158447,1
"waveform",0.865781706571579,2,1024,"cone",0.851200044155121,1
"waveform",0.864896756410599,8,1024,"rect",0.846400022506714,0.1
"waveform",0.864306789636612,3,1024,"cone",0.840799987316132,0.01
"waveform",0.862831860780716,4,256,"rect",0.835999965667725,0.01
"waveform",0.862241894006729,2,256,"cone",0.842399954795837,1
"waveform",0.861946898698807,8,1024,"cone",0.83840000629425,0.1
"waveform",0.861651945114136,2,256,"cone",0.849599957466125,0.01
"waveform",0.861061948537827,2,512,"rect",0.843999981880188,0.01
"waveform",0.86106191277504,4,256,"rect",0.8264000415802,0.1
"waveform",0.86047198176384,3,256,"rect",0.817600011825562,1
"waveform",0.860176974534989,3,1024,"cone",0.8367999792099,1
"waveform",0.859882009029388,32,256,"rect",0.839199960231781,0.01
"waveform",0.859882003068924,4,1024,"cone",0.833599925041199,0.01
"waveform",0.85988199710846,4,1024,"cone",0.839999914169312,1
"waveform",0.859587007761001,8,256,"cone",0.826399922370911,0.1
"waveform",0.859587001800537,16,512,"rect",0.819999992847443,0.01
"waveform",0.859586995840073,3,512,"cone",0.829599916934967,1
"waveform",0.859292036294937,2,512,"cone",0.834399938583374,0.1
"waveform",0.858997046947479,3,1024,"cone",0.838399887084961,0.1
"waveform",0.85870206952095,2,512,"rect",0.823200047016144,0.1
"waveform",0.858407080173492,8,1024,"cone",0.831999897956848,1
"waveform",0.858407074213028,2,256,"cone",0.841600000858307,0.1
"waveform",0.858112096786499,8,512,"cone",0.834399938583374,1
"waveform",0.857817107439041,4,1024,"cone",0.830399990081787,0.1
"waveform",0.857522135972977,3,256,"cone",0.832000017166138,1
"waveform",0.857522135972977,3,512,"cone",0.8367999792099,0.01
"waveform",0.85722713470459,2,1024,"cone",0.846399962902069,0.1
"waveform",0.85693216919899,2,1024,"cone",0.851199984550476,0.01
"waveform",0.856932139396668,8,256,"cone",0.815999984741211,1
"waveform",0.856637173891067,4,256,"cone",0.831999957561493,1
"waveform",0.856637173891067,3,256,"cone",0.83759993314743,0.01
"waveform",0.856047201156616,2,1024,"rect",0.836000025272369,0.01
"waveform",0.856047189235687,16,256,"rect",0.840799927711487,0.1
"waveform",0.856047177314758,2,256,"rect",0.833599925041199,0.01
"waveform",0.855457228422165,4,512,"cone",0.843999981880188,1
"waveform",0.8548672914505,16,1024,"cone",0.843999981880188,0.1
"waveform",0.854277276992798,4,1024,"rect",0.829599976539612,0.01
"waveform",0.853982299566269,2,256,"rect",0.819199919700623,0.1
"waveform",0.851622414588928,3,256,"cone",0.843999981880188,0.1
"waveform",0.851327466964722,3,512,"cone",0.842399954795837,0.1
