"dataset","learningrate","nlayers","layerForm","nhidden","testAccuracy","valAccuracy"
"vertebral-column-2clases",1,3,"rect",256,0.649350643157959,0.55999998152256
"vertebral-column-2clases",1,2,"rect",512,0.675324678421021,0.547999981045723
"vertebral-column-2clases",1,16,"rect",1024,0.675324678421021,0.531999981403351
"vertebral-column-2clases",1,3,"rect",1024,0.675324678421021,0.519999986886978
"vertebral-column-2clases",1,8,"rect",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.01,32,"cone",1024,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.01,32,"cone",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.01,32,"cone",256,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.1,32,"cone",1024,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.1,32,"rect",1024,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.1,32,"cone",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.1,32,"rect",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.1,32,"cone",256,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.1,32,"rect",256,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,32,"cone",1024,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,32,"cone",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,32,"rect",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,32,"cone",256,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,32,"rect",256,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.01,16,"cone",1024,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.01,16,"cone",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.1,16,"cone",1024,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.1,16,"cone",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",0.1,16,"cone",256,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,16,"cone",1024,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,16,"cone",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,16,"rect",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,16,"cone",256,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,16,"rect",256,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,8,"cone",1024,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,8,"cone",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,8,"rect",256,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,4,"rect",1024,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,4,"rect",512,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,2,"rect",1024,0.675324678421021,0.519999980926514
"vertebral-column-2clases",1,32,"rect",1024,0.675324678421021,0.515999981760979
"vertebral-column-2clases",1,8,"rect",1024,0.675324678421021,0.515999981760979
"vertebral-column-2clases",1,3,"rect",512,0.324675321578979,0.511999985575676
"vertebral-column-2clases",1,4,"rect",256,0.324675321578979,0.495999985933304
