"dataset","nhidden","testAccuracy","nlayers","valAccuracy","layerForm","learningrate"
"wine",512,0.977272748947144,16,1,"rect",0.01
"wine",512,0.977272748947144,8,1,"cone",0.01
"wine",512,0.954545497894287,8,1,"rect",0.01
"wine",1024,0.977272748947144,8,1,"cone",0.1
"wine",256,1,8,1,"cone",0.1
"wine",1024,0.977272748947144,4,1,"rect",0.01
"wine",512,0.977272748947144,4,1,"cone",0.01
"wine",512,0.954545497894287,4,1,"rect",0.01
"wine",256,0.977272748947144,4,1,"cone",0.01
"wine",1024,1,4,1,"cone",0.1
"wine",1024,0.977272748947144,4,1,"rect",0.1
"wine",512,1,4,1,"cone",0.1
"wine",256,0.977272748947144,4,1,"cone",0.1
"wine",256,0.977272748947144,4,1,"rect",0.1
"wine",512,0.977272748947144,4,1,"cone",1
"wine",1024,1,3,1,"rect",0.01
"wine",512,0.977272748947144,3,1,"cone",0.01
"wine",512,1,3,1,"rect",0.01
"wine",256,1,3,1,"rect",0.01
"wine",1024,0.977272748947144,3,1,"cone",0.1
"wine",1024,0.977272748947144,3,1,"rect",0.1
"wine",512,1,3,1,"cone",0.1
"wine",512,0.977272748947144,3,1,"rect",0.1
"wine",256,0.977272748947144,3,1,"cone",0.1
"wine",256,0.977272748947144,3,1,"rect",0.1
"wine",1024,0.977272748947144,3,1,"cone",1
"wine",512,0.977272748947144,3,1,"cone",1
"wine",256,1,3,1,"cone",1
"wine",1024,0.977272748947144,2,1,"cone",0.01
"wine",512,1,2,1,"cone",0.01
"wine",256,0.954545497894287,2,1,"cone",0.01
"wine",1024,0.977272748947144,2,1,"cone",0.1
"wine",1024,0.977272748947144,2,1,"rect",0.1
"wine",512,1,2,1,"cone",0.1
"wine",512,1,2,1,"rect",0.1
"wine",256,0.954545497894287,2,1,"cone",0.1
"wine",1024,0.977272748947144,2,1,"cone",1
"wine",512,0.954545497894287,2,1,"cone",1
"wine",512,1,2,1,"rect",1
"wine",256,1,2,1,"cone",1
"wine",256,1,2,1,"rect",1
"wine",256,0.954545497894287,4,0.986666679382324,"cone",1
"wine",512,0.977272748947144,8,0.973333358764648,"cone",0.1
"wine",1024,1,4,0.973333346843719,"cone",1
"wine",1024,0.977272748947144,16,0.946666717529297,"rect",0.01
"wine",256,0.977272748947144,8,0.946666717529297,"rect",0.1
