"dataset","nhidden","testAccuracy","nlayers","layerForm","learningrate","valAccuracy"
"horse-colic",1024,0.794117629528046,4,"rect",0.1,0.900000095367432
"horse-colic",512,0.794117629528046,4,"rect",0.1,0.900000095367432
"horse-colic",1024,0.808823525905609,3,"cone",0.01,0.900000095367432
"horse-colic",256,0.808823525905609,3,"cone",0.1,0.900000095367432
"horse-colic",512,0.8529412150383,2,"rect",0.1,0.900000095367432
"horse-colic",256,0.79411768913269,2,"cone",0.1,0.900000095367432
"horse-colic",256,0.823529422283173,4,"cone",1,0.893333423137665
"horse-colic",256,0.779411733150482,8,"rect",0.1,0.876666742563248
"horse-colic",1024,0.808823525905609,2,"cone",1,0.876666742563248
"horse-colic",1024,0.79411768913269,2,"cone",0.1,0.870000070333481
"horse-colic",512,0.779411733150482,16,"rect",0.01,0.866666734218597
"horse-colic",1024,0.79411768913269,8,"rect",0.01,0.866666734218597
"horse-colic",256,0.823529422283173,4,"rect",0.1,0.866666734218597
"horse-colic",1024,0.808823525905609,4,"cone",1,0.866666734218597
"horse-colic",512,0.838235318660736,3,"rect",0.01,0.866666734218597
"horse-colic",1024,0.794117629528046,3,"cone",0.1,0.866666734218597
"horse-colic",1024,0.808823525905609,3,"rect",0.1,0.866666734218597
"horse-colic",256,0.838235318660736,3,"rect",0.1,0.866666734218597
"horse-colic",1024,0.764705896377563,3,"cone",1,0.866666734218597
"horse-colic",512,0.750000059604645,3,"cone",1,0.866666734218597
"horse-colic",1024,0.794117629528046,2,"rect",0.1,0.866666734218597
"horse-colic",256,0.808823525905609,3,"cone",1,0.853333395719528
"horse-colic",256,0.794117629528046,3,"cone",0.01,0.853333389759064
"horse-colic",256,0.779411792755127,2,"cone",1,0.84000004529953
"horse-colic",1024,0.720588266849518,16,"rect",0.01,0.836666709184647
"horse-colic",512,0.794117629528046,2,"cone",1,0.836666709184647
"horse-colic",512,0.720588266849518,8,"rect",0.01,0.833333373069763
"horse-colic",512,0.867647111415863,8,"rect",0.1,0.833333373069763
"horse-colic",1024,0.794117629528046,4,"rect",0.01,0.833333373069763
"horse-colic",512,0.838235318660736,4,"rect",0.01,0.833333373069763
"horse-colic",256,0.808823525905609,3,"rect",0.01,0.833333373069763
"horse-colic",512,0.838235318660736,3,"cone",0.1,0.833333373069763
"horse-colic",512,0.808823525905609,3,"rect",0.1,0.833333373069763
"horse-colic",1024,0.794117629528046,2,"cone",0.01,0.833333373069763
"horse-colic",512,0.823529422283173,2,"cone",0.01,0.833333373069763
"horse-colic",512,0.823529422283173,2,"rect",0.01,0.833333373069763
"horse-colic",256,0.794117629528046,2,"cone",0.01,0.833333373069763
"horse-colic",256,0.808823525905609,2,"rect",0.01,0.833333373069763
"horse-colic",512,0.75,2,"cone",0.1,0.833333373069763
"horse-colic",256,0.764705896377563,2,"rect",0.1,0.833333373069763
"horse-colic",512,0.779411733150482,4,"cone",1,0.830000066757202
"horse-colic",1024,0.779411792755127,4,"cone",0.1,0.826666712760925
"horse-colic",1024,0.75,8,"rect",0.1,0.810000050067902
"horse-colic",256,0.794117629528046,4,"cone",0.1,0.806666737794876
"horse-colic",512,0.838235318660736,8,"cone",0.1,0.800000071525574
"horse-colic",256,0.808823525905609,4,"rect",0.01,0.800000071525574
"horse-colic",512,0.867647051811218,4,"cone",0.1,0.800000071525574
"horse-colic",1024,0.808823525905609,3,"rect",0.01,0.800000071525574
"horse-colic",512,0.764705896377563,3,"cone",0.01,0.800000071525574
"horse-colic",1024,0.823529422283173,2,"rect",0.01,0.800000071525574
"horse-colic",256,0.691176533699036,8,"cone",0.1,0.780000066757202
"horse-colic",1024,0.764705896377563,8,"cone",0.1,0.780000054836273
"horse-colic",512,0.750000059604645,16,"rect",0.1,0.773333382606507
"horse-colic",1024,0.823529422283173,8,"cone",1,0.770000100135803
"horse-colic",1024,0.852941155433655,4,"cone",0.01,0.766666769981384
"horse-colic",256,0.794117629528046,16,"rect",0.1,0.740000081062317
"horse-colic",512,0.6029412150383,8,"cone",0.01,0.726666706800461
"horse-colic",256,0.632352948188782,16,"rect",0.01,0.710000038146973
"horse-colic",256,0.6029412150383,8,"cone",0.01,0.706666707992554
"horse-colic",256,0.750000059604645,8,"rect",0.01,0.700000047683716
"horse-colic",512,0.691176474094391,8,"cone",1,0.700000047683716
"horse-colic",1024,0.735294103622437,8,"cone",0.01,0.690000057220459
"horse-colic",1024,0.691176474094391,16,"rect",0.1,0.686666715145111
"horse-colic",512,0.617647111415863,32,"rect",0.01,0.660000050067902
"horse-colic",256,0.764705896377563,4,"cone",0.01,0.660000050067902
"horse-colic",512,0.808823525905609,4,"cone",0.01,0.656666696071625
"horse-colic",256,0.54411768913269,32,"rect",0.01,0.616666734218597
"horse-colic",1024,0.602941274642944,2,"rect",1,0.58666672706604
"horse-colic",1024,0.602941274642944,4,"rect",1,0.573333391547203
"horse-colic",1024,0.602941274642944,32,"cone",0.01,0.566666722297668
"horse-colic",512,0.602941274642944,32,"cone",0.01,0.566666722297668
"horse-colic",256,0.602941274642944,32,"cone",0.01,0.566666722297668
"horse-colic",1024,0.602941274642944,32,"cone",0.1,0.566666722297668
"horse-colic",1024,0.602941274642944,32,"rect",0.1,0.566666722297668
"horse-colic",512,0.602941274642944,32,"cone",0.1,0.566666722297668
"horse-colic",512,0.602941274642944,32,"rect",0.1,0.566666722297668
"horse-colic",256,0.602941274642944,32,"cone",0.1,0.566666722297668
"horse-colic",256,0.602941274642944,32,"rect",0.1,0.566666722297668
"horse-colic",1024,0.602941274642944,32,"cone",1,0.566666722297668
"horse-colic",1024,0.602941274642944,32,"rect",1,0.566666722297668
"horse-colic",512,0.602941274642944,32,"cone",1,0.566666722297668
"horse-colic",256,0.602941274642944,32,"cone",1,0.566666722297668
"horse-colic",1024,0.602941274642944,16,"cone",0.01,0.566666722297668
"horse-colic",512,0.602941274642944,16,"cone",0.01,0.566666722297668
"horse-colic",256,0.602941274642944,16,"cone",0.01,0.566666722297668
"horse-colic",1024,0.602941274642944,16,"cone",0.1,0.566666722297668
"horse-colic",512,0.602941274642944,16,"cone",0.1,0.566666722297668
"horse-colic",256,0.602941274642944,16,"cone",0.1,0.566666722297668
"horse-colic",1024,0.602941274642944,16,"cone",1,0.566666722297668
"horse-colic",512,0.602941274642944,16,"cone",1,0.566666722297668
"horse-colic",256,0.602941274642944,16,"cone",1,0.566666722297668
"horse-colic",256,0.602941274642944,16,"rect",1,0.566666722297668
"horse-colic",512,0.602941274642944,8,"rect",1,0.566666722297668
"horse-colic",256,0.602941274642944,8,"cone",1,0.566666722297668
"horse-colic",256,0.602941274642944,8,"rect",1,0.566666722297668
"horse-colic",512,0.602941274642944,4,"rect",1,0.566666722297668
"horse-colic",256,0.602941274642944,4,"rect",1,0.566666722297668
"horse-colic",1024,0.602941274642944,3,"rect",1,0.566666722297668
"horse-colic",512,0.602941274642944,32,"rect",1,0.553333386778831
"horse-colic",256,0.397058844566345,32,"rect",1,0.553333386778831
"horse-colic",1024,0.602941274642944,16,"rect",1,0.553333386778831
"horse-colic",512,0.602941274642944,16,"rect",1,0.553333386778831
"horse-colic",1024,0.602941274642944,8,"rect",1,0.553333386778831
"horse-colic",1024,0.455882370471954,32,"rect",0.01,0.543333381414413
"horse-colic",512,0.602941274642944,3,"rect",1,0.540000051259995
"horse-colic",256,0.397058844566345,3,"rect",1,0.526666715741158
"horse-colic",512,0.602941274642944,2,"rect",1,0.526666715741158
"horse-colic",256,0.573529422283173,2,"rect",1,0.503333377838135
