"dataset","testAccuracy","learningrate","valAccuracy","nlayers","layerForm","nhidden"
"heart-switzerland",0.516129016876221,1,0.6625,2,"cone",256
"heart-switzerland",0.387096762657166,1,0.65,3,"cone",1024
"heart-switzerland",0.419354826211929,0.1,0.6375,16,"cone",512
"heart-switzerland",0.483870953321457,0.1,0.6375,4,"cone",512
"heart-switzerland",0.419354826211929,0.01,0.625,32,"cone",1024
"heart-switzerland",0.419354826211929,0.01,0.625,32,"cone",512
"heart-switzerland",0.419354826211929,0.01,0.625,32,"cone",256
"heart-switzerland",0.419354826211929,0.1,0.625,32,"cone",1024
"heart-switzerland",0.419354826211929,0.1,0.625,32,"cone",512
"heart-switzerland",0.419354826211929,0.1,0.625,32,"rect",512
"heart-switzerland",0.419354826211929,0.1,0.625,32,"cone",256
"heart-switzerland",0.419354826211929,1,0.625,32,"cone",1024
"heart-switzerland",0.419354826211929,1,0.625,32,"cone",256
"heart-switzerland",0.419354826211929,0.1,0.625,16,"cone",256
"heart-switzerland",0.419354826211929,1,0.625,16,"cone",1024
"heart-switzerland",0.419354826211929,1,0.625,16,"cone",512
"heart-switzerland",0.419354826211929,1,0.625,16,"cone",256
"heart-switzerland",0.419354826211929,1,0.625,8,"cone",512
"heart-switzerland",0.419354826211929,1,0.625,8,"cone",256
"heart-switzerland",0.451612889766693,0.01,0.625,4,"rect",256
"heart-switzerland",0.451612889766693,0.01,0.625,2,"rect",512
"heart-switzerland",0.387096762657166,0.1,0.6,16,"rect",256
"heart-switzerland",0.580645143985748,0.1,0.6,3,"cone",512
"heart-switzerland",0.25806450843811,1,0.5875,32,"cone",512
"heart-switzerland",0.483870953321457,0.01,0.575,4,"cone",512
"heart-switzerland",0.225806444883347,0.01,0.5625,32,"rect",256
"heart-switzerland",0.419354826211929,0.1,0.5625,4,"rect",256
"heart-switzerland",0.516129016876221,0.1,0.55,3,"cone",256
"heart-switzerland",0.387096762657166,1,0.5375,4,"cone",1024
"heart-switzerland",0.483870953321457,1,0.525,8,"cone",1024
"heart-switzerland",0.516129016876221,0.1,0.525,4,"rect",512
"heart-switzerland",0.419354826211929,0.01,0.525,2,"cone",256
"heart-switzerland",0.451612889766693,0.01,0.525,3,"cone",1024
"heart-switzerland",0.548387050628662,1,0.5125,4,"cone",512
"heart-switzerland",0.451612889766693,0.01,0.5125,8,"rect",512
"heart-switzerland",0.419354826211929,0.01,0.5125,4,"rect",512
"heart-switzerland",0.451612889766693,0.1,0.5125,3,"rect",256
"heart-switzerland",0.516129016876221,0.01,0.5125,2,"cone",1024
"heart-switzerland",0.419354826211929,0.1,0.5,32,"rect",256
"heart-switzerland",0.387096762657166,0.1,0.5,8,"rect",1024
"heart-switzerland",0.290322571992874,1,0.5,4,"cone",256
"heart-switzerland",0.516129016876221,0.01,0.5,4,"cone",256
"heart-switzerland",0.483870953321457,0.01,0.5,3,"rect",1024
