"dataset","learningrate","valAccuracy","nlayers","testAccuracy","nhidden","layerForm"
"waveform-noise",0.1,0.850652742385864,16,0.867999970912933,1024,"cone"
"waveform-noise",0.1,0.850391626358032,2,0.838399946689606,256,"cone"
"waveform-noise",0.01,0.849086165428162,2,0.847199976444244,256,"cone"
"waveform-noise",1,0.84882504940033,2,0.839199960231781,512,"cone"
"waveform-noise",0.1,0.848563987016678,4,0.847199976444244,1024,"rect"
"waveform-noise",1,0.848302853107452,2,0.842400074005127,256,"cone"
"waveform-noise",0.1,0.848041713237762,8,0.852799952030182,512,"rect"
"waveform-noise",0.1,0.847780680656433,3,0.835199952125549,256,"cone"
"waveform-noise",0.01,0.84751957654953,4,0.839999973773956,256,"cone"
"waveform-noise",0.1,0.847519564628601,3,0.853599965572357,512,"cone"
"waveform-noise",0.1,0.846736288070679,4,0.837599873542786,1024,"cone"
"waveform-noise",0.01,0.84595302939415,16,0.829599976539612,1024,"rect"
"waveform-noise",0.01,0.845430797338486,4,0.834399998188019,512,"rect"
"waveform-noise",0.1,0.844125330448151,8,0.828799962997437,512,"cone"
"waveform-noise",1,0.843864208459854,4,0.807200014591217,256,"cone"
"waveform-noise",0.01,0.843603128194809,4,0.840799927711487,512,"cone"
"waveform-noise",0.1,0.843080931901932,3,0.845600008964539,1024,"cone"
"waveform-noise",0.1,0.843080925941467,2,0.846400022506714,512,"cone"
"waveform-noise",1,0.842036533355713,4,0.843200027942657,512,"cone"
"waveform-noise",0.1,0.841775453090668,8,0.840799987316132,256,"cone"
"waveform-noise",0.01,0.840208858251572,3,0.835999965667725,1024,"rect"
"waveform-noise",0.1,0.839164489507675,16,0.851999998092651,1024,"rect"
"waveform-noise",0.1,0.839164483547211,4,0.831999897956848,512,"cone"
"waveform-noise",0.1,0.838903349637985,8,0.787999987602234,1024,"cone"
"waveform-noise",0.01,0.837597894668579,16,0.816799998283386,256,"cone"
"waveform-noise",0.01,0.837336802482605,4,0.827999949455261,256,"rect"
"waveform-noise",1,0.837336790561676,3,0.840799927711487,512,"cone"
"waveform-noise",0.1,0.837336784601211,2,0.835200011730194,256,"rect"
"waveform-noise",0.01,0.837075680494308,3,0.838399946689606,512,"rect"
"waveform-noise",0.01,0.836814618110657,32,0.855199992656708,1024,"rect"
"waveform-noise",0.1,0.836814600229263,3,0.843999981880188,256,"rect"
"waveform-noise",0.1,0.835770219564438,8,0.835199952125549,256,"rect"
"waveform-noise",0.01,0.835509127378464,16,0.820799946784973,512,"cone"
"waveform-noise",0.01,0.832375955581665,16,0.830399930477142,512,"rect"
"waveform-noise",0.01,0.832114815711975,3,0.855199933052063,256,"cone"
"waveform-noise",0.01,0.829503923654556,8,0.809599936008453,1024,"cone"
"waveform-noise",0.01,0.828198409080505,16,0.840799927711487,1024,"cone"
"waveform-noise",0.01,0.824804162979126,4,0.846400022506714,1024,"rect"
"waveform-noise",0.01,0.822976475954056,3,0.839199960231781,256,"rect"
"waveform-noise",0.01,0.82167102098465,8,0.753599941730499,256,"cone"
"waveform-noise",0.01,0.817754554748535,8,0.800800025463104,512,"rect"
"waveform-noise",0.01,0.814882463216782,8,0.826399922370911,1024,"rect"
"waveform-noise",0.01,0.805483001470566,32,0.809599995613098,256,"rect"
"waveform-noise",0.01,0.804699712991714,8,0.809599936008453,512,"cone"
"waveform-noise",0.01,0.784595286846161,16,0.800799906253815,256,"rect"
"waveform-noise",0.01,0.784073084592819,8,0.788799941539764,256,"rect"
"waveform-noise",0.1,0.64360311627388,16,0.607200026512146,512,"cone"
"waveform-noise",1,0.454308089613915,3,0.415199995040894,512,"rect"
"waveform-noise",0.01,0.410182765126228,32,0.370399981737137,256,"cone"
