"dataset","nhidden","learningrate","layerForm","testAccuracy","valAccuracy","nlayers"
"energy-y1",1024,0.01,"cone",0.921875059604645,0.922033905982971,8
"energy-y1",512,0.01,"rect",0.880208373069763,0.922033894062042,4
"energy-y1",512,0.01,"cone",0.880208373069763,0.922033870220184,2
"energy-y1",256,0.01,"cone",0.85937511920929,0.920338970422745,4
"energy-y1",512,0.01,"rect",0.87500011920929,0.915254235267639,16
"energy-y1",256,0.01,"rect",0.890625,0.915254235267639,8
"energy-y1",512,0.01,"rect",0.901041686534882,0.91525422334671,3
"energy-y1",512,0.1,"rect",0.911458373069763,0.913559311628342,8
"energy-y1",512,1,"cone",0.921875,0.913559311628342,4
"energy-y1",256,0.01,"rect",0.890625059604645,0.911864399909973,3
"energy-y1",1024,0.01,"cone",0.89062511920929,0.908474564552307,4
"energy-y1",256,0.01,"cone",0.864583373069763,0.90677964091301,8
"energy-y1",256,1,"cone",0.90625,0.905084723234177,3
"energy-y1",512,0.01,"cone",0.880208373069763,0.899999976158142,4
"energy-y1",1024,0.01,"rect",0.895833373069763,0.898305058479309,16
"energy-y1",512,0.01,"rect",0.901041746139526,0.898305058479309,8
"energy-y1",1024,1,"cone",0.885416746139526,0.896610146760941,2
"energy-y1",1024,0.01,"rect",0.87500011920929,0.894915223121643,2
"energy-y1",512,1,"cone",0.885416746139526,0.889830470085144,3
"energy-y1",256,1,"cone",0.875000059604645,0.888135552406311,4
"energy-y1",512,0.01,"rect",0.875,0.884745728969574,2
"energy-y1",256,0.01,"rect",0.880208373069763,0.877966058254242,2
"energy-y1",256,0.1,"cone",0.885416746139526,0.876271170377731,8
"energy-y1",256,0.01,"cone",0.859375059604645,0.872881323099136,2
"energy-y1",1024,0.01,"rect",0.901041746139526,0.871186411380768,8
"energy-y1",1024,0.1,"rect",0.854166746139526,0.855932182073593,8
"energy-y1",256,0.01,"cone",0.875000059604645,0.850847470760346,3
"energy-y1",1024,1,"cone",0.869791746139526,0.849152547121048,8
"energy-y1",1024,0.01,"cone",0.838541686534882,0.842372888326645,16
"energy-y1",1024,1,"cone",0.848958373069763,0.832203382253647,4
"energy-y1",512,0.01,"rect",0.8125,0.830508470535278,32
"energy-y1",1024,0.1,"rect",0.812500059604645,0.830508470535278,32
"energy-y1",1024,0.1,"cone",0.812500059604645,0.830508470535278,16
"energy-y1",512,0.1,"rect",0.8125,0.830508470535278,16
"energy-y1",256,0.1,"cone",0.796875,0.830508470535278,16
"energy-y1",256,0.1,"rect",0.8125,0.830508470535278,16
"energy-y1",512,1,"cone",0.8125,0.830508470535278,8
"energy-y1",256,1,"cone",0.8125,0.830508470535278,8
"energy-y1",512,0.01,"cone",0.8125,0.818644058704376,16
"energy-y1",256,0.01,"rect",0.812500059604645,0.811864399909973,32
"energy-y1",512,1,"rect",0.177083343267441,0.599999991059303,3
"energy-y1",256,1,"rect",0.473958402872086,0.583050835132599,3
"energy-y1",512,1,"rect",0.552083373069763,0.503389835357666,4
"energy-y1",512,1,"rect",0.177083343267441,0.464406777918339,2
"energy-y1",1024,0.01,"cone",0.473958373069763,0.45762711763382,32
"energy-y1",512,0.01,"cone",0.473958373069763,0.45762711763382,32
"energy-y1",256,0.01,"cone",0.473958373069763,0.45762711763382,32
"energy-y1",1024,0.1,"cone",0.473958402872086,0.45762711763382,32
"energy-y1",512,0.1,"cone",0.473958373069763,0.45762711763382,32
"energy-y1",512,0.1,"rect",0.473958373069763,0.45762711763382,32
"energy-y1",256,0.1,"cone",0.473958373069763,0.45762711763382,32
"energy-y1",1024,1,"cone",0.473958373069763,0.45762711763382,32
"energy-y1",1024,1,"rect",0.473958373069763,0.45762711763382,32
"energy-y1",512,1,"cone",0.473958373069763,0.45762711763382,32
"energy-y1",256,1,"cone",0.473958402872086,0.45762711763382,32
"energy-y1",256,1,"rect",0.473958402872086,0.45762711763382,32
"energy-y1",512,0.1,"cone",0.473958373069763,0.45762711763382,16
"energy-y1",1024,1,"cone",0.473958373069763,0.45762711763382,16
"energy-y1",512,1,"cone",0.473958373069763,0.45762711763382,16
"energy-y1",256,1,"cone",0.473958373069763,0.45762711763382,16
"energy-y1",256,0.01,"cone",0.463541686534882,0.454237288236618,16
"energy-y1",256,0.1,"rect",0.348958343267441,0.440677964687347,32
"energy-y1",1024,0.1,"rect",0.348958343267441,0.440677964687347,16
"energy-y1",512,1,"rect",0.473958343267441,0.420338982343674,32
"energy-y1",512,1,"rect",0.473958343267441,0.411864405870438,16
"energy-y1",512,1,"rect",0.473958373069763,0.411864405870438,8
"energy-y1",1024,0.01,"rect",0.348958343267441,0.403389829397202,32
"energy-y1",1024,1,"rect",0.473958373069763,0.403389829397202,2
"energy-y1",256,1,"rect",0.473958373069763,0.401694908738136,4
"energy-y1",1024,1,"rect",0.473958373069763,0.394915252923965,16
"energy-y1",256,1,"rect",0.177083343267441,0.383050847612321,2
"energy-y1",256,1,"rect",0.177083343267441,0.383050847053528,8
"energy-y1",1024,1,"rect",0.348958343267441,0.383050847053528,4
"energy-y1",1024,1,"rect",0.473958373069763,0.383050847053528,3
"energy-y1",1024,1,"rect",0.348958373069763,0.366101694107056,8
"energy-y1",256,1,"rect",0.473958373069763,0.354237288236618,16
