"dataset","nhidden","learningrate","layerForm","testAccuracy","valAccuracy","nlayers"
"energy-y1",256,0.1,"rect",0.947916746139526,0.966101706027985,8
"energy-y1",1024,0.1,"rect",0.927083432674408,0.966101706027985,2
"energy-y1",256,0.1,"rect",0.932291746139526,0.964406788349152,3
"energy-y1",1024,0.1,"cone",0.927083373069763,0.962711882591248,4
"energy-y1",256,0.1,"cone",0.932291805744171,0.96271185874939,4
"energy-y1",256,0.1,"cone",0.947916746139526,0.95932205915451,2
"energy-y1",512,0.1,"rect",0.927083373069763,0.957627129554748,2
"energy-y1",1024,0.1,"rect",0.942708373069763,0.957627123594284,4
"energy-y1",1024,0.01,"cone",0.911458373069763,0.95762711763382,3
"energy-y1",512,0.1,"rect",0.932291686534882,0.954237318038941,4
"energy-y1",1024,0.1,"rect",0.927083373069763,0.954237294197082,3
"energy-y1",256,0.1,"rect",0.947916686534882,0.954237294197082,2
"energy-y1",512,0.01,"cone",0.911458373069763,0.954237282276154,3
"energy-y1",256,0.1,"rect",0.932291746139526,0.954237276315689,4
"energy-y1",512,0.1,"cone",0.932291686534882,0.950847494602204,4
"energy-y1",512,0.1,"cone",0.901041746139526,0.947457647323608,3
"energy-y1",512,1,"cone",0.927083373069763,0.945762729644776,2
"energy-y1",512,0.01,"cone",0.895833432674408,0.945762705802918,8
"energy-y1",512,0.1,"cone",0.942708373069763,0.944067811965942,8
"energy-y1",256,0.1,"cone",0.895833373069763,0.942372888326645,3
"energy-y1",512,0.1,"cone",0.921875,0.940677976608276,2
"energy-y1",1024,0.1,"cone",0.90625011920929,0.940677970647812,2
"energy-y1",256,1,"cone",0.942708432674408,0.938983052968979,2
"energy-y1",512,0.1,"rect",0.932291746139526,0.937288123369217,3
"energy-y1",256,0.01,"rect",0.901041746139526,0.933898293972015,4
"energy-y1",256,0.01,"rect",0.90625,0.930508494377136,16
"energy-y1",1024,1,"cone",0.927083373069763,0.930508488416672,3
"energy-y1",1024,0.01,"rect",0.895833373069763,0.930508440732956,3
"energy-y1",1024,0.1,"cone",0.911458373069763,0.928813564777374,3
"energy-y1",1024,0.01,"rect",0.90625011920929,0.928813529014587,4
"energy-y1",1024,0.01,"cone",0.885416686534882,0.927118629217148,2
"energy-y1",1024,0.1,"cone",0.947916746139526,0.923728823661804,8
