"dataset","layerForm","nlayers","learningrate","valAccuracy","nhidden","testAccuracy"
"musk-2","cone",3,1,0.994320476055145,512,0.995148658752441
"musk-2","cone",4,1,0.993306285142899,512,0.996967911720276
"musk-2","cone",3,1,0.991886430978775,256,0.995755076408386
"musk-2","cone",2,1,0.991886425018311,1024,0.996361494064331
"musk-2","cone",2,1,0.991886359453201,512,0.996361434459686
"musk-2","cone",2,1,0.989857983589172,256,0.993935704231262
"musk-2","cone",4,1,0.989857977628708,256,0.996361494064331
"musk-2","cone",8,0.1,0.987829595804214,512,0.990903556346893
"musk-2","cone",3,0.1,0.98742390871048,512,0.987871468067169
"musk-2","cone",4,1,0.986409717798233,1024,0.995754957199097
"musk-2","cone",4,0.1,0.985801190137863,512,0.98726499080658
"musk-2","cone",4,0.1,0.985801160335541,256,0.987871468067169
"musk-2","rect",2,0.1,0.985598319768906,256,0.98726499080658
"musk-2","cone",3,1,0.98498986363411,1024,0.996361553668976
"musk-2","cone",8,0.1,0.983772796392441,1024,0.98726499080658
"musk-2","rect",2,0.1,0.983367115259171,512,0.992116451263428
"musk-2","rect",16,0.1,0.981744426488876,256,0.990297079086304
"musk-2","cone",3,0.1,0.981744426488876,1024,0.993329405784607
"musk-2","cone",2,0.1,0.981744408607483,1024,0.993329346179962
"musk-2","cone",4,0.1,0.98093301653862,1024,0.988477945327759
"musk-2","cone",2,0.1,0.980527353286743,512,0.991510033607483
"musk-2","cone",2,0.1,0.980527353286743,256,0.992722868919373
"musk-2","rect",3,0.1,0.98052733540535,512,0.98726499080658
"musk-2","cone",3,0.1,0.980121660232544,256,0.990903496742249
"musk-2","rect",8,0.1,0.979716002941132,512,0.98726499080658
"musk-2","rect",4,0.1,0.979715985059738,512,0.986658573150635
"musk-2","rect",3,0.1,0.979107463359833,256,0.984839260578156
"musk-2","rect",2,0.1,0.977687638998032,1024,0.989084303379059
"musk-2","rect",4,0.1,0.977687579393387,1024,0.987871408462524
"musk-2","rect",3,0.01,0.977484774589539,256,0.978774964809418
"musk-2","rect",8,0.1,0.975456368923187,256,0.983626365661621
"musk-2","rect",4,0.01,0.974442148208618,256,0.979381382465363
"musk-2","rect",8,0.1,0.973630791902542,1024,0.983020007610321
"musk-2","rect",3,0.1,0.973022270202637,1024,0.985445737838745
"musk-2","rect",2,0.01,0.97241376042366,256,0.983626425266266
"musk-2","cone",4,0.01,0.97221092581749,1024,0.981200695037842
"musk-2","rect",2,0.01,0.970993894338608,512,0.983626484870911
"musk-2","cone",3,0.01,0.970791077613831,512,0.984232902526855
"musk-2","rect",3,0.01,0.969979727268219,1024,0.98544579744339
"musk-2","cone",2,0.01,0.968762642145157,1024,0.981807112693787
"musk-2","cone",3,0.01,0.967951303720474,1024,0.983626425266266
"musk-2","rect",4,0.1,0.967545652389527,256,0.98726499080658
"musk-2","cone",8,1,0.966531407833099,512,0.967252850532532
"musk-2","rect",3,0.01,0.966125744581223,512,0.983020067214966
"musk-2","rect",4,0.01,0.965720063447952,512,0.979987859725952
"musk-2","rect",16,0.01,0.965111535787582,1024,0.97331714630127
"musk-2","cone",3,0.01,0.964300203323364,256,0.976955771446228
"musk-2","cone",2,0.01,0.962880277633667,512,0.973923563957214
"musk-2","rect",2,0.01,0.962474638223648,1024,0.981200695037842
"musk-2","cone",8,0.01,0.962474626302719,1024,0.972710728645325
"musk-2","cone",2,0.01,0.962271809577942,256,0.975742936134338
"musk-2","cone",4,0.01,0.961460435390473,256,0.969678580760956
"musk-2","rect",4,0.01,0.961054760217667,1024,0.97210431098938
"musk-2","rect",8,0.01,0.960446208715439,1024,0.972710728645325
"musk-2","cone",8,0.01,0.959026312828064,512,0.970285058021545
"musk-2","rect",8,0.01,0.957809340953827,256,0.970284998416901
"musk-2","cone",4,0.01,0.956186598539353,512,0.97149783372879
"musk-2","rect",16,0.01,0.955578064918518,512,0.969072222709656
"musk-2","rect",16,0.01,0.955172395706177,256,0.964827179908752
"musk-2","rect",8,0.01,0.951318424940109,512,0.966039955615997
"musk-2","cone",8,0.1,0.884786993265152,256,0.861127912998199
"musk-2","cone",8,0.01,0.862677454948425,256,0.845967233181
"musk-2","rect",32,0.01,0.862068951129913,512,0.845967233181
"musk-2","cone",32,0.01,0.862068951129913,1024,0.845967233181
"musk-2","cone",32,0.01,0.862068951129913,512,0.845967233181
"musk-2","cone",32,0.01,0.862068951129913,256,0.845967233181
"musk-2","cone",32,0.1,0.862068951129913,1024,0.845967233181
"musk-2","rect",32,0.1,0.862068951129913,1024,0.845967233181
"musk-2","rect",32,0.1,0.862068951129913,512,0.845967233181
"musk-2","cone",32,0.1,0.862068951129913,256,0.845967233181
"musk-2","rect",32,0.1,0.862068951129913,256,0.845967292785645
"musk-2","cone",32,1,0.862068951129913,1024,0.845967292785645
"musk-2","rect",32,1,0.862068951129913,512,0.845967233181
"musk-2","cone",32,1,0.862068951129913,256,0.845967233181
"musk-2","cone",16,0.01,0.862068951129913,256,0.845967233181
"musk-2","cone",16,0.1,0.862068951129913,1024,0.845967233181
"musk-2","rect",16,0.1,0.862068951129913,1024,0.845967233181
"musk-2","rect",16,0.1,0.862068951129913,512,0.845967233181
"musk-2","cone",16,1,0.862068951129913,1024,0.845967233181
"musk-2","rect",16,1,0.862068951129913,512,0.845967233181
"musk-2","cone",16,1,0.862068951129913,256,0.845967233181
"musk-2","rect",16,1,0.862068951129913,256,0.845967292785645
"musk-2","rect",8,1,0.862068951129913,512,0.845967233181
"musk-2","rect",8,1,0.862068951129913,256,0.845967292785645
"musk-2","rect",4,1,0.862068951129913,1024,0.845967233181
"musk-2","rect",3,1,0.862068951129913,1024,0.845967233181
"musk-2","rect",3,1,0.862068951129913,256,0.845967292785645
"musk-2","rect",2,1,0.862068951129913,1024,0.845967233181
"musk-2","rect",2,1,0.862068951129913,256,0.845967292785645
"musk-2","cone",32,0.1,0.862068945169449,512,0.845967233181
"musk-2","rect",32,0.01,0.862068945169449,256,0.845967233181
"musk-2","rect",32,1,0.862068945169449,1024,0.845967292785645
"musk-2","cone",32,1,0.862068945169449,512,0.845967233181
"musk-2","cone",16,0.01,0.862068945169449,1024,0.845967233181
"musk-2","cone",16,0.1,0.862068945169449,512,0.845967292785645
"musk-2","rect",4,1,0.862068945169449,256,0.845967233181
"musk-2","rect",2,1,0.862068945169449,512,0.845967233181
"musk-2","rect",16,1,0.862068939208985,1024,0.845967233181
"musk-2","rect",32,1,0.862068939208984,256,0.845967292785645
"musk-2","cone",16,0.01,0.862068939208984,512,0.845967233181
"musk-2","rect",8,1,0.862068939208984,1024,0.845967233181
"musk-2","cone",8,1,0.862068939208984,256,0.845967292785645
"musk-2","rect",4,1,0.862068939208984,512,0.845967233181
"musk-2","rect",32,0.01,0.862068939208984,1024,0.845967233181
"musk-2","cone",16,1,0.862068939208984,512,0.845967233181
"musk-2","cone",8,1,0.86206893324852,1024,0.845967233181
"musk-2","cone",16,0.1,0.862068927288055,256,0.845967233181
"musk-2","rect",3,1,0.717849898338318,512,0.845967233181
