"dataset","nlayers","learningrate","layerForm","testAccuracy","valAccuracy","nhidden"
"echocardiogram",2,0.1,"rect",0.666666626930237,0.720000034570694,1024
"echocardiogram",8,0.01,"rect",0.727272748947144,0.719999998807907,1024
"echocardiogram",8,0.01,"rect",0.696969747543335,0.719999998807907,512
"echocardiogram",16,0.01,"rect",0.818181872367859,0.710000044107437,256
"echocardiogram",4,0.1,"rect",0.757575750350952,0.710000044107437,256
"echocardiogram",2,0.01,"rect",0.757575750350952,0.710000044107437,256
"echocardiogram",16,0.01,"cone",0.575757622718811,0.700000047683716,256
"echocardiogram",4,0.1,"cone",0.787878751754761,0.700000047683716,512
"echocardiogram",3,0.01,"cone",0.666666626930237,0.700000047683716,512
"echocardiogram",3,0.01,"cone",0.818181872367859,0.700000047683716,256
"echocardiogram",3,0.01,"rect",0.757575750350952,0.700000047683716,256
"echocardiogram",4,0.01,"cone",0.757575750350952,0.699999988079071,256
"echocardiogram",3,0.01,"rect",0.757575750350952,0.69000004529953,512
"echocardiogram",3,0.1,"rect",0.787878751754761,0.690000033378601,1024
"echocardiogram",3,0.1,"rect",0.757575750350952,0.690000033378601,256
"echocardiogram",8,0.01,"cone",0.727272748947144,0.68999999165535,1024
"echocardiogram",32,1,"rect",0.696969747543335,0.68000001013279,256
"echocardiogram",4,1,"rect",0.696969747543335,0.68000001013279,1024
"echocardiogram",2,0.01,"rect",0.757575750350952,0.670000040531158,512
"echocardiogram",2,1,"rect",0.636363625526428,0.67000002861023,256
"echocardiogram",3,0.01,"cone",0.787878751754761,0.660000038146973,1024
"echocardiogram",8,0.1,"rect",0.787878751754761,0.660000015795231,512
"echocardiogram",32,0.01,"rect",0.696969747543335,0.620000022649765,256
"echocardiogram",2,0.01,"cone",0.787878751754761,0.600000023841858,256
"echocardiogram",16,0.1,"rect",0.696969747543335,0.590000015497208,1024
"echocardiogram",2,0.1,"rect",0.818181872367859,0.590000015497208,256
"echocardiogram",32,0.01,"rect",0.787878751754761,0.590000003576279,1024
"echocardiogram",4,1,"rect",0.696969747543335,0.56000000834465,512
"echocardiogram",8,1,"cone",0.727272748947144,0.540000015497208,512
"echocardiogram",8,0.01,"cone",0.545454561710358,0.5,256
