"dataset","nlayers","learningrate","layerForm","testAccuracy","valAccuracy","nhidden"
"echocardiogram",32,0.01,"rect",0.818181872367859,0.899999976158142,512
"echocardiogram",4,0.01,"cone",0.696969747543335,0.899999976158142,512
"echocardiogram",4,0.01,"rect",0.757575750350952,0.899999976158142,256
"echocardiogram",2,1,"cone",0.727272748947144,0.8799999833107,1024
"echocardiogram",2,1,"cone",0.757575750350952,0.849999994039536,512
"echocardiogram",2,0.01,"cone",0.696969747543335,0.830000001192093,512
"echocardiogram",3,1,"cone",0.848484873771667,0.830000001192093,512
"echocardiogram",4,0.01,"cone",0.757575750350952,0.820000004768372,1024
"echocardiogram",3,0.1,"rect",0.757575750350952,0.820000004768372,512
"echocardiogram",2,0.1,"cone",0.757575750350952,0.81000000834465,256
"echocardiogram",32,0.01,"cone",0.696969747543335,0.800000011920929,1024
"echocardiogram",32,0.01,"cone",0.696969747543335,0.800000011920929,512
"echocardiogram",32,0.01,"cone",0.696969747543335,0.800000011920929,256
"echocardiogram",32,0.1,"cone",0.696969747543335,0.800000011920929,1024
"echocardiogram",32,0.1,"rect",0.696969747543335,0.800000011920929,1024
"echocardiogram",32,0.1,"cone",0.696969747543335,0.800000011920929,512
"echocardiogram",32,0.1,"rect",0.696969747543335,0.800000011920929,512
"echocardiogram",32,0.1,"cone",0.696969747543335,0.800000011920929,256
"echocardiogram",32,0.1,"rect",0.696969747543335,0.800000011920929,256
"echocardiogram",32,1,"cone",0.696969747543335,0.800000011920929,1024
"echocardiogram",32,1,"cone",0.696969747543335,0.800000011920929,512
"echocardiogram",32,1,"rect",0.696969747543335,0.800000011920929,512
"echocardiogram",32,1,"cone",0.696969747543335,0.800000011920929,256
"echocardiogram",16,0.01,"cone",0.696969747543335,0.800000011920929,1024
"echocardiogram",16,0.01,"cone",0.696969747543335,0.800000011920929,512
"echocardiogram",16,0.1,"cone",0.696969747543335,0.800000011920929,1024
"echocardiogram",16,0.1,"cone",0.696969747543335,0.800000011920929,512
"echocardiogram",16,0.1,"rect",0.696969747543335,0.800000011920929,512
"echocardiogram",16,0.1,"cone",0.696969747543335,0.800000011920929,256
"echocardiogram",16,1,"cone",0.696969747543335,0.800000011920929,1024
"echocardiogram",16,1,"rect",0.696969747543335,0.800000011920929,1024
"echocardiogram",16,1,"cone",0.696969747543335,0.800000011920929,512
"echocardiogram",16,1,"rect",0.696969747543335,0.800000011920929,512
"echocardiogram",16,1,"cone",0.696969747543335,0.800000011920929,256
"echocardiogram",8,0.01,"cone",0.787878751754761,0.800000011920929,512
"echocardiogram",8,0.01,"rect",0.696969747543335,0.800000011920929,256
"echocardiogram",8,0.1,"cone",0.787878751754761,0.800000011920929,1024
"echocardiogram",8,0.1,"rect",0.696969747543335,0.800000011920929,1024
"echocardiogram",8,0.1,"cone",0.696969747543335,0.800000011920929,256
"echocardiogram",8,1,"cone",0.696969747543335,0.800000011920929,1024
"echocardiogram",8,1,"rect",0.696969747543335,0.800000011920929,512
"echocardiogram",8,1,"rect",0.696969747543335,0.800000011920929,256
"echocardiogram",4,0.01,"rect",0.727272748947144,0.800000011920929,1024
"echocardiogram",3,0.01,"rect",0.727272748947144,0.800000011920929,1024
"echocardiogram",3,0.1,"cone",0.787878751754761,0.800000011920929,1024
"echocardiogram",3,0.1,"cone",0.696969747543335,0.800000011920929,512
"echocardiogram",3,1,"rect",0.696969747543335,0.800000011920929,1024
"echocardiogram",3,1,"rect",0.696969747543335,0.800000011920929,512
"echocardiogram",2,0.01,"cone",0.757575750350952,0.800000011920929,1024
"echocardiogram",2,0.01,"rect",0.787878751754761,0.800000011920929,1024
"echocardiogram",2,1,"rect",0.696969747543335,0.800000011920929,1024
"echocardiogram",2,1,"rect",0.696969747543335,0.800000011920929,512
"echocardiogram",2,1,"cone",0.696969747543335,0.800000011920929,256
"echocardiogram",8,0.1,"cone",0.818181872367859,0.790000009536743,512
"echocardiogram",3,1,"cone",0.757575750350952,0.790000003576279,256
"echocardiogram",4,0.1,"rect",0.787878751754761,0.780000007152558,512
"echocardiogram",8,1,"cone",0.696969747543335,0.780000007152557,256
"echocardiogram",16,0.01,"rect",0.757575750350952,0.770000022649765,512
"echocardiogram",8,0.1,"rect",0.757575750350952,0.770000022649765,256
"echocardiogram",4,1,"cone",0.818181872367859,0.770000022649765,256
"echocardiogram",2,0.1,"cone",0.757575750350952,0.770000022649765,1024
"echocardiogram",16,0.01,"rect",0.787878751754761,0.770000004768372,1024
"echocardiogram",4,1,"cone",0.757575750350952,0.770000004768372,512
"echocardiogram",4,0.1,"cone",0.696969747543335,0.760000026226044,1024
"echocardiogram",2,0.1,"cone",0.757575750350952,0.760000026226044,512
"echocardiogram",2,0.1,"rect",0.757575750350952,0.750000017881393,512
"echocardiogram",4,0.01,"rect",0.757575750350952,0.740000033378601,512
"echocardiogram",3,0.1,"cone",0.787878751754761,0.740000033378601,256
"echocardiogram",4,0.1,"rect",0.818181872367859,0.74000001847744,1024
"echocardiogram",32,1,"rect",0.696969747543335,0.740000011026859,1024
"echocardiogram",16,1,"rect",0.696969747543335,0.740000011026859,256
"echocardiogram",8,1,"rect",0.696969747543335,0.740000011026859,1024
"echocardiogram",4,1,"rect",0.696969747543335,0.740000011026859,256
"echocardiogram",3,1,"rect",0.696969747543335,0.740000011026859,256
"echocardiogram",4,1,"cone",0.757575750350952,0.740000009536743,1024
"echocardiogram",3,1,"cone",0.696969747543335,0.73000003695488,1024
"echocardiogram",16,0.1,"rect",0.696969747543335,0.720000040531158,256
"echocardiogram",4,0.1,"cone",0.696969747543335,0.720000040531158,256
