"dataset","testAccuracy","valAccuracy","learningrate","nlayers","nhidden","layerForm"
"vertebral-column-3clases",0.831168830394745,0.841176480054855,1,4,256,"cone"
"vertebral-column-3clases",0.818181812763214,0.835294127464294,0.1,8,256,"rect"
"vertebral-column-3clases",0.831168830394745,0.835294127464294,1,3,256,"cone"
"vertebral-column-3clases",0.779220759868622,0.835294127464294,0.01,2,256,"rect"
"vertebral-column-3clases",0.805194795131683,0.829411774873733,0.1,3,1024,"rect"
"vertebral-column-3clases",0.857142865657806,0.829411774873733,0.1,3,512,"cone"
"vertebral-column-3clases",0.818181812763214,0.829411774873733,0.1,2,512,"cone"
"vertebral-column-3clases",0.831168830394745,0.823529428243637,0.01,4,1024,"cone"
"vertebral-column-3clases",0.727272689342499,0.823529422283172,0.01,16,512,"rect"
"vertebral-column-3clases",0.818181812763214,0.823529422283172,1,2,256,"cone"
"vertebral-column-3clases",0.779220759868622,0.817647069692612,0.01,8,256,"rect"
"vertebral-column-3clases",0.792207777500153,0.817647069692612,0.1,3,1024,"cone"
"vertebral-column-3clases",0.805194795131683,0.817647069692612,1,3,512,"cone"
"vertebral-column-3clases",0.818181812763214,0.817647069692612,0.1,2,256,"cone"
"vertebral-column-3clases",0.83116888999939,0.817647069692612,1,2,1024,"cone"
"vertebral-column-3clases",0.844155848026276,0.811764717102051,0.1,4,256,"rect"
"vertebral-column-3clases",0.831168830394745,0.80588236451149,0.01,3,256,"rect"
"vertebral-column-3clases",0.831168830394745,0.800000011920929,0.1,4,256,"cone"
"vertebral-column-3clases",0.766233742237091,0.800000011920929,0.1,2,1024,"cone"
"vertebral-column-3clases",0.779220759868622,0.800000011920929,1,2,512,"cone"
"vertebral-column-3clases",0.831168830394745,0.794117659330368,0.01,2,512,"cone"
"vertebral-column-3clases",0.792207777500153,0.788235306739807,0.1,4,1024,"rect"
"vertebral-column-3clases",0.805194795131683,0.788235306739807,0.1,2,512,"rect"
"vertebral-column-3clases",0.805194795131683,0.782352954149246,1,4,512,"cone"
"vertebral-column-3clases",0.818181812763214,0.782352954149246,0.01,3,256,"cone"
"vertebral-column-3clases",0.805194795131683,0.782352954149246,0.01,2,1024,"cone"
"vertebral-column-3clases",0.818181812763214,0.782352954149246,0.01,2,512,"rect"
"vertebral-column-3clases",0.818181812763214,0.776470601558685,0.01,16,1024,"rect"
"vertebral-column-3clases",0.818181812763214,0.776470601558685,0.01,16,256,"rect"
"vertebral-column-3clases",0.818181812763214,0.776470601558685,0.01,4,512,"cone"
"vertebral-column-3clases",0.805194795131683,0.776470601558685,0.1,4,1024,"cone"
"vertebral-column-3clases",0.844155848026276,0.776470601558685,0.1,4,512,"cone"
"vertebral-column-3clases",0.818181812763214,0.776470601558685,0.1,3,256,"cone"
"vertebral-column-3clases",0.805194795131683,0.776470601558685,0.01,2,1024,"rect"
"vertebral-column-3clases",0.818181812763214,0.770588248968124,0.1,8,1024,"cone"
"vertebral-column-3clases",0.831168830394745,0.770588248968124,0.01,4,512,"rect"
"vertebral-column-3clases",0.792207777500153,0.770588248968124,0.01,3,512,"rect"
"vertebral-column-3clases",0.753246784210205,0.770588248968124,0.1,2,1024,"rect"
"vertebral-column-3clases",0.818181812763214,0.764705902338028,0.01,4,1024,"rect"
"vertebral-column-3clases",0.701298713684082,0.764705896377563,0.01,16,1024,"cone"
"vertebral-column-3clases",0.805194795131683,0.764705896377563,0.01,8,1024,"cone"
"vertebral-column-3clases",0.805194795131683,0.764705896377563,0.01,3,512,"cone"
"vertebral-column-3clases",0.844155848026276,0.764705896377563,0.01,2,256,"cone"
"vertebral-column-3clases",0.779220759868622,0.758823543787002,0.1,4,512,"rect"
"vertebral-column-3clases",0.818181812763214,0.758823543787002,0.01,3,1024,"cone"
"vertebral-column-3clases",0.805194795131683,0.758823543787002,0.1,3,256,"rect"
"vertebral-column-3clases",0.792207777500153,0.758823543787002,0.1,2,256,"rect"
"vertebral-column-3clases",0.818181812763214,0.752941191196442,0.01,8,1024,"rect"
"vertebral-column-3clases",0.831168830394745,0.752941191196442,0.01,3,1024,"rect"
"vertebral-column-3clases",0.766233742237091,0.747058838605881,0.1,8,512,"cone"
"vertebral-column-3clases",0.831168830394745,0.747058838605881,0.01,4,256,"rect"
"vertebral-column-3clases",0.779220759868622,0.74117648601532,0.01,4,256,"cone"
"vertebral-column-3clases",0.805194795131683,0.74117648601532,1,4,1024,"cone"
"vertebral-column-3clases",0.714285671710968,0.723529428243637,0.01,8,256,"cone"
"vertebral-column-3clases",0.818181812763214,0.711764723062515,0.1,3,512,"rect"
"vertebral-column-3clases",0.766233801841736,0.711764720082283,0.1,8,512,"rect"
"vertebral-column-3clases",0.688311696052551,0.705882370471954,0.1,16,512,"rect"
"vertebral-column-3clases",0.66233766078949,0.705882370471954,0.1,8,256,"cone"
"vertebral-column-3clases",0.636363625526428,0.705882370471954,1,8,512,"cone"
"vertebral-column-3clases",0.701298713684082,0.705882370471954,1,3,1024,"cone"
"vertebral-column-3clases",0.831168830394745,0.682352960109711,0.01,8,512,"rect"
"vertebral-column-3clases",0.519480526447296,0.682352957129478,0.1,16,256,"rect"
"vertebral-column-3clases",0.688311636447906,0.664705902338028,1,8,1024,"cone"
"vertebral-column-3clases",0.74025970697403,0.658823549747467,0.01,8,512,"cone"
"vertebral-column-3clases",0.623376607894897,0.658823543787003,0.01,32,256,"rect"
"vertebral-column-3clases",0.571428537368774,0.641176491975784,0.01,16,256,"cone"
"vertebral-column-3clases",0.480519473552704,0.629411777853966,0.01,32,512,"rect"
"vertebral-column-3clases",0.688311696052551,0.611764717102051,0.01,32,1024,"rect"
"vertebral-column-3clases",0.66233766078949,0.529411774873733,1,8,256,"cone"
"vertebral-column-3clases",0.480519473552704,0.511764714121819,1,2,512,"rect"
"vertebral-column-3clases",0.519480466842651,0.500000014901161,0.01,16,512,"cone"
"vertebral-column-3clases",0.324675321578979,0.482352948188782,1,4,1024,"rect"
"vertebral-column-3clases",0.324675321578979,0.470588237047195,0.01,32,256,"cone"
"vertebral-column-3clases",0.259740263223648,0.464705891907215,0.1,8,1024,"rect"
"vertebral-column-3clases",0.324675321578979,0.447058826684952,1,3,256,"rect"
"vertebral-column-3clases",0.480519473552704,0.429411768913269,0.1,32,256,"rect"
"vertebral-column-3clases",0.480519473552704,0.429411768913269,0.1,16,1024,"rect"
"vertebral-column-3clases",0.324675321578979,0.423529417067766,1,3,512,"rect"
"vertebral-column-3clases",0.480519473552704,0.423529416322708,0.1,32,512,"rect"
"vertebral-column-3clases",0.480519473552704,0.417647063732147,0.1,32,1024,"rect"
"vertebral-column-3clases",0.480519473552704,0.417647063732147,1,32,1024,"rect"
"vertebral-column-3clases",0.480519473552704,0.417647063732147,1,32,256,"cone"
"vertebral-column-3clases",0.480519473552704,0.417647063732147,0.1,16,1024,"cone"
"vertebral-column-3clases",0.480519473552704,0.417647063732147,0.1,16,256,"cone"
"vertebral-column-3clases",0.480519473552704,0.417647063732147,1,16,512,"cone"
"vertebral-column-3clases",0.480519473552704,0.411764711141586,0.01,32,1024,"cone"
"vertebral-column-3clases",0.480519473552704,0.411764711141586,0.01,32,512,"cone"
"vertebral-column-3clases",0.480519473552704,0.411764711141586,0.1,32,1024,"cone"
"vertebral-column-3clases",0.480519473552704,0.411764711141586,0.1,32,512,"cone"
"vertebral-column-3clases",0.480519473552704,0.411764711141586,0.1,32,256,"cone"
"vertebral-column-3clases",0.480519473552704,0.411764711141586,1,32,1024,"cone"
"vertebral-column-3clases",0.480519473552704,0.411764711141586,1,32,512,"cone"
"vertebral-column-3clases",0.480519473552704,0.411764711141586,0.1,16,512,"cone"
"vertebral-column-3clases",0.480519473552704,0.411764711141586,1,16,1024,"cone"
"vertebral-column-3clases",0.480519473552704,0.411764711141586,1,16,256,"cone"
"vertebral-column-3clases",0.480519473552704,0.41176470965147,1,16,1024,"rect"
"vertebral-column-3clases",0.480519473552704,0.405882359296083,1,3,1024,"rect"
"vertebral-column-3clases",0.480519473552704,0.405882356315851,1,16,256,"rect"
"vertebral-column-3clases",0.324675321578979,0.394117655605078,1,2,1024,"rect"
"vertebral-column-3clases",0.324675321578979,0.394117648899555,1,32,256,"rect"
"vertebral-column-3clases",0.194805204868317,0.388235303014517,1,2,256,"rect"
"vertebral-column-3clases",0.480519473552704,0.382352943718433,1,32,512,"rect"
"vertebral-column-3clases",0.194805204868317,0.382352943718433,1,4,512,"rect"
"vertebral-column-3clases",0.194805204868317,0.341176474094391,1,4,256,"rect"
"vertebral-column-3clases",0.480519473552704,0.341176473349333,1,8,1024,"rect"
"vertebral-column-3clases",0.324675321578979,0.276470590382814,1,8,512,"rect"
"vertebral-column-3clases",0.194805204868317,0.241176472604275,1,16,512,"rect"
"vertebral-column-3clases",0.194805204868317,0.188235294818878,1,8,256,"rect"
