"dataset","nlayers","layerForm","nhidden","learningrate","testAccuracy","valAccuracy"
"ilpd-indian-liver",3,"cone",512,0.01,0.705479443073273,0.790697693824768
"ilpd-indian-liver",3,"rect",512,1,0.739726066589355,0.788372123241425
"ilpd-indian-liver",3,"cone",1024,0.01,0.657534241676331,0.786046522855759
"ilpd-indian-liver",3,"rect",512,0.01,0.726027429103851,0.783720946311951
"ilpd-indian-liver",3,"cone",256,0.01,0.698630154132843,0.781395369768143
"ilpd-indian-liver",2,"cone",1024,0.1,0.739725947380066,0.77906978726387
"ilpd-indian-liver",2,"cone",1024,0.01,0.739726066589355,0.776744204759598
"ilpd-indian-liver",2,"rect",256,0.01,0.705479443073273,0.774418616294861
"ilpd-indian-liver",3,"rect",256,0.01,0.636986255645752,0.772093039751053
"ilpd-indian-liver",2,"cone",512,0.1,0.678082227706909,0.772093033790588
"ilpd-indian-liver",16,"rect",512,1,0.719178080558777,0.769767479598522
"ilpd-indian-liver",4,"rect",256,1,0.719178080558777,0.769767479598522
"ilpd-indian-liver",2,"rect",512,1,0.719178080558777,0.769767479598522
"ilpd-indian-liver",32,"rect",1024,0.1,0.719178020954132,0.769767479598522
"ilpd-indian-liver",32,"rect",256,0.1,0.719178080558777,0.769767479598522
"ilpd-indian-liver",4,"rect",1024,1,0.719178080558777,0.769767479598522
"ilpd-indian-liver",32,"rect",1024,0.01,0.719178020954132,0.767441892623902
"ilpd-indian-liver",3,"rect",256,0.1,0.705479443073273,0.767441856861115
"ilpd-indian-liver",4,"cone",1024,1,0.691780805587769,0.765116286277771
"ilpd-indian-liver",8,"rect",512,0.1,0.712328791618347,0.762790709733963
"ilpd-indian-liver",8,"cone",256,0.01,0.705479383468628,0.762790703773498
"ilpd-indian-liver",4,"rect",1024,0.01,0.739726006984711,0.760465121269226
"ilpd-indian-liver",3,"rect",1024,0.01,0.657534241676331,0.760465121269226
"ilpd-indian-liver",2,"rect",1024,0.01,0.732876658439636,0.758139538764954
"ilpd-indian-liver",8,"rect",256,0.1,0.712328791618347,0.75116280913353
"ilpd-indian-liver",2,"rect",1024,0.1,0.698630154132843,0.75116280913353
"ilpd-indian-liver",2,"rect",256,0.1,0.691780805587769,0.748837226629257
"ilpd-indian-liver",32,"rect",512,0.01,0.712328791618347,0.746511659026146
"ilpd-indian-liver",4,"cone",512,0.01,0.698630094528198,0.741860461235046
"ilpd-indian-liver",4,"rect",256,0.01,0.650684952735901,0.739534902572632
"ilpd-indian-liver",2,"rect",512,0.01,0.705479502677917,0.739534902572632
"ilpd-indian-liver",4,"rect",512,0.1,0.773972511291504,0.739534884691238
"ilpd-indian-liver",4,"rect",256,0.1,0.726027369499207,0.739534884691238
"ilpd-indian-liver",3,"rect",1024,0.1,0.643835604190826,0.737209314107895
"ilpd-indian-liver",2,"cone",256,0.01,0.664383590221405,0.737209296226502
"ilpd-indian-liver",16,"rect",256,0.1,0.719178020954132,0.734883749485016
"ilpd-indian-liver",2,"rect",512,0.1,0.657534241676331,0.732558143138885
"ilpd-indian-liver",16,"rect",256,0.01,0.623287677764893,0.730232560634613
"ilpd-indian-liver",16,"rect",1024,0.01,0.623287677764893,0.713953506946564
"ilpd-indian-liver",8,"rect",256,0.01,0.691780805587769,0.711627888679504
"ilpd-indian-liver",4,"rect",512,0.01,0.732876718044281,0.706976753473282
"ilpd-indian-liver",3,"rect",512,0.1,0.630136966705322,0.704651182889938
"ilpd-indian-liver",8,"rect",1024,0.01,0.705479443073273,0.704651147127151
"ilpd-indian-liver",8,"rect",512,0.01,0.726027369499207,0.700000011920929
"ilpd-indian-liver",16,"rect",512,0.01,0.678082227706909,0.695348846912384
"ilpd-indian-liver",3,"rect",256,1,0.719178020954132,0.679069794714451
"ilpd-indian-liver",4,"rect",1024,0.1,0.479452073574066,0.676744198799133
"ilpd-indian-liver",16,"rect",256,1,0.719178080558777,0.634883750975132
"ilpd-indian-liver",2,"rect",256,1,0.719178020954132,0.57674420773983
"ilpd-indian-liver",8,"rect",256,1,0.719178020954132,0.567441886663437
