"dataset","nhidden","testAccuracy","nlayers","learningrate","valAccuracy","layerForm"
"thyroid",1024,0.975204229354858,3,0.1,0.98282054066658,"cone"
"thyroid",1024,0.976662933826447,8,1,0.982564163208008,"cone"
"thyroid",1024,0.979871690273285,3,1,0.982564157247543,"cone"
"thyroid",512,0.974912583827972,2,1,0.982307738065719,"cone"
"thyroid",512,0.968786656856537,3,1,0.981794929504395,"cone"
"thyroid",1024,0.974329233169556,2,1,0.981538498401642,"cone"
"thyroid",256,0.974329113960266,2,1,0.981282085180283,"cone"
"thyroid",512,0.96382737159729,3,0.1,0.981025665998459,"cone"
"thyroid",256,0.973453998565674,4,0.1,0.98000009059906,"cone"
"thyroid",512,0.977246284484863,4,1,0.97974363565445,"cone"
"thyroid",512,0.969661712646484,4,0.01,0.979487216472626,"cone"
"thyroid",1024,0.97782975435257,4,0.1,0.979230809211731,"cone"
"thyroid",1024,0.97607946395874,2,0.1,0.978205156326294,"cone"
"thyroid",1024,0.972870528697968,2,0.1,0.978205156326294,"rect"
"thyroid",256,0.974037349224091,3,0.1,0.977948772907257,"cone"
"thyroid",512,0.973453938961029,3,0.1,0.977692371606827,"rect"
"thyroid",512,0.96586936712265,3,0.01,0.977692353725433,"cone"
"thyroid",256,0.972578823566437,4,0.1,0.977179509401322,"rect"
"thyroid",512,0.970245182514191,4,0.1,0.97692312002182,"cone"
"thyroid",512,0.974037349224091,2,0.1,0.976666730642319,"rect"
"thyroid",1024,0.969078302383423,4,0.1,0.976666694879532,"rect"
"thyroid",256,0.971703708171844,3,0.1,0.976410299539566,"rect"
"thyroid",1024,0.975204348564148,2,0.01,0.976410299539566,"cone"
"thyroid",1024,0.969078242778778,3,0.1,0.976410299539566,"rect"
"thyroid",256,0.975787758827209,3,1,0.976410293579102,"cone"
"thyroid",512,0.966744601726532,16,0.1,0.9761539041996,"rect"
"thyroid",256,0.974620878696442,2,0.1,0.9761539041996,"cone"
"thyroid",512,0.962952196598053,8,0.1,0.976153892278671,"cone"
"thyroid",512,0.971703708171844,4,0.1,0.976153886318207,"rect"
"thyroid",256,0.974912643432617,2,0.01,0.975897473096847,"cone"
"thyroid",512,0.968786597251892,2,0.1,0.975641059875488,"cone"
"thyroid",512,0.972578823566437,2,0.01,0.97538468837738,"rect"
"thyroid",256,0.970536828041077,2,0.1,0.97512828707695,"rect"
"thyroid",1024,0.974620878696442,4,1,0.97461541891098,"cone"
"thyroid",512,0.971412003040314,3,0.01,0.974102610349655,"rect"
"thyroid",256,0.971120357513428,2,0.01,0.973846250772476,"rect"
"thyroid",512,0.974037408828735,2,0.01,0.973846197128296,"cone"
"thyroid",256,0.974329233169556,4,1,0.973589813709259,"cone"
"thyroid",256,0.96966165304184,8,0.1,0.973333382606506,"rect"
"thyroid",512,0.969078302383423,8,0.1,0.971282082796097,"rect"
"thyroid",1024,0.968786478042603,2,0.01,0.970769286155701,"rect"
"thyroid",1024,0.967911422252655,3,0.01,0.970512861013413,"rect"
"thyroid",512,0.967036366462708,4,0.01,0.97000008225441,"rect"
"thyroid",1024,0.960910320281982,3,0.01,0.970000058412552,"cone"
"thyroid",1024,0.971412003040314,8,0.1,0.969743633270264,"cone"
"thyroid",512,0.953617334365845,8,0.01,0.969230842590332,"rect"
"thyroid",256,0.942823886871338,8,0.1,0.968461585044861,"cone"
"thyroid",1024,0.967036247253418,4,0.01,0.968205237388611,"rect"
"thyroid",1024,0.962952196598053,4,0.01,0.96769238114357,"cone"
"thyroid",256,0.969370007514954,4,0.01,0.967692357301712,"rect"
"thyroid",256,0.960910260677338,4,0.01,0.967692315578461,"cone"
"thyroid",1024,0.960326790809631,8,0.01,0.96743597984314,"cone"
"thyroid",256,0.964119076728821,3,0.01,0.96692311167717,"rect"
"thyroid",1024,0.96995347738266,8,0.1,0.966923105716705,"rect"
"thyroid",256,0.96178537607193,3,0.01,0.96666671037674,"cone"
"thyroid",256,0.950700163841248,8,0.01,0.964871835708618,"cone"
"thyroid",512,0.946907937526703,8,0.01,0.962307739257813,"cone"
"thyroid",256,0.945157647132874,16,0.01,0.96179490685463,"rect"
"thyroid",256,0.954784214496613,8,0.01,0.961538553237915,"rect"
"thyroid",512,0.944865942001343,16,0.01,0.961538511514664,"rect"
"thyroid",1024,0.957993030548096,8,0.01,0.961025726795196,"rect"
"thyroid",1024,0.948658227920532,16,0.01,0.953333377838135,"rect"
"thyroid",512,0.932030439376831,16,0.01,0.946666717529297,"cone"
"thyroid",1024,0.927071332931519,32,0.01,0.946153938770294,"cone"
"thyroid",1024,0.927071273326874,16,1,0.946153938770294,"cone"
"thyroid",256,0.927071273326874,8,1,0.94615393280983,"rect"
"thyroid",1024,0.927071332931519,32,0.1,0.946153926849365,"cone"
"thyroid",512,0.927071273326874,16,1,0.946153926849365,"rect"
"thyroid",1024,0.927071273326874,16,0.1,0.946153920888901,"cone"
"thyroid",512,0.927071332931519,4,1,0.946153920888901,"rect"
"thyroid",1024,0.927071273326874,32,0.01,0.946153914928436,"rect"
"thyroid",512,0.927071332931519,32,0.1,0.946153908967972,"cone"
"thyroid",256,0.927071273326874,32,1,0.946153908967972,"cone"
"thyroid",256,0.927071332931519,16,0.1,0.946153903007508,"cone"
"thyroid",256,0.927071332931519,8,1,0.946153903007507,"cone"
"thyroid",256,0.927071332931519,32,0.01,0.946153897047043,"cone"
"thyroid",512,0.927071332931519,32,1,0.946153897047043,"cone"
"thyroid",1024,0.927071332931519,16,1,0.946153897047043,"rect"
"thyroid",256,0.927071273326874,16,1,0.946153897047043,"rect"
"thyroid",1024,0.927071273326874,32,1,0.946153891086579,"cone"
"thyroid",1024,0.927071332931519,32,1,0.946153891086579,"rect"
"thyroid",512,0.927071332931519,32,0.01,0.946153891086579,"cone"
"thyroid",1024,0.927071273326874,32,0.1,0.946153891086579,"rect"
"thyroid",512,0.927071273326874,32,0.1,0.946153891086579,"rect"
"thyroid",256,0.927071332931519,16,1,0.946153891086579,"cone"
"thyroid",512,0.927071273326874,3,1,0.946153891086579,"rect"
"thyroid",256,0.927071273326874,3,1,0.946153891086579,"rect"
"thyroid",256,0.927071332931519,32,0.01,0.946153885126114,"rect"
"thyroid",256,0.927071273326874,32,0.1,0.946153885126114,"rect"
"thyroid",256,0.927071273326874,32,1,0.946153885126114,"rect"
"thyroid",512,0.927071273326874,16,0.1,0.946153885126114,"cone"
"thyroid",1024,0.927071332931519,8,1,0.946153885126114,"rect"
"thyroid",512,0.927071332931519,8,1,0.946153885126114,"rect"
"thyroid",512,0.926779568195343,32,0.01,0.94615387916565,"rect"
"thyroid",256,0.927071273326874,32,0.1,0.94615387916565,"cone"
"thyroid",1024,0.927071332931519,16,0.1,0.94615387916565,"rect"
"thyroid",512,0.927071332931519,16,1,0.94615387916565,"cone"
"thyroid",512,0.927071332931519,8,1,0.94615387916565,"cone"
"thyroid",1024,0.927071332931519,4,1,0.94615387916565,"rect"
"thyroid",256,0.927071273326874,2,1,0.94615387916565,"rect"
"thyroid",256,0.926779568195343,16,0.01,0.94564106464386,"cone"
"thyroid",1024,0.926487863063812,16,0.01,0.945384681224823,"cone"
"thyroid",256,0.926487863063812,16,0.1,0.944871830940247,"rect"
"thyroid",512,0.051633607596159,32,1,0.855641085281968,"rect"
"thyroid",256,0.927071332931519,4,1,0.855641085281968,"rect"
"thyroid",1024,0.927071273326874,3,1,0.855641073361039,"rect"
"thyroid",512,0.021295215934515,2,1,0.199487192183733,"rect"
"thyroid",1024,0.021295215934515,2,1,0.0623076953925192,"rect"
