"dataset","learningrate","valAccuracy","testAccuracy","nhidden","nlayers","layerForm"
"twonorm",0.1,0.984699440002441,0.972432434558868,256,2,"rect"
"twonorm",0.1,0.982877910137177,0.971351385116577,1024,8,"cone"
"twonorm",0.01,0.981967163085938,0.972972989082336,512,3,"rect"
"twonorm",0.01,0.981785017251969,0.9718918800354,1024,4,"rect"
"twonorm",1,0.979963541030884,0.970270276069641,512,3,"cone"
"twonorm",0.1,0.979963505268097,0.972432434558868,512,4,"rect"
"twonorm",0.1,0.979417109489441,0.972972989082336,512,2,"cone"
"twonorm",1,0.978688538074493,0.96918922662735,512,4,"cone"
"twonorm",0.1,0.978506374359131,0.97459465265274,1024,3,"cone"
"twonorm",0.1,0.978324168920517,0.96918922662735,512,2,"rect"
"twonorm",0.1,0.978142082691193,0.971891939640045,256,3,"cone"
"twonorm",0.1,0.977777743339538,0.977837920188904,1024,4,"cone"
"twonorm",0.01,0.977049148082733,0.964324355125427,256,8,"cone"
"twonorm",0.1,0.976502764225006,0.969729781150818,256,4,"cone"
"twonorm",0.01,0.97650271654129,0.972432494163513,512,3,"cone"
"twonorm",0.1,0.976502704620361,0.971891939640045,1024,2,"rect"
"twonorm",0.01,0.976320564746857,0.975135207176208,512,4,"rect"
"twonorm",0.01,0.97632052898407,0.975675761699677,1024,3,"cone"
"twonorm",1,0.97577411532402,0.978918969631195,1024,8,"cone"
"twonorm",0.01,0.975591957569122,0.971351385116577,1024,2,"cone"
"twonorm",0.01,0.975409805774689,0.972973048686981,256,2,"rect"
"twonorm",0.01,0.975409787893295,0.971351444721222,256,4,"cone"
"twonorm",1,0.975409787893295,0.967567563056946,512,2,"rect"
"twonorm",0.01,0.975409775972366,0.971891939640045,256,3,"cone"
"twonorm",1,0.975227677822113,0.974054038524628,1024,3,"cone"
"twonorm",0.1,0.975045502185821,0.976756811141968,1024,2,"cone"
"twonorm",0.01,0.974863421916962,0.975135147571564,1024,4,"cone"
"twonorm",0.1,0.974681258201599,0.974054098129272,1024,3,"rect"
"twonorm",0.1,0.974499106407166,0.976756811141968,1024,4,"rect"
