"dataset","learningrate","layerForm","nlayers","testAccuracy","nhidden","valAccuracy"
"libras",1,"cone",3,0.833333373069763,512,0.807692360877991
"libras",0.01,"rect",3,0.833333373069763,256,0.788461595773697
"libras",1,"rect",2,0.855555593967438,256,0.77307699918747
"libras",0.01,"rect",3,0.844444453716278,1024,0.769230842590332
"libras",0.1,"cone",4,0.855555593967438,256,0.761538529396057
"libras",0.1,"rect",2,0.833333373069763,512,0.761538529396057
"libras",0.01,"cone",4,0.788888931274414,256,0.75769237279892
"libras",0.1,"rect",2,0.822222232818604,256,0.75769237279892
"libras",0.1,"cone",4,0.844444513320923,512,0.734615433216095
"libras",0.01,"cone",3,0.788888931274414,256,0.734615433216095
"libras",0.1,"cone",2,0.855555593967438,512,0.734615433216095
"libras",0.1,"cone",2,0.833333373069763,1024,0.730769276618958
"libras",0.01,"rect",2,0.855555534362793,1024,0.72692312002182
"libras",1,"rect",2,0.733333349227905,1024,0.72692312002182
"libras",0.1,"rect",4,0.744444489479065,256,0.723076963424683
"libras",0.01,"rect",3,0.788888931274414,512,0.723076963424683
"libras",0.1,"cone",2,0.800000011920929,256,0.715384662151337
"libras",0.01,"rect",4,0.777777850627899,512,0.707692337036133
"libras",0.1,"rect",8,0.755555629730225,512,0.703846210241318
"libras",0.01,"rect",2,0.844444513320923,256,0.692307770252228
"libras",1,"cone",2,0.733333349227905,256,0.692307728528976
"libras",0.1,"rect",2,0.800000071525574,1024,0.692307716608047
"libras",0.1,"cone",3,0.855555593967438,256,0.692307710647583
"libras",0.01,"cone",2,0.733333349227905,512,0.692307710647583
"libras",0.1,"rect",4,0.800000011920929,1024,0.692307710647583
"libras",0.01,"cone",3,0.800000071525574,1024,0.692307710647583
"libras",0.1,"cone",3,0.822222292423248,1024,0.692307710647583
"libras",0.1,"rect",3,0.833333373069763,512,0.692307710647583
"libras",0.1,"rect",3,0.833333373069763,256,0.692307710647583
"libras",0.01,"cone",4,0.855555534362793,512,0.68846161365509
"libras",0.1,"rect",3,0.822222292423248,1024,0.688461565971375
"libras",0.01,"rect",2,0.833333373069763,512,0.68846156001091
"libras",0.01,"cone",2,0.855555593967438,1024,0.684615415334702
"libras",0.01,"rect",4,0.777777850627899,1024,0.684615409374237
"libras",1,"cone",2,0.777777791023254,1024,0.684615403413773
"libras",0.01,"rect",16,0.700000047683716,256,0.673076951503754
"libras",0.1,"rect",16,0.688888907432556,256,0.669230818748474
"libras",1,"cone",3,0.611111164093018,256,0.66923081278801
"libras",1,"cone",4,0.700000047683716,256,0.669230806827545
"libras",1,"cone",2,0.788888931274414,512,0.669230806827545
"libras",0.1,"rect",8,0.811111152172089,256,0.665384656190872
"libras",0.1,"rect",8,0.788888931274414,1024,0.665384644269943
"libras",0.1,"cone",8,0.72222226858139,512,0.657692354917526
"libras",1,"cone",3,0.766666650772095,1024,0.657692342996597
"libras",0.01,"rect",4,0.788888931274414,256,0.653846204280853
"libras",0.1,"cone",8,0.76666671037674,256,0.653846204280853
"libras",0.1,"cone",4,0.833333373069763,1024,0.653846192359924
"libras",1,"cone",4,0.700000047683716,512,0.653846192359924
"libras",0.01,"cone",2,0.822222232818604,256,0.653846144676209
