"dataset","layerForm","learningrate","valAccuracy","testAccuracy","nlayers","nhidden"
"parkinsons","rect",0.01,1,0.857142806053162,16,1024
"parkinsons","rect",0.01,1,0.897959113121033,16,512
"parkinsons","rect",0.01,1,0.836734652519226,16,256
"parkinsons","cone",0.01,1,0.877550959587097,8,1024
"parkinsons","rect",0.01,1,0.857142806053162,8,1024
"parkinsons","cone",0.01,1,0.795918345451355,8,512
"parkinsons","rect",0.01,1,0.857142806053162,8,512
"parkinsons","rect",0.1,1,0.938775420188904,8,256
"parkinsons","cone",0.01,1,0.857142806053162,4,1024
"parkinsons","rect",0.01,1,0.918367266654968,4,1024
"parkinsons","rect",0.01,1,0.877550959587097,4,512
"parkinsons","rect",0.01,1,0.938775479793549,4,256
"parkinsons","cone",0.1,1,0.897959113121033,4,1024
"parkinsons","rect",0.1,1,0.877550959587097,4,1024
"parkinsons","rect",0.1,1,0.959183573722839,4,512
"parkinsons","cone",0.1,1,0.918367266654968,4,256
"parkinsons","rect",0.1,1,0.938775420188904,4,256
"parkinsons","cone",1,1,0.877550959587097,4,512
"parkinsons","cone",0.01,1,0.897959113121033,3,1024
"parkinsons","rect",0.01,1,0.938775420188904,3,1024
"parkinsons","rect",0.01,1,0.918367266654968,3,512
"parkinsons","cone",0.01,1,0.918367266654968,3,256
"parkinsons","rect",0.01,1,0.938775420188904,3,256
"parkinsons","rect",0.1,1,0.897959113121033,3,1024
"parkinsons","cone",0.1,1,0.918367266654968,3,512
"parkinsons","rect",0.1,1,0.938775420188904,3,512
"parkinsons","rect",0.1,1,0.938775479793549,3,256
"parkinsons","cone",0.01,1,0.918367266654968,2,1024
"parkinsons","rect",0.01,1,0.918367266654968,2,1024
"parkinsons","cone",0.01,1,0.938775420188904,2,512
"parkinsons","rect",0.01,1,0.918367266654968,2,512
"parkinsons","cone",0.01,1,0.938775420188904,2,256
"parkinsons","rect",0.01,1,0.959183633327484,2,256
"parkinsons","cone",0.1,1,0.918367266654968,2,1024
"parkinsons","rect",0.1,1,0.897959113121033,2,1024
"parkinsons","cone",0.1,1,0.897959113121033,2,512
"parkinsons","rect",0.1,1,0.918367266654968,2,512
"parkinsons","rect",0.1,1,0.938775420188904,2,256
"parkinsons","cone",1,1,0.918367266654968,2,512
"parkinsons","cone",0.1,0.989999997615814,0.918367266654968,2,256
"parkinsons","cone",0.1,0.980000001192093,0.918367266654968,4,512
"parkinsons","cone",0.1,0.979999995231628,0.938775420188904,3,1024
"parkinsons","cone",0.01,0.969999992847443,0.918367266654968,4,256
"parkinsons","cone",1,0.969999992847443,0.918367266654968,3,1024
"parkinsons","cone",0.1,0.960000002384186,0.918367266654968,3,256
