"dataset","layerForm","nhidden","nlayers","learningrate","testAccuracy","valAccuracy"
"haberman-survival","cone",1024,2,0.1,0.697368443012238,0.745000004768372
"haberman-survival","cone",512,3,0.1,0.736842095851898,0.740000003576279
"haberman-survival","cone",512,8,0.1,0.75,0.739999997615814
"haberman-survival","cone",512,2,0.1,0.723684191703796,0.73500000834465
"haberman-survival","cone",1024,3,1,0.710526287555695,0.730000007152557
"haberman-survival","cone",512,4,1,0.723684191703796,0.730000001192093
"haberman-survival","rect",512,2,0.01,0.723684191703796,0.725000023841858
"haberman-survival","cone",1024,3,0.1,0.736842036247253,0.725
"haberman-survival","cone",512,4,0.01,0.710526287555695,0.72000002861023
"haberman-survival","cone",1024,2,0.01,0.697368443012238,0.720000010728836
"haberman-survival","rect",1024,2,0.1,0.75,0.720000010728836
"haberman-survival","cone",1024,4,1,0.736842036247253,0.720000001788139
"haberman-survival","cone",512,8,0.01,0.697368383407593,0.719999998807907
"haberman-survival","rect",1024,4,0.1,0.671052634716034,0.715000003576279
"haberman-survival","cone",256,4,1,0.723684191703796,0.705000030994415
"haberman-survival","rect",512,16,0.01,0.710526347160339,0.705000019073486
"haberman-survival","rect",1024,3,0.01,0.684210538864136,0.705000019073486
"haberman-survival","cone",256,3,0.01,0.736842095851898,0.705000013113022
"haberman-survival","cone",256,2,0.1,0.710526347160339,0.700000035762787
"haberman-survival","cone",256,2,0.01,0.75,0.700000029802322
"haberman-survival","rect",1024,3,0.1,0.684210479259491,0.700000005960465
"haberman-survival","rect",512,32,0.01,0.736842095851898,0.7
"haberman-survival","rect",1024,4,1,0.736842095851898,0.7
"haberman-survival","rect",256,2,1,0.736842095851898,0.7
"haberman-survival","rect",256,3,1,0.736842095851898,0.7
"haberman-survival","cone",1024,3,0.01,0.671052634716034,0.695000022649765
"haberman-survival","cone",512,3,0.01,0.75,0.695000010728836
"haberman-survival","rect",256,4,0.01,0.684210538864136,0.690000021457672
"haberman-survival","cone",1024,4,0.01,0.723684191703796,0.685000014305115
"haberman-survival","rect",1024,2,0.01,0.578947365283966,0.680000030994415
"haberman-survival","rect",256,16,0.01,0.736842155456543,0.680000025033951
"haberman-survival","rect",512,3,0.01,0.644736886024475,0.680000019073486
"haberman-survival","rect",1024,8,0.01,0.684210538864136,0.680000007152557
"haberman-survival","rect",1024,4,0.01,0.671052634716034,0.675000029802322
"haberman-survival","rect",256,3,0.01,0.671052634716034,0.665000021457672
"haberman-survival","cone",256,4,0.1,0.697368443012238,0.660000032186508
"haberman-survival","cone",1024,8,0.01,0.723684191703796,0.660000014305115
"haberman-survival","rect",512,4,0.1,0.64473682641983,0.660000014305115
"haberman-survival","cone",256,3,0.1,0.710526347160339,0.655000013113022
"haberman-survival","rect",256,8,0.1,0.723684191703796,0.650000023841858
"haberman-survival","rect",512,2,0.1,0.723684191703796,0.650000011920929
"haberman-survival","rect",1024,32,0.01,0.263157904148102,0.65
"haberman-survival","rect",256,8,1,0.736842095851898,0.65
"haberman-survival","rect",256,16,1,0.736842095851898,0.65
"haberman-survival","rect",256,2,0.01,0.736842095851898,0.649999994039536
"haberman-survival","rect",256,3,0.1,0.631578981876373,0.645000022649765
"haberman-survival","rect",512,8,0.01,0.671052634716034,0.645000022649765
"haberman-survival","rect",256,4,0.1,0.736842095851898,0.640000021457672
"haberman-survival","rect",512,3,0.1,0.618421077728271,0.640000006556511
"haberman-survival","rect",1024,16,0.01,0.697368443012238,0.635000020265579
"haberman-survival","rect",512,4,0.01,0.671052634716034,0.630000028014183
"haberman-survival","cone",512,2,0.01,0.671052694320679,0.625000029802322
"haberman-survival","rect",256,8,0.01,0.644736886024475,0.625000023841858
"haberman-survival","cone",256,4,0.01,0.723684191703796,0.620000010728836
"haberman-survival","rect",256,2,0.1,0.644736886024475,0.615000003576279
