"dataset","layerForm","testAccuracy","valAccuracy","nhidden","learningrate","nlayers"
"spectf","cone",0.55614972114563,0.855555564165115,256,0.01,3
"spectf","cone",0.55614972114563,0.855555564165115,1024,0.01,2
"spectf","cone",0.486630976200104,0.844444447755814,512,0.01,3
"spectf","cone",0.422459900379181,0.833333340287209,1024,0.01,3
"spectf","rect",0.454545438289642,0.833333340287209,256,0.1,2
"spectf","cone",0.577540099620819,0.833333340287208,512,0.01,2
"spectf","cone",0.588235259056091,0.800000008940697,1024,0.01,4
"spectf","cone",0.582887709140778,0.800000008940697,256,0.1,3
"spectf","rect",0.566844880580902,0.788888904452324,256,0.01,2
"spectf","cone",0.540107011795044,0.788888898491859,512,0.01,4
"spectf","cone",0.59358286857605,0.788888898491859,512,0.1,3
"spectf","cone",0.534759342670441,0.777777791023254,512,0.01,16
"spectf","cone",0.459893047809601,0.777777791023254,256,0.01,4
"spectf","cone",0.556149780750275,0.755555567145348,256,0.01,2
"spectf","cone",0.433155059814453,0.755555567145347,1024,0.1,2
"spectf","rect",0.588235259056091,0.74444445669651,256,0.1,3
"spectf","cone",0.272727280855179,0.733333346247673,1024,0.1,16
"spectf","cone",0.66844916343689,0.733333343267441,512,0.01,8
"spectf","rect",0.433155059814453,0.733333343267441,1024,0.1,2
"spectf","cone",0.59358286857605,0.711111122369766,256,0.1,2
"spectf","rect",0.631016075611115,0.688888898491859,256,0.01,4
"spectf","rect",0.486631035804749,0.688888898491859,512,0.01,3
"spectf","cone",0.192513391375542,0.666666686534881,1024,0.01,32
"spectf","rect",0.0802139043807983,0.666666686534881,1024,1,32
"spectf","rect",0.0802139043807983,0.666666686534881,1024,1,16
"spectf","cone",0.139037430286407,0.666666686534881,1024,0.01,8
"spectf","rect",0.0802139043807983,0.666666686534881,1024,1,8
"spectf","rect",0.0802139043807983,0.666666686534881,512,1,4
"spectf","rect",0.0802139043807983,0.666666686534881,1024,1,2
"spectf","rect",0.540106952190399,0.666666677594185,1024,0.01,2
"spectf","rect",0.561497330665588,0.655555567145348,256,0.01,3
"spectf","rect",0.454545438289642,0.64444445669651,1024,0.01,4
"spectf","rect",0.51871657371521,0.644444453716278,512,0.01,4
"spectf","cone",0.385026752948761,0.633333352208137,512,1,3
"spectf","cone",0.524064183235168,0.622222232818604,1024,0.1,4
"spectf","rect",0.673796772956848,0.622222232818604,512,0.1,2
"spectf","cone",0.529411733150482,0.611111123859882,1024,0.1,3
"spectf","rect",0.0802139043807983,0.600000017881393,256,1,16
"spectf","rect",0.0802139043807983,0.600000017881393,256,1,8
"spectf","rect",0.919786095619202,0.600000017881393,512,1,2
"spectf","rect",0.919786214828491,0.600000017881393,256,1,3
"spectf","rect",0.561497330665588,0.600000011920929,256,0.01,8
"spectf","rect",0.556149780750275,0.600000011920929,512,0.01,2
"spectf","rect",0.235294118523598,0.588888904452324,256,0.1,4
"spectf","rect",0.0802139043807983,0.566666683554649,512,1,16
"spectf","rect",0.347593545913696,0.566666683554649,1024,0.01,8
"spectf","cone",0.620320796966553,0.566666683554649,1024,1,2
"spectf","rect",0.0802139043807983,0.566666683554649,512,0.01,32
"spectf","cone",0.919786095619202,0.566666683554649,256,1,32
"spectf","rect",0.21390375494957,0.566666683554649,512,0.01,8
"spectf","rect",0.919786214828491,0.566666683554649,256,1,2
"spectf","rect",0.401069521903992,0.566666680574417,1024,0.01,3
"spectf","rect",0.48128342628479,0.555555567145348,512,0.1,3
"spectf","cone",0.711229920387268,0.544444459676743,256,0.1,4
"spectf","rect",0.0802139043807983,0.533333349227905,512,0.1,16
"spectf","rect",0.395721942186356,0.533333349227905,256,0.1,8
"spectf","cone",0.106951877474785,0.533333349227905,1024,1,4
"spectf","cone",0.0802139043807983,0.533333349227905,1024,1,3
"spectf","cone",0.0802139043807983,0.533333349227905,512,1,2
"spectf","rect",0.919786095619202,0.533333349227905,256,0.01,32
"spectf","rect",0.919786214828491,0.533333349227905,256,0.1,32
"spectf","rect",0.0802139043807983,0.533333349227905,256,1,32
"spectf","rect",0.203208550810814,0.533333349227905,1024,0.01,16
"spectf","rect",0.0802139043807983,0.533333349227905,256,0.1,16
"spectf","cone",0.0802139043807983,0.533333349227905,256,1,16
"spectf","rect",0.893048167228699,0.533333349227905,1024,0.1,8
"spectf","cone",0.641711235046387,0.533333349227905,512,0.1,8
"spectf","cone",0.245989322662354,0.533333349227905,512,1,8
"spectf","rect",0.235294103622437,0.533333349227905,512,0.1,4
"spectf","rect",0.620320916175842,0.533333349227905,1024,1,4
"spectf","rect",0.919786214828491,0.533333349227905,256,1,4
"spectf","rect",0.919786214828491,0.533333349227905,1024,1,3
"spectf","cone",0.0909090936183929,0.533333349227905,256,1,2
"spectf","rect",0.0802139043807983,0.533333349227905,512,1,8
"spectf","cone",0.294117629528046,0.533333349227905,512,0.1,2
"spectf","rect",0.0802139043807983,0.500000014901161,1024,0.01,32
"spectf","rect",0.0802139043807983,0.500000014901161,1024,0.1,32
"spectf","rect",0.743315458297729,0.500000014901161,512,0.01,16
"spectf","rect",0.919786214828491,0.500000014901161,1024,0.1,16
"spectf","cone",0.0802139043807983,0.500000014901161,512,1,16
"spectf","cone",0.919786214828491,0.500000014901161,256,1,8
"spectf","cone",0.0802139043807983,0.500000014901161,256,1,4
"spectf","rect",0.0802139043807983,0.500000014901161,512,0.1,32
"spectf","rect",0.764705836772919,0.500000014901161,256,0.01,16
"spectf","cone",0.294117629528046,0.500000014901161,1024,1,16
"spectf","rect",0.903743386268616,0.500000014901161,512,0.1,8
"spectf","cone",0.235294118523598,0.500000014901161,256,0.1,8
"spectf","cone",0.919786214828491,0.500000014901161,1024,1,8
"spectf","cone",0.144385039806366,0.500000014901161,512,0.1,4
"spectf","rect",0.545454561710358,0.500000014901161,1024,0.1,3
"spectf","cone",0.919786214828491,0.488888907432556,512,1,32
"spectf","rect",0.0802139043807983,0.466666680574417,512,1,3
"spectf","cone",0.919786095619202,0.466666680574417,1024,1,32
"spectf","cone",0.919786214828491,0.466666680574417,512,1,4
"spectf","cone",0.63101601600647,0.466666674613953,512,0.1,16
"spectf","rect",0.919786214828491,0.433333346247673,512,1,32
