"dataset","learningrate","nlayers","valAccuracy","nhidden","layerForm","testAccuracy"
"soybean",0.1,8,0.952381014823914,1024,"cone",0.848404288291931
"soybean",0.1,3,0.952381014823914,1024,"cone",0.898936152458191
"soybean",0.01,4,0.914285778999329,512,"rect",0.864361703395844
"soybean",0.1,3,0.914285778999329,512,"rect",0.882978677749634
"soybean",1,3,0.914285778999329,512,"cone",0.893617033958435
"soybean",0.1,8,0.909523874521255,1024,"rect",0.882978677749634
"soybean",0.1,8,0.909523874521255,512,"rect",0.867021203041077
"soybean",1,2,0.909523874521255,256,"rect",0.893617033958435
"soybean",0.1,16,0.904761970043182,1024,"cone",0.827127635478973
"soybean",0.01,8,0.904761970043182,1024,"rect",0.81914895772934
"soybean",0.01,8,0.904761970043182,256,"rect",0.755319178104401
"soybean",0.1,8,0.904761970043182,512,"cone",0.861702084541321
"soybean",0.1,8,0.904761970043182,256,"rect",0.848404169082642
"soybean",0.01,4,0.904761970043182,1024,"rect",0.864361643791199
"soybean",0.01,4,0.904761970043182,512,"cone",0.832446753978729
"soybean",0.1,4,0.904761970043182,512,"cone",0.882978677749634
"soybean",0.1,4,0.904761970043182,512,"rect",0.869680881500244
"soybean",0.1,4,0.904761970043182,256,"cone",0.827127695083618
"soybean",0.01,3,0.904761970043182,1024,"rect",0.864361643791199
"soybean",0.01,3,0.904761970043182,512,"cone",0.845744669437408
"soybean",0.01,3,0.904761970043182,512,"rect",0.851063847541809
"soybean",0.01,3,0.904761970043182,256,"cone",0.819148898124695
"soybean",0.1,3,0.904761970043182,256,"cone",0.869680881500244
"soybean",1,3,0.904761970043182,256,"cone",0.859042525291443
"soybean",0.01,2,0.904761970043182,1024,"cone",0.861702084541321
"soybean",0.01,2,0.904761970043182,1024,"rect",0.896276533603668
"soybean",0.01,2,0.904761970043182,512,"cone",0.867021262645721
"soybean",0.01,2,0.904761970043182,512,"rect",0.882978677749634
"soybean",0.01,2,0.904761970043182,256,"cone",0.861702084541321
"soybean",0.01,2,0.904761970043182,256,"rect",0.869680881500244
"soybean",0.1,2,0.904761970043182,1024,"cone",0.896276593208313
"soybean",0.1,2,0.904761970043182,1024,"rect",0.882978677749634
"soybean",0.1,2,0.904761970043182,512,"cone",0.880319118499756
"soybean",0.1,2,0.904761970043182,256,"cone",0.901595711708069
"soybean",1,2,0.904761970043182,512,"cone",0.901595711708069
"soybean",1,4,0.904761964082718,1024,"cone",0.890957355499268
"soybean",1,3,0.900000065565109,1024,"cone",0.885638236999512
"soybean",1,2,0.900000065565109,1024,"cone",0.877659559249878
"soybean",1,2,0.900000065565109,256,"cone",0.875
"soybean",1,2,0.895238161087036,512,"rect",0.835106313228607
"soybean",0.1,16,0.890476256608963,512,"cone",0.81914895772934
"soybean",0.01,3,0.88571435213089,1024,"cone",0.824468016624451
"soybean",1,4,0.885714346170425,256,"cone",0.885638236999512
"soybean",0.1,2,0.880952447652817,256,"rect",0.872340440750122
"soybean",1,8,0.876190543174744,256,"cone",0.819148898124695
"soybean",0.1,4,0.876190543174744,256,"rect",0.864361643791199
"soybean",0.01,16,0.861904829740524,1024,"rect",0.827127575874329
"soybean",0.01,4,0.861904829740524,1024,"cone",0.813829779624939
"soybean",0.1,4,0.861904829740524,1024,"rect",0.869680762290955
"soybean",0.1,2,0.861904829740524,512,"rect",0.896276593208313
