"dataset","learningrate","valAccuracy","nlayers","testAccuracy","nhidden","layerForm"
"yeast",0.01,0.651754397153855,4,0.609164416790009,256,"cone"
"yeast",0.01,0.650877195596695,3,0.601078152656555,256,"rect"
"yeast",0.01,0.648245614767075,2,0.598382771015167,256,"rect"
"yeast",0.1,0.646491223573685,8,0.568733096122742,1024,"rect"
"yeast",0.01,0.6438596367836,2,0.614555239677429,256,"cone"
"yeast",0.01,0.637719309329987,3,0.574123978614807,1024,"cone"
"yeast",0.01,0.637719297409058,2,0.622641444206238,1024,"cone"
"yeast",0.01,0.635964906215668,3,0.609164357185364,512,"cone"
"yeast",0.1,0.631578928232193,3,0.587601065635681,256,"cone"
"yeast",0.1,0.629824554920197,8,0.547169804573059,1024,"cone"
"yeast",0.01,0.62719299197197,8,0.590296506881714,1024,"cone"
"yeast",0.01,0.626315784454346,4,0.598382771015167,512,"cone"
"yeast",0.01,0.626315784454346,2,0.522911071777344,1024,"rect"
"yeast",0.01,0.624561393260956,4,0.584905683994293,1024,"cone"
"yeast",0.01,0.623684203624725,3,0.590296506881714,1024,"rect"
"yeast",0.1,0.623684185743332,3,0.563342332839966,256,"rect"
"yeast",0.1,0.622807002067566,2,0.57681941986084,512,"cone"
"yeast",0.01,0.621929842233658,2,0.611859858036041,512,"rect"
"yeast",0.1,0.620175445079803,4,0.592991888523102,512,"cone"
"yeast",1,0.619298255443573,4,0.598382771015167,512,"cone"
"yeast",0.01,0.618421059846878,2,0.622641503810883,512,"cone"
"yeast",0.01,0.614912277460098,3,0.603773593902588,256,"cone"
"yeast",0.01,0.614035129547119,8,0.574123978614807,1024,"rect"
"yeast",0.1,0.614035093784332,2,0.590296447277069,256,"cone"
"yeast",0.1,0.611403518915176,3,0.587601006031036,512,"cone"
"yeast",1,0.611403489112854,2,0.606469035148621,256,"cone"
"yeast",0.1,0.608771938085556,4,0.571428537368774,256,"rect"
"yeast",0.01,0.607017546892166,3,0.619946122169495,512,"rect"
"yeast",0.1,0.605263161659241,4,0.541778922080994,1024,"rect"
"yeast",1,0.604385954141617,3,0.595687329769135,1024,"cone"
"yeast",1,0.603508770465851,2,0.614555239677429,512,"cone"
"yeast",1,0.603508758544922,3,0.55256062746048,256,"cone"
"yeast",0.01,0.600000011920929,4,0.574123978614807,1024,"rect"
"yeast",0.1,0.599999994039536,8,0.55256062746048,512,"cone"
"yeast",0.1,0.59912281036377,4,0.579514801502228,1024,"cone"
"yeast",1,0.599122792482376,3,0.576819360256195,512,"cone"
"yeast",0.01,0.597368413209915,16,0.51482480764389,1024,"cone"
"yeast",1,0.597368413209915,8,0.536388099193573,1024,"cone"
"yeast",0.1,0.597368407249451,2,0.576819360256195,1024,"cone"
"yeast",0.1,0.596491223573685,3,0.611859798431396,512,"rect"
"yeast",0.1,0.593859654664993,4,0.606469035148621,256,"cone"
"yeast",1,0.593859648704529,8,0.57681941986084,512,"cone"
"yeast",0.1,0.592105269432068,3,0.574123978614807,1024,"cone"
"yeast",0.1,0.592105263471604,8,0.55256062746048,256,"rect"
"yeast",0.01,0.592105263471603,4,0.584905624389648,512,"rect"
"yeast",0.1,0.591228073835373,2,0.587601065635681,256,"rect"
"yeast",0.1,0.591228067874908,2,0.622641503810883,512,"rect"
"yeast",0.1,0.587719291448593,16,0.55256062746048,1024,"cone"
"yeast",1,0.586842095851898,4,0.530997276306152,1024,"cone"
"yeast",0.1,0.585964906215668,8,0.560646891593933,256,"cone"
"yeast",0.1,0.584210526943207,4,0.590296506881714,512,"rect"
"yeast",1,0.584210526943207,4,0.547169804573059,256,"cone"
"yeast",0.01,0.583333343267441,8,0.584905624389648,512,"rect"
"yeast",0.1,0.582456141710281,16,0.560646891593933,256,"rect"
"yeast",0.1,0.57982457280159,16,0.57681941986084,256,"cone"
"yeast",0.01,0.579824542999268,4,0.592991888523102,256,"rect"
"yeast",0.01,0.578070175647736,16,0.574123978614807,512,"rect"
"yeast",0.01,0.576315784454346,8,0.541778922080994,512,"cone"
"yeast",0.01,0.573684215545654,8,0.544474363327026,256,"rect"
"yeast",0.1,0.572807025909424,8,0.541778981685638,512,"rect"
"yeast",0.01,0.57280700802803,16,0.53369265794754,512,"cone"
"yeast",0.01,0.571929824352264,16,0.536388158798218,256,"cone"
"yeast",1,0.571929824352264,8,0.57681941986084,256,"cone"
"yeast",0.1,0.571929815411568,3,0.482479751110077,1024,"rect"
"yeast",0.01,0.571929812431335,32,0.525606453418732,256,"rect"
"yeast",0.01,0.568421065807343,16,0.571428537368774,1024,"rect"
"yeast",0.01,0.566666662693024,16,0.544474422931671,256,"rect"
