"dataset","testAccuracy","learningrate","nhidden","nlayers","valAccuracy","layerForm"
"flags",0.354166686534882,0.1,1024,8,0.625,"rect"
"flags",0.395833343267441,0.1,512,8,0.59375,"cone"
"flags",0.416666686534882,0.1,256,16,0.58125,"rect"
"flags",0.520833373069763,0.1,512,4,0.575,"cone"
"flags",0.520833373069763,0.01,512,2,0.575,"cone"
"flags",0.458333343267441,1,256,4,0.56875,"cone"
"flags",0.416666686534882,0.1,512,2,0.56875,"cone"
"flags",0.333333343267441,0.01,256,8,0.5625,"rect"
"flags",0.5,0.1,256,4,0.5625,"cone"
"flags",0.458333343267441,0.1,256,4,0.5625,"rect"
"flags",0.291666686534882,0.01,1024,3,0.5625,"cone"
"flags",0.4375,0.1,1024,3,0.5625,"cone"
"flags",0.395833343267441,0.01,1024,2,0.5625,"rect"
"flags",0.479166686534882,0.01,256,2,0.5625,"cone"
"flags",0.479166686534882,0.1,1024,4,0.5625,"cone"
"flags",0.416666686534882,1,256,2,0.5625,"rect"
"flags",0.375,0.01,1024,16,0.55625,"cone"
"flags",0.416666686534882,1,512,3,0.54375,"cone"
"flags",0.291666686534882,0.01,256,8,0.525,"cone"
"flags",0.4375,1,1024,2,0.51875,"cone"
"flags",0.354166686534882,0.01,512,4,0.51875,"rect"
"flags",0.395833373069763,0.1,512,3,0.51875,"cone"
"flags",0.3125,0.01,256,16,0.5125,"cone"
"flags",0.5,0.1,1024,4,0.50625,"rect"
"flags",0.4375,0.1,256,3,0.50625,"cone"
"flags",0.395833343267441,1,512,8,0.5,"cone"
"flags",0.416666686534882,0.01,256,16,0.5,"rect"
"flags",0.479166686534882,0.1,256,8,0.5,"rect"
"flags",0.312500029802322,0.01,1024,4,0.5,"cone"
"flags",0.416666686534882,0.1,512,4,0.5,"rect"
"flags",0.354166686534882,0.01,512,3,0.5,"cone"
"flags",0.437500029802322,0.01,256,3,0.5,"cone"
"flags",0.375,0.01,256,3,0.5,"rect"
"flags",0.458333373069763,0.1,256,3,0.5,"rect"
"flags",0.437500029802322,0.01,1024,2,0.5,"cone"
"flags",0.5,0.01,512,2,0.5,"rect"
"flags",0.4375,0.1,1024,2,0.5,"rect"
"flags",0.479166686534882,1,512,2,0.5,"rect"
