"dataset","testAccuracy","nhidden","valAccuracy","layerForm","learningrate","nlayers"
"fertility",0.879999995231628,1024,1,"cone",0.01,32
"fertility",0.879999995231628,1024,1,"rect",0.01,32
"fertility",0.879999995231628,512,1,"cone",0.01,32
"fertility",0.879999995231628,512,1,"rect",0.01,32
"fertility",0.879999995231628,256,1,"cone",0.01,32
"fertility",0.879999995231628,256,1,"rect",0.01,32
"fertility",0.879999995231628,1024,1,"cone",0.1,32
"fertility",0.879999995231628,1024,1,"rect",0.1,32
"fertility",0.879999995231628,512,1,"cone",0.1,32
"fertility",0.879999995231628,512,1,"rect",0.1,32
"fertility",0.879999995231628,256,1,"cone",0.1,32
"fertility",0.879999995231628,256,1,"rect",0.1,32
"fertility",0.879999995231628,1024,1,"cone",1,32
"fertility",0.879999995231628,1024,1,"rect",1,32
"fertility",0.879999995231628,512,1,"cone",1,32
"fertility",0.879999995231628,512,1,"rect",1,32
"fertility",0.879999995231628,256,1,"cone",1,32
"fertility",0.680000007152557,1024,1,"cone",0.01,16
"fertility",0.879999995231628,512,1,"cone",0.01,16
"fertility",0.879999995231628,1024,1,"cone",0.1,16
"fertility",0.879999995231628,512,1,"cone",0.1,16
"fertility",0.879999995231628,256,1,"cone",0.1,16
"fertility",0.879999995231628,256,1,"rect",0.1,16
"fertility",0.879999995231628,1024,1,"cone",1,16
"fertility",0.879999995231628,512,1,"cone",1,16
"fertility",0.879999995231628,256,1,"cone",1,16
"fertility",0.919999957084656,512,1,"cone",0.01,8
"fertility",0.879999995231628,256,1,"cone",0.01,8
"fertility",0.879999995231628,512,1,"cone",0.1,8
"fertility",0.839999973773956,512,1,"rect",0.1,8
"fertility",0.879999995231628,256,1,"cone",0.1,8
"fertility",0.759999990463257,256,1,"rect",0.1,8
"fertility",0.879999995231628,1024,1,"cone",1,8
"fertility",0.879999995231628,1024,1,"rect",1,8
"fertility",0.879999995231628,512,1,"cone",1,8
"fertility",0.879999995231628,256,1,"cone",1,8
"fertility",0.719999969005585,1024,1,"rect",0.01,4
"fertility",0.839999973773956,512,1,"rect",0.01,4
"fertility",0.759999990463257,256,1,"cone",0.01,4
"fertility",0.639999985694885,1024,1,"cone",0.1,4
"fertility",0.799999952316284,1024,1,"rect",0.1,4
"fertility",0.759999990463257,512,1,"cone",0.1,4
"fertility",0.799999952316284,512,1,"rect",0.1,4
"fertility",0.839999973773956,256,1,"cone",0.1,4
"fertility",0.919999957084656,256,1,"rect",0.1,4
"fertility",0.879999995231628,1024,1,"cone",1,4
"fertility",0.839999973773956,512,1,"cone",1,4
"fertility",0.879999995231628,256,1,"cone",1,4
"fertility",0.879999995231628,256,1,"rect",1,4
"fertility",0.839999973773956,1024,1,"cone",0.01,3
"fertility",0.799999952316284,1024,1,"rect",0.01,3
"fertility",0.839999973773956,256,1,"rect",0.01,3
"fertility",0.799999952316284,1024,1,"cone",0.1,3
"fertility",0.799999952316284,512,1,"cone",0.1,3
"fertility",0.759999990463257,256,1,"cone",0.1,3
"fertility",0.759999990463257,256,1,"rect",0.1,3
"fertility",0.879999995231628,1024,1,"cone",1,3
"fertility",0.879999995231628,1024,1,"rect",1,3
"fertility",0.879999995231628,512,1,"cone",1,3
"fertility",0.879999995231628,512,1,"rect",1,3
"fertility",0.719999969005585,256,1,"cone",1,3
"fertility",0.799999952316284,1024,1,"cone",0.01,2
"fertility",0.839999973773956,1024,1,"rect",0.01,2
"fertility",0.719999969005585,512,1,"cone",0.01,2
"fertility",0.879999995231628,256,1,"cone",0.01,2
"fertility",0.839999973773956,256,1,"rect",0.01,2
"fertility",0.759999990463257,1024,1,"cone",0.1,2
"fertility",0.839999973773956,1024,1,"rect",0.1,2
"fertility",0.839999973773956,512,1,"rect",0.1,2
"fertility",0.879999995231628,256,1,"rect",0.1,2
"fertility",0.759999990463257,1024,1,"cone",1,2
"fertility",0.879999995231628,1024,1,"rect",1,2
"fertility",0.799999952316284,512,1,"cone",1,2
"fertility",0.879999995231628,512,1,"rect",1,2
"fertility",0.759999990463257,256,1,"cone",1,2
"fertility",0.879999995231628,512,0.975,"rect",0.1,16
"fertility",0.799999952316284,1024,0.975,"rect",0.01,8
"fertility",0.839999973773956,1024,0.975,"rect",0.1,3
"fertility",0.879999995231628,1024,0.95,"cone",0.1,8
"fertility",0.879999995231628,1024,0.95,"rect",0.1,8
"fertility",0.119999997317791,256,0.9,"rect",1,32
"fertility",0.879999995231628,1024,0.9,"rect",0.1,16
"fertility",0.879999995231628,1024,0.9,"rect",1,16
"fertility",0.879999995231628,512,0.9,"rect",1,16
"fertility",0.879999995231628,256,0.9,"rect",1,16
"fertility",0.879999995231628,1024,0.9,"rect",1,4
"fertility",0.119999997317791,512,0.9,"rect",1,4
"fertility",0.879999995231628,256,0.85,"rect",1,2
"fertility",0.919999957084656,1024,0.85,"cone",0.01,4
"fertility",0.759999990463257,512,0.825,"rect",0.1,3
"fertility",0.839999973773956,512,0.825,"cone",0.1,2
"fertility",0.799999952316284,512,0.8,"rect",0.01,2
"fertility",0.879999995231628,256,0.8,"rect",1,8
"fertility",0.879999995231628,1024,0.775,"rect",0.01,16
"fertility",0.759999990463257,512,0.775,"rect",0.01,16
"fertility",0.679999947547913,512,0.775,"rect",0.01,8
"fertility",0.799999952316284,256,0.775,"cone",0.1,2
"fertility",0.599999964237213,256,0.75,"cone",0.01,16
"fertility",0.799999952316284,1024,0.75,"cone",0.01,8
"fertility",0.839999973773956,256,0.75,"rect",0.01,8
"fertility",0.919999957084656,512,0.75,"cone",0.01,4
"fertility",0.759999990463257,512,0.75,"cone",0.01,3
"fertility",0.719999969005585,512,0.75,"rect",0.01,3
"fertility",0.839999973773956,256,0.75,"cone",0.01,3
"fertility",0.119999997317791,256,0.725,"rect",1,3
"fertility",0.879999995231628,512,0.6,"rect",1,8
