"dataset","learningrate","valAccuracy","layerForm","nhidden","testAccuracy","nlayers"
"connect-4",0.1,0.889674371480942,"rect",1024,0.885606527328491,4
"connect-4",0.1,0.888006389141083,"rect",1024,0.886968374252319,3
"connect-4",0.1,0.886755383014679,"rect",512,0.884007811546326,3
"connect-4",0.1,0.88403497338295,"rect",512,0.884540736675262,2
"connect-4",0.1,0.883915799856186,"rect",1024,0.88714599609375,2
"connect-4",0.1,0.88232724070549,"rect",512,0.88306051492691,4
"connect-4",1,0.880242276191712,"cone",1024,0.87861967086792,8
"connect-4",1,0.87970615029335,"cone",512,0.88069212436676,8
"connect-4",0.1,0.879547297954559,"rect",256,0.877909183502197,3
"connect-4",1,0.877442401647568,"cone",512,0.882823586463928,4
"connect-4",0.1,0.877363020181656,"rect",1024,0.882231473922729,8
"connect-4",1,0.876509183645248,"cone",512,0.876725018024445,3
"connect-4",1,0.875476598739624,"cone",256,0.879685521125793,8
"connect-4",1,0.874702173471451,"cone",256,0.871751308441162,4
"connect-4",1,0.874364596605301,"cone",1024,0.874475061893463,2
"connect-4",1,0.873570322990418,"cone",1024,0.879211783409119,4
"connect-4",0.1,0.873471027612686,"rect",256,0.87625128030777,2
"connect-4",0.01,0.873451173305512,"rect",1024,0.875067114830017,2
"connect-4",0.1,0.873252588510513,"rect",512,0.869915783405304,16
"connect-4",0.01,0.873212873935699,"rect",1024,0.877139449119568,3
"connect-4",0.1,0.872875314950943,"rect",512,0.876902639865875,8
"connect-4",1,0.872378903627396,"cone",256,0.874238133430481,3
"connect-4",0.1,0.871306592226028,"rect",256,0.877613127231598,4
"connect-4",0.1,0.871207320690155,"cone",1024,0.875244677066803,8
"connect-4",1,0.870909464359284,"cone",512,0.877021014690399,2
"connect-4",1,0.870770484209061,"cone",1024,0.879271030426025,3
"connect-4",0.01,0.869142198562622,"rect",512,0.871869742870331,3
"connect-4",0.1,0.868943631649017,"cone",1024,0.87311315536499,4
"connect-4",0.1,0.868903905153275,"cone",512,0.872402608394623,3
"connect-4",1,0.868844348192215,"cone",256,0.875067114830017,2
"connect-4",0.1,0.868050074577332,"cone",256,0.863698720932007,2
"connect-4",0.01,0.86787132024765,"rect",1024,0.872402608394623,16
"connect-4",0.1,0.86759335398674,"cone",1024,0.868080198764801,3
"connect-4",0.1,0.867255789041519,"cone",1024,0.862810611724854,2
"connect-4",0.1,0.86723592877388,"cone",512,0.869027614593506,4
"connect-4",0.01,0.867156487703323,"rect",1024,0.872580289840698,4
"connect-4",0.1,0.865488487482071,"cone",256,0.865119755268097,8
"connect-4",0.1,0.865230357646942,"cone",512,0.868198692798615,8
"connect-4",0.1,0.864297080039978,"cone",512,0.870567142963409,2
"connect-4",0.1,0.863661646842957,"rect",256,0.863757967948914,16
"connect-4",0.01,0.863046079874039,"rect",256,0.858547449111938,2
"connect-4",0.01,0.862152516841889,"cone",1024,0.864823698997498,2
"connect-4",0.1,0.860702955722809,"rect",256,0.865771055221558,8
"connect-4",0.01,0.860683083534241,"rect",512,0.863165855407715,2
"connect-4",0.1,0.859273260831833,"cone",256,0.864054083824158,3
"connect-4",0.1,0.85871724486351,"cone",256,0.863757967948914,4
"connect-4",0.01,0.858359807729721,"rect",512,0.866718411445618,4
"connect-4",0.01,0.858320111036301,"cone",1024,0.865001320838928,8
"connect-4",0.01,0.857525855302811,"cone",1024,0.860264539718628,3
"connect-4",0.01,0.856652110815048,"cone",512,0.854876399040222,2
"connect-4",0.01,0.855043715238571,"cone",1024,0.852981686592102,4
"connect-4",0.01,0.854567164182663,"rect",1024,0.859554052352905,8
"connect-4",0.01,0.853077852725983,"rect",256,0.856415867805481,3
"connect-4",0.01,0.85279985666275,"cone",256,0.850435614585876,2
"connect-4",0.01,0.852422589063645,"cone",512,0.846527814865112,3
"connect-4",0.01,0.852025413513184,"rect",256,0.859021127223969,4
