"dataset","testAccuracy","valAccuracy","nlayers","nhidden","layerForm","learningrate"
"miniboone",0.931326985359192,0.927758371829987,2,256,"cone",0.1
"miniboone",0.928251504898071,0.92667436003685,2,1024,"cone",0.1
"miniboone",0.925452947616577,0.926107048988342,2,1024,"cone",0.01
"miniboone",0.92708283662796,0.925732219219208,2,512,"cone",0.1
"miniboone",0.929758489131927,0.925681555271149,2,256,"cone",1
"miniboone",0.926437079906464,0.925559985637665,4,256,"cone",0.1
"miniboone",0.922623515129089,0.925286453962326,4,512,"cone",1
"miniboone",0.925914227962494,0.924779933691025,2,512,"cone",0.01
"miniboone",0.922469735145569,0.924536800384522,2,1024,"cone",1
"miniboone",0.926529347896576,0.924445652961731,3,256,"cone",0.1
"miniboone",0.926037192344666,0.924334192276001,3,1024,"cone",1
"miniboone",0.921393394470215,0.923523718118668,3,1024,"cone",0.01
"miniboone",0.926190972328186,0.92344269156456,3,512,"cone",0.1
"miniboone",0.926191031932831,0.923351514339447,4,256,"cone",1
"miniboone",0.918379426002502,0.923229932785034,3,256,"cone",1
"miniboone",0.926713824272156,0.922824710607529,8,256,"cone",0.1
"miniboone",0.922838866710663,0.92260183095932,4,1024,"cone",0.1
"miniboone",0.92293107509613,0.922105425596237,3,512,"cone",0.01
"miniboone",0.914842784404755,0.921872407197952,2,256,"cone",0.01
"miniboone",0.92588347196579,0.921831893920898,2,512,"rect",0.01
"miniboone",0.925206899642944,0.921609020233154,2,256,"rect",0.01
"miniboone",0.926836967468262,0.921538138389587,8,256,"cone",1
"miniboone",0.919947922229767,0.921426653862,3,512,"cone",1
"miniboone",0.919947922229767,0.921416544914246,3,256,"cone",0.01
"miniboone",0.923515379428864,0.921112608909607,4,1024,"cone",1
"miniboone",0.924438059329987,0.921092367172241,8,512,"cone",0.1
"miniboone",0.920716762542725,0.920717537403107,2,1024,"rect",0.1
"miniboone",0.924991607666016,0.92053519487381,2,256,"rect",0.1
"miniboone",0.924745559692383,0.92049463391304,4,256,"cone",0.01
"miniboone",0.921485662460327,0.920251548290253,16,1024,"rect",0.1
"miniboone",0.921762466430664,0.920109683275223,2,512,"rect",0.1
"miniboone",0.922192990779877,0.919886779785156,3,1024,"cone",0.1
"miniboone",0.921762466430664,0.919278955459595,4,512,"cone",0.01
"miniboone",0.91896378993988,0.918975037336349,3,256,"rect",0.01
"miniboone",0.919978678226471,0.918731898069382,8,1024,"cone",0.1
"miniboone",0.91948664188385,0.918681240081787,4,512,"cone",0.1
"miniboone",0.922377467155457,0.918671131134033,4,1024,"cone",0.01
"miniboone",0.918871641159058,0.918428003787994,8,1024,"rect",0.1
"miniboone",0.919732689857483,0.917090731859207,3,256,"rect",0.1
"miniboone",0.918225646018982,0.916553795337677,16,256,"rect",0.1
"miniboone",0.918379485607147,0.916493040323257,8,1024,"cone",1
"miniboone",0.919486701488495,0.91635120511055,3,512,"rect",0.1
"miniboone",0.917887389659882,0.916178971529007,4,1024,"rect",0.1
"miniboone",0.917764365673065,0.916047269105911,3,512,"rect",0.01
"miniboone",0.912351667881012,0.915712970495224,2,1024,"rect",0.01
"miniboone",0.919332802295685,0.915338134765625,8,1024,"cone",0.01
"miniboone",0.915734529495239,0.915338122844696,32,256,"rect",0.01
"miniboone",0.910998463630676,0.914740407466889,3,1024,"rect",0.1
"miniboone",0.910875499248505,0.914517539739609,4,512,"rect",0.1
"miniboone",0.91638046503067,0.913919842243195,8,512,"rect",0.1
"miniboone",0.916503489017487,0.912987798452377,4,256,"rect",0.01
"miniboone",0.915273249149323,0.912916898727417,8,512,"cone",0.01
"miniboone",0.914904296398163,0.912734550237655,3,1024,"rect",0.01
"miniboone",0.911890387535095,0.912734544277191,4,256,"rect",0.1
"miniboone",0.91327428817749,0.911427700519562,4,1024,"rect",0.01
"miniboone",0.912044167518616,0.91125545501709,4,512,"rect",0.01
"miniboone",0.910137355327606,0.910951519012451,8,256,"rect",0.1
"miniboone",0.910660207271576,0.907821154594422,8,256,"cone",0.01
"miniboone",0.90863037109375,0.907679337263107,32,512,"rect",0.01
"miniboone",0.903125405311584,0.906757438182831,16,256,"rect",0.01
"miniboone",0.905247509479523,0.905410045385361,32,256,"rect",0.1
"miniboone",0.904878437519073,0.905207419395447,16,512,"rect",0.01
"miniboone",0.90361750125885,0.90484271645546,16,1024,"rect",0.01
"miniboone",0.904171049594879,0.904163974523544,8,512,"rect",0.01
"miniboone",0.904724597930908,0.904042392969132,8,1024,"rect",0.01
"miniboone",0.903955698013306,0.903596657514572,8,256,"rect",0.01
"miniboone",0.797515749931335,0.790092349052429,8,512,"cone",1
"miniboone",0.759872674942017,0.767602229118347,16,512,"rect",0.1
"miniboone",0.719400227069855,0.72701867222786,32,1024,"rect",0.01
"miniboone",0.719400227069855,0.720190584659577,32,1024,"cone",0.01
"miniboone",0.719400227069855,0.720190584659577,32,512,"cone",0.01
"miniboone",0.719400227069855,0.720190584659577,32,256,"cone",0.01
"miniboone",0.719400227069855,0.720190584659577,32,1024,"cone",0.1
"miniboone",0.719400227069855,0.720190584659577,32,1024,"rect",0.1
"miniboone",0.719400227069855,0.720190584659577,32,512,"cone",0.1
"miniboone",0.719400227069855,0.720190584659577,32,512,"rect",0.1
"miniboone",0.719400227069855,0.720190584659577,32,256,"cone",0.1
"miniboone",0.719400227069855,0.720190584659577,32,1024,"cone",1
"miniboone",0.719400227069855,0.720190584659577,32,1024,"rect",1
"miniboone",0.719400227069855,0.720190584659577,32,512,"cone",1
"miniboone",0.719400227069855,0.720190584659577,32,512,"rect",1
"miniboone",0.719400227069855,0.720190584659577,32,256,"cone",1
"miniboone",0.719400227069855,0.720190584659577,32,256,"rect",1
"miniboone",0.719400227069855,0.720190584659577,16,1024,"cone",0.01
"miniboone",0.719400227069855,0.720190584659577,16,512,"cone",0.01
"miniboone",0.719400227069855,0.720190584659577,16,256,"cone",0.01
"miniboone",0.719400227069855,0.720190584659577,16,1024,"cone",0.1
"miniboone",0.719400227069855,0.720190584659577,16,512,"cone",0.1
"miniboone",0.719400227069855,0.720190584659577,16,256,"cone",0.1
"miniboone",0.719400227069855,0.720190584659577,16,1024,"cone",1
"miniboone",0.719400227069855,0.720190584659577,16,512,"cone",1
"miniboone",0.719400227069855,0.720190584659577,16,512,"rect",1
"miniboone",0.719400227069855,0.720190584659577,16,256,"cone",1
"miniboone",0.719400227069855,0.720190584659577,16,256,"rect",1
"miniboone",0.719400227069855,0.720190584659577,8,1024,"rect",1
"miniboone",0.719400227069855,0.720190584659577,8,512,"rect",1
"miniboone",0.719400227069855,0.720190584659577,4,1024,"rect",1
"miniboone",0.719400227069855,0.720190584659577,4,512,"rect",1
"miniboone",0.719400227069855,0.720190584659577,2,1024,"rect",1
"miniboone",0.719400227069855,0.67616260945797,2,256,"rect",1
"miniboone",0.719400227069855,0.667895936965942,3,512,"rect",1
"miniboone",0.280600249767303,0.279809564352035,16,1024,"rect",1
"miniboone",0.280600249767303,0.279809564352035,8,256,"rect",1
