"dataset","valAccuracy","nhidden","layerForm","testAccuracy","nlayers","learningrate"
"heart-hungarian",0.73913049697876,512,"cone",0.643835604190826,16,1
"heart-hungarian",0.73913049697876,256,"cone",0.643835604190826,16,1
"heart-hungarian",0.73913049697876,1024,"cone",0.643835604190826,8,1
"heart-hungarian",0.73913049697876,256,"cone",0.643835604190826,8,1
"heart-hungarian",0.73913049697876,512,"rect",0.643835604190826,4,1
"heart-hungarian",0.73913049697876,1024,"rect",0.643835604190826,3,1
"heart-hungarian",0.73913049697876,256,"rect",0.643835604190826,3,1
"heart-hungarian",0.73913049697876,1024,"rect",0.643835604190826,2,1
"heart-hungarian",0.739130437374115,1024,"rect",0.767123222351074,8,0.01
"heart-hungarian",0.726087009906769,512,"rect",0.780821919441223,3,0.01
"heart-hungarian",0.691304403543472,1024,"rect",0.643835604190826,32,0.1
"heart-hungarian",0.691304403543472,512,"rect",0.643835604190826,32,0.1
"heart-hungarian",0.691304403543472,1024,"rect",0.356164395809174,16,0.1
"heart-hungarian",0.691304403543472,512,"rect",0.643835604190826,16,1
"heart-hungarian",0.691304403543472,1024,"rect",0.643835604190826,4,1
"heart-hungarian",0.691304403543472,512,"rect",0.643835604190826,3,1
"heart-hungarian",0.643478310108185,256,"rect",0.643835604190826,16,1
"heart-hungarian",0.643478310108185,256,"rect",0.643835604190826,8,1
"heart-hungarian",0.608695697784424,1024,"rect",0.643835604190826,8,1
"heart-hungarian",0.595652216672897,512,"rect",0.643835604190826,8,1
"heart-hungarian",0.595652216672897,256,"rect",0.643835604190826,32,1
"heart-hungarian",0.595652216672897,256,"rect",0.643835604190826,4,1
"heart-hungarian",0.547826105356216,256,"rect",0.863013684749603,2,1
