"dataset","nlayers","layerForm","learningrate","nhidden","valAccuracy","testAccuracy"
"mammographic",4,"cone",0.1,256,0.872857159376144,0.820833384990692
"mammographic",2,"cone",1,256,0.861428588628769,0.825000047683716
"mammographic",2,"cone",0.01,512,0.855714297294617,0.800000071525574
"mammographic",3,"cone",1,256,0.851428586244583,0.820833384990692
"mammographic",2,"cone",1,512,0.848571455478668,0.825000107288361
"mammographic",4,"cone",1,1024,0.848571449518204,0.804166734218597
"mammographic",3,"cone",0.01,1024,0.844285744428635,0.808333396911621
"mammographic",2,"cone",0.01,1024,0.844285732507706,0.812500059604645
"mammographic",2,"rect",0.01,256,0.844285702705383,0.812500059604645
"mammographic",4,"cone",1,256,0.842857164144516,0.804166793823242
"mammographic",4,"cone",0.01,1024,0.842857158184052,0.808333396911621
"mammographic",3,"cone",1,512,0.841428577899933,0.800000071525574
"mammographic",8,"cone",0.01,1024,0.838571470975876,0.783333420753479
"mammographic",2,"cone",0.1,512,0.838571453094482,0.820833384990692
"mammographic",2,"cone",0.1,1024,0.835714304447174,0.812500059604645
"mammographic",8,"cone",0.1,1024,0.834285724163055,0.804166734218597
"mammographic",3,"cone",0.1,512,0.832857173681259,0.812500059604645
"mammographic",4,"cone",0.1,1024,0.832857173681259,0.81250011920929
"mammographic",8,"rect",0.1,512,0.83142860531807,0.800000071525574
"mammographic",2,"cone",0.1,256,0.831428599357605,0.833333373069763
"mammographic",4,"cone",0.1,512,0.830000019073487,0.825000047683716
"mammographic",3,"cone",1,1024,0.830000013113022,0.825000047683716
"mammographic",8,"cone",0.01,256,0.828571456670761,0.779166758060455
"mammographic",2,"cone",1,1024,0.828571450710297,0.81250011920929
"mammographic",3,"cone",0.1,1024,0.828571450710297,0.820833384990692
"mammographic",3,"cone",0.1,256,0.828571450710297,0.808333456516266
"mammographic",2,"rect",0.1,512,0.827142864465714,0.79583340883255
"mammographic",4,"rect",0.1,512,0.825714313983917,0.825000047683716
"mammographic",4,"rect",0.1,256,0.825714313983917,0.79583340883255
"mammographic",2,"rect",0.01,512,0.824285751581192,0.820833444595337
"mammographic",2,"cone",0.01,256,0.824285739660263,0.791666746139526
"mammographic",8,"rect",0.01,512,0.822857189178467,0.783333361148834
"mammographic",8,"rect",0.1,256,0.822857177257538,0.804166734218597
"mammographic",4,"rect",0.01,512,0.821428602933884,0.79583340883255
"mammographic",2,"rect",0.1,256,0.821428596973419,0.791666746139526
"mammographic",2,"rect",0.01,1024,0.817142885923386,0.800000131130219
"mammographic",4,"cone",0.01,512,0.817142879962921,0.816666722297668
"mammographic",4,"cone",1,512,0.815714317560196,0.800000071525574
"mammographic",3,"rect",0.1,512,0.815714305639267,0.791666746139526
"mammographic",4,"cone",0.01,256,0.812857174873352,0.820833384990692
"mammographic",3,"rect",0.01,512,0.812857174873352,0.787500083446503
"mammographic",3,"rect",0.1,256,0.812857168912888,0.820833444595337
"mammographic",3,"rect",0.01,1024,0.811428600549698,0.791666746139526
"mammographic",8,"cone",0.01,512,0.810000020265579,0.775000095367432
"mammographic",3,"cone",0.01,256,0.808571463823319,0.800000071525574
