"dataset","testAccuracy","nhidden","nlayers","layerForm","learningrate","valAccuracy"
"audiology-std",0,512,32,"cone",1,0.166666675359011
"audiology-std",0.439999997615814,512,16,"cone",0.1,0.160000009834766
"audiology-std",0.159999996423721,256,4,"rect",1,0.160000009089708
"audiology-std",0,256,32,"rect",1,0.16000000834465
"audiology-std",0.439999997615814,1024,32,"rect",1,0.15333334133029
"audiology-std",0,1024,16,"rect",1,0.15333334133029
"audiology-std",0,256,8,"rect",1,0.15333334133029
"audiology-std",0,1024,32,"cone",1,0.146666674315929
"audiology-std",0.159999996423721,256,3,"rect",1,0.146666674315929
"audiology-std",0,512,8,"rect",1,0.140000007301569
"audiology-std",0.0799999982118607,1024,16,"cone",1,0.120000007003546
"audiology-std",0.159999996423721,1024,8,"rect",1,0.120000006258488
"audiology-std",0.159999996423721,512,3,"rect",1,0.113333340734243
"audiology-std",0.319999992847443,512,4,"rect",1,0.106666673719883
"audiology-std",0,256,16,"rect",1,0.106666672229767
"audiology-std",0.439999997615814,1024,4,"rect",1,0.0733333371579647
