"dataset","valAccuracy","learningrate","testAccuracy","nlayers","nhidden","layerForm"
"statlog-landsat",0.915981698036194,0.01,0.903999984264374,2,512,"rect"
"statlog-landsat",0.911415463685989,1,0.898000001907349,3,1024,"cone"
"statlog-landsat",0.908219134807587,0.1,0.906499981880188,8,512,"rect"
"statlog-landsat",0.907077568769455,0.1,0.891000032424927,2,256,"cone"
"statlog-landsat",0.906392616033554,1,0.902000069618225,2,512,"cone"
"statlog-landsat",0.905707722902298,0.01,0.897000014781952,8,1024,"rect"
"statlog-landsat",0.905479383468628,0.01,0.896500051021576,2,256,"rect"
"statlog-landsat",0.904794466495514,1,0.898499965667725,2,1024,"cone"
"statlog-landsat",0.904566156864166,1,0.904500067234039,2,256,"cone"
"statlog-landsat",0.904109525680542,0.1,0.910500049591064,3,1024,"rect"
"statlog-landsat",0.903881168365478,1,0.901500105857849,2,512,"rect"
"statlog-landsat",0.903424596786499,0.01,0.896500051021576,2,512,"cone"
"statlog-landsat",0.903424572944641,0.1,0.909500062465668,4,256,"cone"
"statlog-landsat",0.902739655971527,1,0.89300000667572,2,256,"rect"
"statlog-landsat",0.902511340379715,0.01,0.892000079154968,4,1024,"cone"
"statlog-landsat",0.902054733037949,0.01,0.896500051021576,2,1024,"cone"
"statlog-landsat",0.901826411485672,1,0.874000072479248,3,512,"cone"
"statlog-landsat",0.901598083972931,0.1,0.898500084877014,8,1024,"cone"
"statlog-landsat",0.901598072052002,0.01,0.884000062942505,4,512,"cone"
"statlog-landsat",0.901369792222977,1,0.866500020027161,4,512,"cone"
"statlog-landsat",0.901141464710236,0.1,0.884000062942505,3,256,"rect"
"statlog-landsat",0.900228261947632,0.1,0.90149998664856,4,256,"rect"
"statlog-landsat",0.900228255987167,0.1,0.88700008392334,8,1024,"rect"
"statlog-landsat",0.900228226184845,0.1,0.901000082492828,8,256,"rect"
"statlog-landsat",0.899999934434891,0.1,0.90200001001358,2,256,"rect"
"statlog-landsat",0.899771624803543,0.1,0.903500080108643,2,512,"rect"
"statlog-landsat",0.899771618843079,0.1,0.89900004863739,4,1024,"cone"
"statlog-landsat",0.899771595001221,0.1,0.891000032424927,3,1024,"cone"
"statlog-landsat",0.899086683988571,0.1,0.902000069618225,3,512,"rect"
"statlog-landsat",0.899086672067642,1,0.897500038146973,3,256,"cone"
"statlog-landsat",0.898401767015457,1,0.895000040531158,4,256,"cone"
"statlog-landsat",0.898401749134064,0.1,0.898500084877014,8,256,"cone"
"statlog-landsat",0.89748854637146,0.01,0.893999993801117,3,1024,"rect"
"statlog-landsat",0.897488510608673,0.1,0.910000085830688,4,512,"rect"
"statlog-landsat",0.897031915187836,1,0.895500063896179,4,1024,"cone"
"statlog-landsat",0.897031909227371,0.1,0.893500030040741,3,256,"cone"
"statlog-landsat",0.896575284004211,0.1,0.90500009059906,2,1024,"rect"
"statlog-landsat",0.896118658781052,0.01,0.89300000667572,3,1024,"cone"
"statlog-landsat",0.895890367031097,0.01,0.890500009059906,3,256,"rect"
"statlog-landsat",0.894977134466171,0.01,0.890500068664551,4,256,"rect"
"statlog-landsat",0.89452046751976,0.1,0.913000166416168,4,512,"cone"
"statlog-landsat",0.894292134046555,0.1,0.906000077724457,4,1024,"rect"
"statlog-landsat",0.894063866138458,0.1,0.894500076770782,2,512,"cone"
"statlog-landsat",0.894063860177994,0.01,0.895500063896179,4,1024,"rect"
"statlog-landsat",0.893835592269897,0.1,0.871000051498413,8,512,"cone"
"statlog-landsat",0.892922288179398,0.1,0.885500013828278,3,512,"cone"
"statlog-landsat",0.892009061574936,0.01,0.888000130653381,2,1024,"rect"
"statlog-landsat",0.891780757904053,0.01,0.882000088691711,3,256,"cone"
"statlog-landsat",0.891552436351776,0.01,0.884500026702881,16,1024,"cone"
"statlog-landsat",0.891324138641358,0.1,0.862000048160553,16,512,"rect"
"statlog-landsat",0.89041091799736,0.01,0.882500112056732,3,512,"cone"
"statlog-landsat",0.888812708854675,0.01,0.888000071048737,16,1024,"rect"
"statlog-landsat",0.888356101512909,0.01,0.88100004196167,2,256,"cone"
"statlog-landsat",0.888356077671051,0.01,0.880000114440918,16,512,"rect"
"statlog-landsat",0.887899482250214,0.01,0.894500017166138,3,512,"rect"
"statlog-landsat",0.887671172618866,0.1,0.89900004863739,2,1024,"cone"
"statlog-landsat",0.886986237764359,0.01,0.870499968528748,8,512,"cone"
"statlog-landsat",0.88630131483078,0.01,0.892500102519989,8,512,"rect"
"statlog-landsat",0.885159766674042,0.01,0.895000100135803,4,512,"rect"
"statlog-landsat",0.884703147411347,0.01,0.889500081539154,4,256,"cone"
"statlog-landsat",0.884474796056748,0.01,0.888500094413757,8,256,"rect"
"statlog-landsat",0.883561581373215,0.01,0.881999969482422,8,1024,"cone"
"statlog-landsat",0.883104956150055,0.01,0.877000093460083,8,256,"cone"
"statlog-landsat",0.880593550205231,1,0.864000082015991,8,256,"cone"
"statlog-landsat",0.877397173643112,0.01,0.859500050544739,16,512,"cone"
"statlog-landsat",0.876712256669998,0.01,0.881500005722046,16,256,"rect"
"statlog-landsat",0.874200850725174,1,0.860000014305115,8,1024,"cone"
"statlog-landsat",0.870776176452637,0.1,0.85400003194809,16,256,"rect"
"statlog-landsat",0.869634622335434,0.01,0.86650013923645,16,256,"cone"
"statlog-landsat",0.860730540752411,1,0.843000054359436,8,512,"cone"
"statlog-landsat",0.857990783452988,0.01,0.851499974727631,32,256,"rect"
"statlog-landsat",0.850913190841675,0.01,0.8125,32,1024,"rect"
"statlog-landsat",0.827853828668594,0.1,0.829999983310699,16,1024,"rect"
"statlog-landsat",0.710730570554733,0.1,0.678000032901764,16,512,"cone"
"statlog-landsat",0.671232843399048,0.1,0.646000027656555,16,1024,"cone"
"statlog-landsat",0.585844713449478,0.01,0.5625,32,512,"cone"
"statlog-landsat",0.514840161800384,0.1,0.566500008106232,16,256,"cone"
"statlog-landsat",0.45251139998436,0.01,0.383499979972839,32,512,"rect"
"statlog-landsat",0.421232870221138,1,0.407000005245209,16,1024,"cone"
"statlog-landsat",0.293150665611029,1,0.305000007152557,2,1024,"rect"
"statlog-landsat",0.255707767605782,1,0.230499997735023,4,256,"rect"
"statlog-landsat",0.25570775270462,0.01,0.230499997735023,32,256,"cone"
