"dataset","valAccuracy","testAccuracy","learningrate","nhidden","layerForm","nlayers"
"page-blocks",0.982469165325165,0.97076016664505,0.01,512,"cone",2
"page-blocks",0.982222282886505,0.969298183917999,0.01,256,"rect",2
"page-blocks",0.981481522321701,0.97002911567688,0.01,512,"rect",2
"page-blocks",0.981234610080719,0.968567252159119,0.1,1024,"cone",3
"page-blocks",0.980987691879272,0.965643167495728,0.1,512,"cone",3
"page-blocks",0.980493849515915,0.975146174430847,0.01,1024,"cone",4
"page-blocks",0.980246925354004,0.969298124313354,0.1,256,"cone",2
"page-blocks",0.980246913433075,0.964912354946136,0.01,256,"cone",2
"page-blocks",0.980000025033951,0.965643167495728,0.01,512,"rect",3
"page-blocks",0.97975310087204,0.968567192554474,0.01,1024,"rect",2
"page-blocks",0.979506206512451,0.967105209827423,0.1,256,"cone",3
"page-blocks",0.979506200551987,0.969298124313354,0.1,1024,"cone",2
"page-blocks",0.979012376070023,0.970760107040405,0.01,256,"rect",3
"page-blocks",0.979012364149094,0.967836260795593,0.1,256,"rect",2
"page-blocks",0.978765499591827,0.965643167495728,1,256,"cone",4
"page-blocks",0.978765439987183,0.969298243522644,0.1,256,"cone",8
"page-blocks",0.978518557548523,0.970029294490814,0.01,1024,"cone",2
"page-blocks",0.978518545627594,0.961257338523865,0.01,512,"cone",3
"page-blocks",0.978271633386612,0.97002911567688,1,512,"cone",3
"page-blocks",0.978271627426148,0.956871271133423,0.1,512,"cone",4
"page-blocks",0.97802472114563,0.966374278068542,0.01,256,"cone",4
"page-blocks",0.978024715185166,0.966374158859253,0.01,1024,"cone",3
"page-blocks",0.978024703264237,0.969298124313354,0.1,256,"rect",3
"page-blocks",0.977777814865112,0.959795296192169,0.1,512,"rect",3
"page-blocks",0.977777802944183,0.96052622795105,0.01,256,"rect",16
"page-blocks",0.977530896663666,0.96198832988739,1,256,"cone",2
"page-blocks",0.977530860900879,0.964181184768677,1,512,"cone",4
"page-blocks",0.977284002304077,0.959064245223999,0.01,256,"rect",8
"page-blocks",0.977037066221237,0.970029294490814,0.1,512,"cone",2
"page-blocks",0.977037042379379,0.971491098403931,1,256,"cone",3
"page-blocks",0.97703703045845,0.969298124313354,0.1,256,"rect",4
"page-blocks",0.977037000656128,0.968567311763763,1,1024,"cone",4
"page-blocks",0.976790118217468,0.970029234886169,0.01,256,"rect",4
"page-blocks",0.976543253660202,0.966374158859253,0.01,512,"rect",4
"page-blocks",0.976543200016022,0.967836141586304,0.01,1024,"rect",4
"page-blocks",0.976049393415451,0.967105150222778,0.01,1024,"rect",3
"page-blocks",0.975802516937256,0.959064245223999,0.1,512,"rect",2
"page-blocks",0.97580246925354,0.966374158859253,0.1,1024,"cone",4
"page-blocks",0.97580246925354,0.967105209827423,0.1,1024,"cone",8
"page-blocks",0.975308668613434,0.966374278068542,0.1,512,"rect",8
"page-blocks",0.975308668613434,0.962719261646271,0.1,1024,"rect",8
"page-blocks",0.975308656692505,0.961257219314575,0.1,1024,"rect",4
"page-blocks",0.975061768293381,0.956140279769897,0.1,512,"rect",4
"page-blocks",0.975061750411988,0.966374278068542,1,1024,"cone",2
