"dataset","nhidden","valAccuracy","nlayers","testAccuracy","learningrate","layerForm"
"magic",256,0.632167875766754,8,0.648370146751404,1,"rect"
"magic",1024,0.632167875766754,4,0.648370146751404,1,"rect"
"magic",512,0.632167875766754,4,0.648370146751404,1,"rect"
"magic",256,0.632167875766754,4,0.648370146751404,1,"rect"
"magic",1024,0.632167875766754,3,0.648370146751404,1,"rect"
"magic",512,0.632167875766754,3,0.648370146751404,1,"rect"
"magic",256,0.632167875766754,3,0.648159861564636,1,"rect"
"magic",1024,0.632167875766754,2,0.648370146751404,1,"rect"
"magic",512,0.632167875766754,2,0.648370146751404,1,"rect"
"magic",256,0.632167875766754,2,0.648370206356049,1,"rect"
"magic",1024,0.605734306573868,32,0.648370146751404,0.01,"rect"
"magic",512,0.572517517209053,16,0.648370146751404,1,"rect"
