"dataset","layerForm","testAccuracy","valAccuracy","nhidden","learningrate","nlayers"
"titanic","rect",0.76181823015213,0.776282072067261,512,0.1,3
"titanic","cone",0.789090931415558,0.774358993768692,512,1,2
"titanic","cone",0.789090871810913,0.774358993768692,256,1,2
"titanic","cone",0.789090871810913,0.773076969385147,1024,1,3
"titanic","rect",0.781818211078644,0.769230788946152,1024,0.1,8
"titanic","cone",0.779999971389771,0.769230782985687,1024,0.01,8
"titanic","cone",0.776363551616669,0.769230782985687,256,0.1,8
"titanic","cone",0.781818211078644,0.769230782985687,256,1,8
"titanic","rect",0.790909111499786,0.767948740720749,1024,0.01,3
"titanic","rect",0.778181791305542,0.765384650230408,256,0.1,16
"titanic","rect",0.792727291584015,0.763461565971375,256,0.1,4
"titanic","rect",0.778181791305542,0.761538505554199,1024,0.01,2
"titanic","rect",0.763636410236359,0.756410282850266,512,0.01,32
"titanic","rect",0.581818222999573,0.747435945272446,256,0.1,2
"titanic","cone",0.6890909075737,0.692307710647583,256,0.01,8
"titanic","cone",0.678181827068329,0.679487228393555,512,0.01,32
"titanic","rect",0.678181827068329,0.679487228393555,256,0.01,32
"titanic","cone",0.678181827068329,0.679487228393555,512,0.1,32
"titanic","rect",0.678181827068329,0.679487228393555,512,0.1,32
"titanic","cone",0.678181827068329,0.679487228393555,1024,1,32
"titanic","rect",0.678181827068329,0.679487228393555,1024,1,32
"titanic","cone",0.678181827068329,0.679487228393555,512,1,32
"titanic","rect",0.678181827068329,0.679487228393555,512,1,32
"titanic","cone",0.678181827068329,0.679487228393555,1024,0.01,16
"titanic","cone",0.678181827068329,0.679487228393555,512,0.01,16
"titanic","cone",0.678181827068329,0.679487228393555,1024,0.1,16
"titanic","cone",0.678181827068329,0.679487228393555,512,0.1,16
"titanic","rect",0.678181827068329,0.679487228393555,512,0.1,16
"titanic","cone",0.678181827068329,0.679487228393555,1024,1,16
"titanic","rect",0.678181827068329,0.679487228393555,256,1,16
"titanic","rect",0.678181827068329,0.679487228393555,512,1,8
"titanic","rect",0.678181827068329,0.679487228393555,256,1,8
"titanic","rect",0.683636367321014,0.679487228393555,1024,1,3
"titanic","rect",0.678181827068329,0.679487228393555,512,1,3
"titanic","rect",0.678181827068329,0.679487228393555,512,1,2
"titanic","rect",0.678181827068329,0.679487228393555,256,1,2
"titanic","rect",0.678181827068329,0.67948722243309,1024,0.1,32
"titanic","rect",0.678181827068329,0.67948722243309,256,0.1,32
"titanic","rect",0.678181827068329,0.67948722243309,256,1,32
"titanic","cone",0.678181827068329,0.67948722243309,256,0.01,16
"titanic","rect",0.678181827068329,0.67948722243309,1024,1,8
"titanic","rect",0.678181827068329,0.67948722243309,1024,1,4
"titanic","rect",0.678181827068329,0.67948722243309,1024,1,2
"titanic","rect",0.678181827068329,0.679487216472626,1024,0.1,16
