"dataset","learningrate","nlayers","valAccuracy","layerForm","testAccuracy","nhidden"
"ringnorm",0.1,3,0.982330203056336,"rect",0.982702732086182,1024
"ringnorm",0.1,8,0.978835022449494,"cone",0.980000078678131,512
"ringnorm",0.1,3,0.976699078083038,"cone",0.984864890575409,1024
"ringnorm",0.01,2,0.97669905424118,"cone",0.977297306060791,512
"ringnorm",0.1,2,0.976116579771042,"rect",0.981081128120422,256
"ringnorm",0.1,8,0.975339847803116,"cone",0.970810890197754,256
"ringnorm",0.1,2,0.974951547384262,"rect",0.984864950180054,1024
"ringnorm",1,2,0.974951529502869,"cone",0.980540633201599,512
"ringnorm",1,4,0.974757331609726,"cone",0.973513603210449,256
"ringnorm",0.1,4,0.974757206439972,"cone",0.979459524154663,1024
"ringnorm",0.01,2,0.974174845218658,"rect",0.974594593048096,256
"ringnorm",0.01,2,0.973009765148163,"rect",0.97891902923584,512
"ringnorm",1,3,0.972815620899201,"cone",0.978378474712372,512
"ringnorm",0.1,4,0.972815573215485,"rect",0.977837920188904,512
"ringnorm",0.1,2,0.972815573215485,"cone",0.982702732086182,512
"ringnorm",1,8,0.972427260875702,"cone",0.979459524154663,512
"ringnorm",0.01,2,0.972427219152451,"cone",0.974594593048096,256
"ringnorm",0.1,4,0.972233057022095,"rect",0.972973048686981,256
"ringnorm",0.1,4,0.97165060043335,"cone",0.972432494163513,256
"ringnorm",0.1,8,0.971650552749634,"rect",0.980540633201599,1024
"ringnorm",0.1,3,0.971456354856491,"cone",0.980540573596954,512
"ringnorm",0.1,16,0.971262228488922,"rect",0.975675761699677,512
"ringnorm",1,3,0.971068036556244,"cone",0.980540633201599,1024
"ringnorm",0.1,16,0.970873892307281,"rect",0.980000019073486,256
"ringnorm",0.01,2,0.970873886346817,"rect",0.981621623039246,1024
"ringnorm",1,3,0.970873856544495,"cone",0.976756811141968,256
"ringnorm",0.01,2,0.970873844623566,"cone",0.975135207176208,1024
"ringnorm",0.1,3,0.970873832702637,"rect",0.9762162566185,512
"ringnorm",0.1,8,0.970097118616104,"cone",0.978378415107727,1024
"ringnorm",0.1,2,0.97009711265564,"cone",0.981621623039246,1024
"ringnorm",1,4,0.969708800315857,"cone",0.980540633201599,1024
"ringnorm",1,2,0.969708782434464,"cone",0.980540573596954,1024
"ringnorm",0.1,3,0.969514620304108,"rect",0.975675702095032,256
"ringnorm",0.1,4,0.96951459646225,"rect",0.980540633201599,1024
"ringnorm",0.1,4,0.969126296043396,"cone",0.978378415107727,512
"ringnorm",1,2,0.968932116031647,"cone",0.98324328660965,256
"ringnorm",0.1,8,0.968932032585144,"rect",0.957297384738922,512
"ringnorm",0.1,2,0.968349575996399,"rect",0.984324395656586,512
"ringnorm",0.01,3,0.968155401945114,"cone",0.964864909648895,256
"ringnorm",0.1,2,0.967961215972901,"cone",0.983783900737762,256
"ringnorm",1,4,0.967184525728226,"cone",0.977297425270081,512
"ringnorm",0.1,3,0.965242731571198,"cone",0.979459524154663,256
"ringnorm",0.01,3,0.963689386844635,"cone",0.974054098129272,1024
"ringnorm",0.01,8,0.962524300813675,"cone",0.955675661563873,1024
"ringnorm",0.01,3,0.959223353862763,"rect",0.963243246078491,256
"ringnorm",0.1,8,0.956893217563629,"rect",0.952432513237,256
"ringnorm",0.01,4,0.955339848995209,"rect",0.948648691177368,256
"ringnorm",0.01,3,0.953592282533646,"rect",0.960540592670441,1024
"ringnorm",0.01,4,0.952815556526184,"cone",0.951351404190063,256
"ringnorm",0.01,3,0.950485497713089,"cone",0.958918988704681,512
"ringnorm",0.01,4,0.950097167491913,"cone",0.946486532688141,512
"ringnorm",0.01,4,0.949514681100845,"rect",0.942702770233154,512
"ringnorm",0.01,3,0.948543745279312,"rect",0.960540533065796,512
"ringnorm",0.01,8,0.948543739318848,"cone",0.93567568063736,256
"ringnorm",0.01,4,0.946796178817749,"cone",0.935135126113892,1024
"ringnorm",0.01,32,0.944466030597687,"rect",0.944864869117737,512
"ringnorm",0.01,8,0.940388405323029,"cone",0.952973008155823,512
"ringnorm",0.01,32,0.934757286310196,"rect",0.918918967247009,1024
"ringnorm",0.01,4,0.932038843631744,"rect",0.928108155727386,1024
"ringnorm",0.01,32,0.926407808065415,"rect",0.922702729701996,256
"ringnorm",0.01,16,0.829126238822937,"rect",0.784864842891693,512
"ringnorm",0.01,16,0.821941828727722,"rect",0.776216208934784,256
"ringnorm",0.01,8,0.821359276771545,"rect",0.767027020454407,1024
"ringnorm",0.01,16,0.821165102720261,"rect",0.79135137796402,1024
"ringnorm",0.01,8,0.805825293064117,"rect",0.762702763080597,512
"ringnorm",0.01,8,0.781941795349121,"rect",0.74648654460907,256
"ringnorm",1,8,0.656116503477097,"cone",0.697297394275665,256
"ringnorm",0.1,32,0.565048539638519,"rect",0.548648715019226,256
"ringnorm",1,8,0.518834975361824,"rect",0.495135128498077,512
"ringnorm",1,8,0.517864090204239,"cone",0.495135128498077,1024
"ringnorm",1,2,0.513980609178543,"rect",0.510270297527313,512
"ringnorm",0.01,16,0.512621384859085,"cone",0.504864931106567,512
"ringnorm",0.01,32,0.512621372938156,"cone",0.504864931106567,512
"ringnorm",0.01,32,0.512621366977692,"cone",0.504864931106567,1024
"ringnorm",0.01,32,0.512621366977692,"cone",0.504864931106567,256
"ringnorm",1,16,0.510097101330757,"cone",0.504864871501923,512
"ringnorm",0.1,16,0.507572838664055,"rect",0.504864931106567,1024
"ringnorm",1,16,0.507572829723358,"rect",0.504864871501923,256
"ringnorm",1,4,0.507572829723358,"rect",0.504864931106567,1024
"ringnorm",1,32,0.507572826743126,"rect",0.504864931106567,1024
"ringnorm",0.1,32,0.507572823762894,"cone",0.504864931106567,256
"ringnorm",1,3,0.507572820782662,"rect",0.504864931106567,1024
"ringnorm",0.1,32,0.507572817802429,"rect",0.504864931106567,512
"ringnorm",1,32,0.507572811841965,"cone",0.504864871501923,256
"ringnorm",0.1,32,0.506407791376114,"rect",0.504864931106567,1024
"ringnorm",1,2,0.505048567056656,"rect",0.494594573974609,1024
"ringnorm",0.1,32,0.505048564076424,"cone",0.495135128498077,1024
"ringnorm",1,32,0.505048561096191,"cone",0.495135128498077,512
"ringnorm",0.1,16,0.505048561096191,"cone",0.504864871501923,256
"ringnorm",1,8,0.505048561096191,"rect",0.495135128498077,256
"ringnorm",0.1,16,0.505048558115959,"cone",0.504864931106567,1024
"ringnorm",1,4,0.505048558115959,"rect",0.504864871501923,512
"ringnorm",0.1,32,0.505048555135727,"cone",0.504864871501923,512
