"dataset","nlayers","nhidden","valAccuracy","layerForm","testAccuracy","learningrate"
"conn-bench-vowel-deterding",8,512,1,"cone",0.993506491184235,0.1
"conn-bench-vowel-deterding",8,1024,1,"cone",0.980519533157349,1
"conn-bench-vowel-deterding",4,256,0.997826081514358,"rect",0.987012982368469,0.01
"conn-bench-vowel-deterding",4,512,0.989130407571793,"cone",0.995670974254608,1
"conn-bench-vowel-deterding",16,512,0.97826087474823,"rect",0.984848439693451,0.1
"conn-bench-vowel-deterding",2,1024,0.97826087474823,"cone",0.99350643157959,1
"conn-bench-vowel-deterding",2,256,0.97826087474823,"cone",0.989177465438843,1
"conn-bench-vowel-deterding",16,1024,0.978260815143585,"rect",0.993506491184235,0.01
"conn-bench-vowel-deterding",8,1024,0.978260815143585,"rect",0.987013041973114,0.1
"conn-bench-vowel-deterding",8,256,0.978260815143585,"rect",0.991342008113861,0.1
"conn-bench-vowel-deterding",4,1024,0.978260815143585,"cone",0.989177525043488,0.1
"conn-bench-vowel-deterding",4,1024,0.978260815143585,"rect",0.995670974254608,0.1
"conn-bench-vowel-deterding",4,512,0.978260815143585,"rect",0.995670974254608,0.1
"conn-bench-vowel-deterding",4,256,0.978260815143585,"rect",0.99350643157959,0.1
"conn-bench-vowel-deterding",3,1024,0.978260815143585,"cone",0.997835457324982,0.1
"conn-bench-vowel-deterding",3,512,0.978260815143585,"rect",0.984848499298096,0.1
"conn-bench-vowel-deterding",3,256,0.978260815143585,"rect",0.993506491184235,1
"conn-bench-vowel-deterding",2,1024,0.978260815143585,"cone",0.984848439693451,0.01
"conn-bench-vowel-deterding",2,512,0.958695608377457,"cone",0.99350643157959,1
"conn-bench-vowel-deterding",3,512,0.958695602416992,"rect",0.989177465438843,0.01
"conn-bench-vowel-deterding",2,512,0.958695602416992,"rect",0.984848439693451,0.01
"conn-bench-vowel-deterding",2,256,0.958695602416992,"cone",0.987012982368469,0.1
"conn-bench-vowel-deterding",8,1024,0.956521689891815,"rect",0.984848499298096,0.01
"conn-bench-vowel-deterding",8,1024,0.956521689891815,"cone",0.989177465438843,0.1
"conn-bench-vowel-deterding",8,512,0.956521689891815,"rect",0.989177465438843,0.1
"conn-bench-vowel-deterding",4,1024,0.956521689891815,"rect",0.991341948509216,0.01
"conn-bench-vowel-deterding",4,512,0.956521689891815,"rect",0.989177465438843,0.01
"conn-bench-vowel-deterding",4,256,0.956521689891815,"cone",0.987013041973114,0.1
"conn-bench-vowel-deterding",4,256,0.956521689891815,"cone",0.98701286315918,1
"conn-bench-vowel-deterding",3,1024,0.956521689891815,"cone",0.974025964736938,0.01
"conn-bench-vowel-deterding",3,1024,0.956521689891815,"rect",0.99350643157959,0.01
"conn-bench-vowel-deterding",3,512,0.956521689891815,"cone",0.982683897018433,0.01
"conn-bench-vowel-deterding",3,256,0.956521689891815,"rect",0.978354930877686,0.01
"conn-bench-vowel-deterding",3,1024,0.956521689891815,"rect",0.987012982368469,0.1
"conn-bench-vowel-deterding",3,512,0.956521689891815,"cone",0.99350643157959,0.1
"conn-bench-vowel-deterding",3,256,0.956521689891815,"cone",0.991341948509216,0.1
"conn-bench-vowel-deterding",3,256,0.956521689891815,"rect",0.991342008113861,0.1
"conn-bench-vowel-deterding",3,256,0.956521689891815,"cone",0.991341948509216,1
"conn-bench-vowel-deterding",2,1024,0.956521689891815,"rect",0.982683897018433,0.01
"conn-bench-vowel-deterding",2,1024,0.956521689891815,"cone",0.989177465438843,0.1
"conn-bench-vowel-deterding",2,1024,0.956521689891815,"rect",0.991341948509216,0.1
"conn-bench-vowel-deterding",2,512,0.956521689891815,"cone",0.99350643157959,0.1
"conn-bench-vowel-deterding",2,512,0.956521689891815,"rect",0.991341948509216,0.1
"conn-bench-vowel-deterding",2,256,0.956521689891815,"rect",0.99350643157959,0.1
"conn-bench-vowel-deterding",4,512,0.952173864841461,"cone",0.991341948509216,0.1
"conn-bench-vowel-deterding",3,512,0.949999952316284,"cone",0.991341948509216,1
"conn-bench-vowel-deterding",2,512,0.947826039791107,"cone",0.974025964736938,0.01
"conn-bench-vowel-deterding",8,256,0.943478232622147,"cone",0.971861481666565,1
"conn-bench-vowel-deterding",4,1024,0.939130389690399,"cone",0.98701286315918,1
"conn-bench-vowel-deterding",16,512,0.934782564640045,"rect",0.989177465438843,0.01
"conn-bench-vowel-deterding",4,1024,0.934782564640045,"cone",0.984848499298096,0.01
"conn-bench-vowel-deterding",4,512,0.934782564640045,"cone",0.980519413948059,0.01
"conn-bench-vowel-deterding",3,256,0.934782564640045,"cone",0.989177465438843,0.01
"conn-bench-vowel-deterding",3,1024,0.934782564640045,"cone",0.984848499298096,1
"conn-bench-vowel-deterding",2,256,0.934782564640045,"rect",0.989177465438843,1
"conn-bench-vowel-deterding",8,512,0.926086914539337,"cone",0.948051929473877,1
"conn-bench-vowel-deterding",8,256,0.919565176963806,"cone",0.99350643157959,0.1
"conn-bench-vowel-deterding",8,1024,0.917391300201416,"cone",0.967532396316528,0.01
"conn-bench-vowel-deterding",2,512,0.917391264438629,"rect",0.991342008113861,1
"conn-bench-vowel-deterding",8,512,0.913043439388275,"rect",0.984848499298096,0.01
"conn-bench-vowel-deterding",8,256,0.913043439388275,"rect",0.982684016227722,0.01
"conn-bench-vowel-deterding",4,256,0.913043439388275,"cone",0.971861481666565,0.01
"conn-bench-vowel-deterding",2,256,0.913043439388275,"rect",0.971861481666565,0.01
"conn-bench-vowel-deterding",16,256,0.904347789287567,"rect",0.774891793727875,0.1
"conn-bench-vowel-deterding",2,256,0.891304314136505,"cone",0.967532396316528,0.01
"conn-bench-vowel-deterding",16,1024,0.889130401611328,"cone",0.954545438289642,0.01
"conn-bench-vowel-deterding",16,512,0.867391276359558,"cone",0.911255359649658,0.01
"conn-bench-vowel-deterding",16,1024,0.865217363834381,"cone",0.958874464035034,0.1
"conn-bench-vowel-deterding",8,256,0.841304326057434,"cone",0.939393997192383,0.01
"conn-bench-vowel-deterding",16,512,0.830434763431549,"cone",0.870129823684692,0.1
"conn-bench-vowel-deterding",16,256,0.826086938381195,"rect",0.978354930877686,0.01
