"dataset","learningrate","layerForm","testAccuracy","valAccuracy","nhidden","nlayers"
"annealing",1,"cone",0.5,0.932203382253647,256,3
"annealing",0.1,"cone",0.339999973773956,0.925423729419708,512,3
"annealing",0.1,"cone",0.299999982118607,0.922033894062043,512,4
"annealing",1,"cone",0.249999985098839,0.922033894062042,512,2
"annealing",0.1,"cone",0.589999973773956,0.922033888101578,256,2
"annealing",0.1,"cone",0.720000028610229,0.920338982343674,256,4
"annealing",0.1,"cone",0.669999957084656,0.920338976383209,512,2
"annealing",1,"cone",0.610000014305115,0.920338976383209,1024,2
"annealing",0.1,"rect",0.310000032186508,0.916949152946472,1024,8
"annealing",0.1,"rect",0.659999966621399,0.916949146986008,1024,3
"annealing",0.1,"cone",0.719999969005585,0.913559305667877,256,3
"annealing",0.1,"cone",0.639999985694885,0.913559299707413,1024,3
"annealing",1,"cone",0.709999978542328,0.91016948223114,256,2
"annealing",0.1,"rect",0.629999995231628,0.910169470310211,512,3
"annealing",0.1,"rect",0.649999976158142,0.908474564552307,1024,4
"annealing",0.1,"cone",0.309999972581863,0.90677964091301,1024,2
"annealing",1,"cone",0.740000009536743,0.905084735155106,1024,4
"annealing",0.1,"rect",0.319999992847443,0.905084729194641,512,8
"annealing",1,"cone",0.239999994635582,0.903389817476273,512,4
"annealing",0.01,"rect",0.28999999165535,0.903389811515808,512,4
"annealing",1,"cone",0.689999997615814,0.901694917678833,1024,3
"annealing",1,"cone",0.259999990463257,0.901694905757904,256,4
"annealing",1,"cone",0.740000009536743,0.90169489979744,512,3
"annealing",0.01,"cone",0.279999971389771,0.899999994039536,1024,4
"annealing",0.1,"rect",0.729999959468842,0.898305070400238,512,2
"annealing",0.1,"rect",0.75,0.898305058479309,256,4
"annealing",0.1,"rect",0.28999999165535,0.898305058479309,256,3
"annealing",0.1,"rect",0.299999982118607,0.898305058479309,256,2
"annealing",0.1,"cone",0.289999961853027,0.896610152721405,1024,4
"annealing",0.01,"rect",0.719999969005585,0.896610140800476,1024,4
"annealing",0.1,"rect",0.75,0.896610140800476,512,4
"annealing",0.01,"cone",0.689999938011169,0.896610140800476,256,3
"annealing",0.1,"cone",0.259999990463257,0.894915217161179,256,8
"annealing",0.1,"rect",0.729999959468842,0.893220317363739,1024,2
"annealing",0.01,"rect",0.280000001192093,0.891525387763977,1024,2
"annealing",0.01,"rect",0.689999997615814,0.889830470085144,256,2
"annealing",1,"cone",0.620000004768372,0.888135552406311,1024,8
"annealing",0.1,"rect",0.620000004768372,0.884745728969574,256,8
"annealing",0.01,"cone",0.259999990463257,0.883050853013992,512,2
"annealing",0.01,"cone",0.319999992847443,0.883050799369812,1024,2
"annealing",0.01,"rect",0.28999999165535,0.881355905532837,512,2
"annealing",0.01,"rect",0.280000001192093,0.881355881690979,512,3
"annealing",0.01,"rect",0.60999995470047,0.87966098189354,1024,16
"annealing",0.01,"cone",0.279999971389771,0.879660964012146,512,4
"annealing",0.01,"rect",0.75,0.874576252698898,256,4
"annealing",0.1,"cone",0.23999996483326,0.872881335020065,1024,8
"annealing",0.01,"rect",0.509999990463257,0.869491487741471,1024,3
"annealing",0.01,"rect",0.279999971389771,0.869491457939148,1024,8
"annealing",0.01,"cone",0.229999989271164,0.86779659986496,256,4
"annealing",0.01,"cone",0.569999992847443,0.867796587944031,1024,3
"annealing",0.1,"cone",0.269999980926514,0.867796581983566,512,8
"annealing",0.01,"rect",0.239999994635582,0.864406722784043,512,8
"annealing",0.01,"cone",0.330000013113022,0.862711793184281,256,2
"annealing",1,"cone",0.740000009536743,0.861016929149628,256,8
"annealing",0.1,"cone",0.309999972581863,0.857627099752426,1024,16
"annealing",0.01,"rect",0.759999990463257,0.857627093791962,256,16
"annealing",0.01,"cone",0.740000009536743,0.857627058029175,512,3
"annealing",0.01,"rect",0.579999983310699,0.852542346715927,512,16
"annealing",0.1,"rect",0.730000019073486,0.852542346715927,256,16
"annealing",0.01,"rect",0.629999995231628,0.849152499437332,256,3
"annealing",0.01,"rect",0.5,0.842372876405716,256,8
"annealing",0.01,"cone",0.629999995231628,0.83389829993248,256,8
"annealing",0.01,"cone",0.429999947547913,0.833898288011551,512,16
"annealing",0.01,"cone",0.689999938011169,0.830508470535278,1024,8
"annealing",1,"cone",0.759999990463257,0.823728781938553,512,8
"annealing",0.01,"cone",0.28999999165535,0.810169458389282,512,8
"annealing",0.01,"rect",0.759999990463257,0.784745728969574,512,32
"annealing",0.01,"rect",0.759999990463257,0.727118635177612,1024,32
"annealing",1,"cone",0.759999990463257,0.713559293746948,512,16
"annealing",0.01,"cone",0.669999957084656,0.708474546670914,1024,16
"annealing",0.01,"rect",0.75,0.703389817476273,256,32
"annealing",1,"cone",0.759999990463257,0.674576234817505,1024,16
"annealing",0.01,"cone",0.310000002384186,0.669491523504257,256,16
"annealing",0.01,"cone",0.759999990463257,0.661016941070557,1024,32
"annealing",0.01,"cone",0.759999990463257,0.661016941070557,512,32
"annealing",0.01,"cone",0.759999990463257,0.661016941070557,256,32
"annealing",0.1,"cone",0.759999990463257,0.661016941070557,1024,32
"annealing",0.1,"rect",0.759999990463257,0.661016941070557,1024,32
"annealing",0.1,"cone",0.759999990463257,0.661016941070557,512,32
"annealing",0.1,"rect",0.759999990463257,0.661016941070557,512,32
"annealing",0.1,"cone",0.759999990463257,0.661016941070557,256,32
"annealing",0.1,"rect",0.759999990463257,0.661016941070557,256,32
"annealing",1,"cone",0.759999990463257,0.661016941070557,1024,32
"annealing",1,"cone",0.759999990463257,0.661016941070557,512,32
"annealing",1,"cone",0.759999990463257,0.661016941070557,256,32
"annealing",0.1,"rect",0.759999990463257,0.661016941070557,1024,16
"annealing",0.1,"cone",0.759999990463257,0.661016941070557,512,16
"annealing",0.1,"cone",0.759999990463257,0.661016941070557,256,16
"annealing",1,"rect",0.759999990463257,0.661016941070557,512,16
"annealing",1,"cone",0.759999990463257,0.661016941070557,256,16
"annealing",1,"rect",0.759999990463257,0.615254230797291,1024,2
"annealing",0.1,"rect",0.28999999165535,0.610169488191605,512,16
"annealing",1,"rect",0.759999990463257,0.603389815986157,256,2
"annealing",1,"rect",0.759999990463257,0.601694907993078,256,4
"annealing",1,"rect",0.759999990463257,0.569491520524025,256,16
"annealing",1,"rect",0.0700000002980232,0.555932197719813,512,32
"annealing",1,"rect",0.759999990463257,0.538983044400811,1024,16
"annealing",1,"rect",0.759999990463257,0.538983044400811,512,3
"annealing",1,"rect",0.0599999986588955,0.535593213886023,1024,8
"annealing",1,"rect",0.759999990463257,0.523728808388114,256,3
"annealing",1,"rect",0.0700000002980232,0.493220334127546,512,4
"annealing",1,"rect",0.0599999986588955,0.476271180808544,512,8
"annealing",1,"rect",0.109999999403954,0.461016946658492,1024,32
"annealing",1,"rect",0.0700000002980232,0.454237284511328,1024,4
"annealing",1,"rect",0.109999999403954,0.279661016911268,256,32
"annealing",1,"rect",0.109999999403954,0.216949153319001,256,8
"annealing",1,"rect",0,0.179661015421152,512,2
"annealing",1,"rect",0,0.138983055949211,1024,3
