"dataset","testAccuracy","valAccuracy","nlayers","learningrate","nhidden","layerForm"
"cardiotocography-10clases",0.836158156394958,0.830573260784149,3,1,1024,"cone"
"cardiotocography-10clases",0.860640287399292,0.826751601696014,4,0.1,256,"cone"
"cardiotocography-10clases",0.853107333183289,0.817834407091141,4,1,256,"cone"
"cardiotocography-10clases",0.817325830459595,0.813375800848007,4,0.01,256,"cone"
"cardiotocography-10clases",0.839924573898315,0.811464983224869,3,0.1,512,"rect"
"cardiotocography-10clases",0.830508470535278,0.810828030109405,2,0.1,256,"rect"
"cardiotocography-10clases",0.832391679286957,0.810191076993942,4,0.1,1024,"cone"
"cardiotocography-10clases",0.828625202178955,0.807006394863129,2,0.1,256,"cone"
"cardiotocography-10clases",0.851224064826965,0.807006388902664,2,0.1,512,"rect"
"cardiotocography-10clases",0.84557431936264,0.8070063829422,2,0.1,1024,"cone"
"cardiotocography-10clases",0.81167608499527,0.807006371021271,4,0.1,512,"cone"
"cardiotocography-10clases",0.830508470535278,0.806369441747665,3,0.1,1024,"cone"
"cardiotocography-10clases",0.843691110610962,0.806369441747665,3,0.1,256,"rect"
"cardiotocography-10clases",0.841807901859283,0.805732482671738,2,1,256,"rect"
"cardiotocography-10clases",0.849340796470642,0.803821659088135,3,0.1,1024,"rect"
"cardiotocography-10clases",0.843691110610962,0.801910847425461,3,0.1,256,"cone"
"cardiotocography-10clases",0.838041484355927,0.801910823583603,4,1,1024,"cone"
"cardiotocography-10clases",0.828625202178955,0.801273882389069,4,0.01,512,"cone"
"cardiotocography-10clases",0.83427494764328,0.799999982118607,4,0.1,512,"rect"
"cardiotocography-10clases",0.832391738891602,0.799363082647324,4,0.1,256,"rect"
"cardiotocography-10clases",0.807909548282623,0.798089218139649,2,0.01,256,"cone"
"cardiotocography-10clases",0.847457647323608,0.797452235221863,4,1,512,"cone"
"cardiotocography-10clases",0.849340796470642,0.796815288066864,2,0.1,512,"cone"
"cardiotocography-10clases",0.839924693107605,0.79617834687233,3,0.01,512,"rect"
"cardiotocography-10clases",0.822975516319275,0.79426754117012,3,0.01,512,"cone"
"cardiotocography-10clases",0.819209039211273,0.794267535209656,4,0.01,256,"rect"
"cardiotocography-10clases",0.841807901859283,0.794267523288727,2,0.1,1024,"rect"
"cardiotocography-10clases",0.821092247962952,0.794267505407333,2,1,512,"rect"
"cardiotocography-10clases",0.838041484355927,0.793630588054657,4,0.1,1024,"rect"
"cardiotocography-10clases",0.834274888038635,0.792356735467911,3,0.01,256,"rect"
"cardiotocography-10clases",0.832391679286957,0.791719746589661,2,1,256,"cone"
"cardiotocography-10clases",0.836158156394958,0.790445882081986,3,0.01,1024,"rect"
"cardiotocography-10clases",0.838041365146637,0.786624217033386,3,0.01,1024,"cone"
"cardiotocography-10clases",0.815442562103271,0.78535031080246,8,0.1,512,"cone"
"cardiotocography-10clases",0.807909607887268,0.784713381528854,2,1,512,"cone"
"cardiotocography-10clases",0.804143130779266,0.784076446294785,16,0.1,512,"rect"
"cardiotocography-10clases",0.838041484355927,0.782165592908859,2,0.01,1024,"rect"
"cardiotocography-10clases",0.834275007247925,0.780891740322113,4,0.01,512,"rect"
"cardiotocography-10clases",0.830508470535278,0.780891740322113,8,0.1,256,"rect"
"cardiotocography-10clases",0.832391679286957,0.78025478720665,8,0.1,256,"cone"
"cardiotocography-10clases",0.813559293746948,0.77961785197258,8,0.1,1024,"cone"
"cardiotocography-10clases",0.826742053031921,0.77961785197258,2,0.01,512,"rect"
"cardiotocography-10clases",0.792843699455261,0.778980880975723,8,1,512,"cone"
"cardiotocography-10clases",0.824858784675598,0.777070069313049,3,0.1,512,"cone"
"cardiotocography-10clases",0.79472690820694,0.77579619884491,2,1,1024,"cone"
"cardiotocography-10clases",0.81732577085495,0.774522304534912,2,0.01,256,"rect"
"cardiotocography-10clases",0.822975516319275,0.773248428106308,8,0.1,512,"rect"
"cardiotocography-10clases",0.836158156394958,0.77261146903038,4,0.01,1024,"cone"
"cardiotocography-10clases",0.806026339530945,0.771337586641312,8,1,1024,"cone"
"cardiotocography-10clases",0.821092247962952,0.770063722133636,3,1,512,"cone"
"cardiotocography-10clases",0.796610116958618,0.761783456802368,3,1,256,"cone"
"cardiotocography-10clases",0.832391679286957,0.761146503686905,4,0.01,1024,"rect"
"cardiotocography-10clases",0.841807901859283,0.760509562492371,2,0.01,1024,"cone"
"cardiotocography-10clases",0.830508470535278,0.759235692024231,8,0.1,1024,"rect"
"cardiotocography-10clases",0.798493325710297,0.756687915325165,16,0.1,256,"rect"
"cardiotocography-10clases",0.734463334083557,0.754777079820633,16,0.1,512,"cone"
"cardiotocography-10clases",0.766478300094604,0.752866232395172,8,1,256,"cone"
"cardiotocography-10clases",0.822975516319275,0.751592385768891,3,0.01,256,"cone"
"cardiotocography-10clases",0.790960431098938,0.731210219860077,16,0.1,1024,"rect"
"cardiotocography-10clases",0.785310745239258,0.729936325550079,2,0.01,512,"cone"
"cardiotocography-10clases",0.792843699455261,0.729936295747757,8,0.01,1024,"rect"
"cardiotocography-10clases",0.764595091342926,0.728662425279617,16,0.01,1024,"cone"
"cardiotocography-10clases",0.781544268131256,0.727388554811478,16,0.01,1024,"rect"
"cardiotocography-10clases",0.775894522666931,0.726114672422409,16,0.1,1024,"cone"
"cardiotocography-10clases",0.770244836807251,0.718471384048462,8,0.01,1024,"cone"
"cardiotocography-10clases",0.762711882591248,0.715923601388931,8,0.01,256,"rect"
"cardiotocography-10clases",0.783427476882935,0.712738853693008,8,0.01,512,"rect"
"cardiotocography-10clases",0.764595031738281,0.698726117610931,16,0.01,512,"rect"
"cardiotocography-10clases",0.728813588619232,0.691719734668732,16,0.01,512,"cone"
"cardiotocography-10clases",0.757062137126923,0.69044588804245,8,0.01,512,"cone"
"cardiotocography-10clases",0.743879437446594,0.682165628671646,16,0.01,256,"rect"
"cardiotocography-10clases",0.743879437446594,0.644586008787155,16,0.01,256,"cone"
"cardiotocography-10clases",0.709981083869934,0.636942678689957,8,0.01,256,"cone"
"cardiotocography-10clases",0.65160071849823,0.621019107103348,32,0.01,256,"rect"
"cardiotocography-10clases",0.64595103263855,0.618471336364746,16,0.1,256,"cone"
"cardiotocography-10clases",0.62900185585022,0.53694269657135,32,0.01,1024,"rect"
"cardiotocography-10clases",0.303201496601105,0.351592364907265,32,0.01,256,"cone"
"cardiotocography-10clases",0.306967973709106,0.343949058651924,32,0.1,1024,"cone"
"cardiotocography-10clases",0.286252349615097,0.301910828053951,32,0.01,1024,"cone"
"cardiotocography-10clases",0.274952918291092,0.281528663635254,32,0.1,512,"cone"
"cardiotocography-10clases",0.274952918291092,0.276433126628399,16,1,1024,"cone"
"cardiotocography-10clases",0.274952918291092,0.267515927553177,32,0.01,512,"cone"
"cardiotocography-10clases",0.274952918291092,0.267515927553177,32,0.1,1024,"rect"
"cardiotocography-10clases",0.274952918291092,0.267515927553177,32,0.1,512,"rect"
"cardiotocography-10clases",0.274952918291092,0.267515927553177,32,0.1,256,"cone"
"cardiotocography-10clases",0.274952918291092,0.267515927553177,32,0.1,256,"rect"
"cardiotocography-10clases",0.274952918291092,0.267515927553177,32,1,1024,"cone"
"cardiotocography-10clases",0.274952918291092,0.267515927553177,32,1,512,"cone"
"cardiotocography-10clases",0.274952918291092,0.267515927553177,32,1,256,"cone"
"cardiotocography-10clases",0.274952918291092,0.267515927553177,16,1,512,"cone"
"cardiotocography-10clases",0.274952918291092,0.267515927553177,16,1,256,"cone"
"cardiotocography-10clases",0.212806016206741,0.243949048221111,32,0.01,512,"rect"
"cardiotocography-10clases",0.156308844685555,0.191719748079777,32,1,512,"rect"
"cardiotocography-10clases",0.274952918291092,0.191719748079777,32,1,256,"rect"
