"dataset","nlayers","learningrate","layerForm","valAccuracy","nhidden","testAccuracy"
"chess-krvkp",8,0.1,"rect",0.996108949184418,1024,0.987484335899353
"chess-krvkp",3,0.01,"cone",0.996108949184418,512,0.976220309734344
"chess-krvkp",3,0.1,"cone",0.996108949184418,512,0.987484455108643
"chess-krvkp",2,1,"cone",0.996108949184418,512,0.991239070892334
"chess-krvkp",2,0.1,"cone",0.994941633939743,512,0.992490649223328
"chess-krvkp",4,1,"cone",0.992607003450394,256,0.992490649223328
"chess-krvkp",4,1,"cone",0.992607003450394,512,0.991239070892334
"chess-krvkp",8,1,"cone",0.992607003450394,512,0.993742227554321
"chess-krvkp",8,0.1,"cone",0.992217898368836,1024,0.983729720115662
"chess-krvkp",4,0.1,"rect",0.992217898368836,1024,0.991239070892334
"chess-krvkp",3,0.1,"rect",0.992217898368836,1024,0.98998761177063
"chess-krvkp",3,1,"cone",0.992217898368836,256,0.991239070892334
"chess-krvkp",2,0.01,"rect",0.992217898368836,1024,0.988736033439636
"chess-krvkp",2,0.01,"rect",0.992217898368836,256,0.984981298446655
"chess-krvkp",2,0.1,"cone",0.992217898368836,1024,0.988736033439636
"chess-krvkp",2,0.1,"rect",0.992217898368836,1024,0.98998749256134
"chess-krvkp",2,0.1,"rect",0.992217898368836,512,0.987484455108643
"chess-krvkp",2,0.1,"rect",0.992217898368836,256,0.992490649223328
"chess-krvkp",4,0.01,"rect",0.991050583124161,1024,0.983729720115662
"chess-krvkp",2,0.01,"rect",0.989494162797928,512,0.987484455108643
"chess-krvkp",2,0.1,"cone",0.98910505771637,256,0.986232876777649
"chess-krvkp",3,0.1,"cone",0.988715952634812,1024,0.98998749256134
"chess-krvkp",16,0.1,"rect",0.988326847553253,256,0.98998749256134
"chess-krvkp",8,0.1,"cone",0.988326847553253,256,0.982478141784668
"chess-krvkp",8,0.1,"rect",0.988326847553253,256,0.983729720115662
"chess-krvkp",4,0.1,"cone",0.988326847553253,256,0.991239190101624
"chess-krvkp",4,1,"cone",0.988326847553253,1024,0.996245384216309
"chess-krvkp",3,0.01,"cone",0.988326847553253,1024,0.984981298446655
"chess-krvkp",3,0.01,"rect",0.988326847553253,512,0.987484455108643
"chess-krvkp",3,0.1,"rect",0.988326847553253,512,0.988736033439636
"chess-krvkp",3,0.1,"cone",0.988326847553253,256,0.988735914230347
"chess-krvkp",3,0.1,"rect",0.988326847553253,256,0.988736033439636
"chess-krvkp",3,1,"cone",0.988326847553253,1024,0.993742227554321
"chess-krvkp",3,1,"cone",0.988326847553253,512,0.991239070892334
"chess-krvkp",2,0.01,"cone",0.988326847553253,512,0.986232876777649
"chess-krvkp",2,1,"cone",0.988326847553253,1024,0.98998761177063
"chess-krvkp",2,1,"cone",0.988326847553253,256,0.991239070892334
