"dataset","nlayers","testAccuracy","learningrate","layerForm","nhidden","valAccuracy"
"monks-1",8,0.701388895511627,0.01,"rect",1024,1
"monks-1",8,0.601851880550385,0.01,"rect",512,1
"monks-1",8,0.650462985038757,0.01,"rect",256,1
"monks-1",4,0.696759223937988,0.01,"rect",512,1
"monks-1",4,0.6875,0.01,"cone",256,1
"monks-1",4,0.83564817905426,0.1,"cone",256,1
"monks-1",3,0.706018567085266,0.01,"rect",1024,1
"monks-1",3,0.75,0.01,"rect",256,1
"monks-1",3,0.872685194015503,0.1,"cone",1024,1
"monks-1",2,0.784722208976746,0.01,"rect",1024,1
"monks-1",2,0.752314805984497,0.01,"cone",1024,0.992307698726654
"monks-1",3,0.85185182094574,0.1,"rect",256,0.992307698726654
"monks-1",2,0.854166686534882,0.1,"rect",512,0.992307698726654
"monks-1",8,0.625,0.01,"cone",512,0.984615397453308
"monks-1",3,0.701388955116272,0.01,"cone",256,0.984615397453308
"monks-1",4,0.689814865589142,0.01,"cone",1024,0.969230794906616
"monks-1",2,0.840277850627899,0.1,"rect",256,0.969230782985687
"monks-1",3,0.791666626930237,0.01,"cone",1024,0.953846192359924
"monks-1",2,0.75,0.01,"cone",256,0.953846192359924
"monks-1",2,0.77777773141861,0.01,"rect",512,0.946153891086579
"monks-1",4,0.717592597007751,0.01,"cone",512,0.946153891086578
"monks-1",3,0.849537074565887,0.1,"cone",256,0.938461577892304
"monks-1",2,0.736111164093018,0.01,"cone",512,0.938461554050445
"monks-1",8,0.590277791023254,0.01,"cone",1024,0.923076975345612
"monks-1",3,0.655092537403107,0.01,"rect",512,0.915384674072266
"monks-1",4,0.837962985038757,0.1,"rect",256,0.915384632349014
"monks-1",4,0.631944477558136,0.01,"rect",256,0.907692360877991
"monks-1",2,0.717592537403107,0.01,"rect",256,0.907692360877991
"monks-1",3,0.694444417953491,0.01,"cone",512,0.907692337036133
"monks-1",4,0.6875,0.01,"rect",1024,0.900000047683716
"monks-1",3,0.717592597007751,0.1,"rect",512,0.884615439176559
"monks-1",3,0.745370388031006,0.1,"cone",512,0.86153849363327
"monks-1",2,0.777777791023254,0.1,"rect",1024,0.853846198320389
"monks-1",4,0.682870388031006,0.1,"rect",512,0.800000035762787
"monks-1",2,0.641203701496124,0.1,"cone",256,0.77692312002182
"monks-1",2,0.592592597007751,0.1,"cone",512,0.776923108100891
"monks-1",2,0.67592591047287,0.1,"cone",1024,0.769230818748474
"monks-1",4,0.659722208976746,0.1,"cone",512,0.753846216201782
"monks-1",3,0.634259223937988,0.1,"rect",1024,0.753846192359924
"monks-1",8,0.645833373069763,0.1,"cone",512,0.723076975345612
"monks-1",4,0.634259223937988,1,"cone",256,0.723076963424683
"monks-1",4,0.685185194015503,0.1,"cone",1024,0.715384685993194
"monks-1",4,0.476851880550385,0.1,"rect",1024,0.623076963424683
"monks-1",16,0.48611107468605,1,"cone",512,0.546153885126114
"monks-1",8,0.557870388031006,0.1,"cone",1024,0.538461571931839
"monks-1",32,0.5,0.01,"cone",1024,0.538461565971374
"monks-1",16,0.5,0.01,"cone",1024,0.538461565971374
"monks-1",16,0.486111134290695,0.01,"cone",512,0.538461565971374
"monks-1",16,0.5,0.01,"cone",256,0.538461565971374
"monks-1",16,0.506944477558136,0.1,"cone",1024,0.538461565971374
"monks-1",16,0.5,1,"rect",1024,0.538461565971374
"monks-1",16,0.5,1,"rect",256,0.538461565971374
"monks-1",3,0.5,1,"rect",256,0.538461565971374
"monks-1",2,0.5,1,"rect",1024,0.538461565971374
"monks-1",2,0.5,1,"rect",256,0.530769258737564
"monks-1",32,0.5,1,"cone",1024,0.523076951503754
"monks-1",32,0.5,1,"rect",1024,0.523076951503754
"monks-1",32,0.5,1,"rect",512,0.523076951503754
"monks-1",16,0.506944417953491,0.1,"rect",256,0.523076951503754
"monks-1",2,0.594907402992249,1,"cone",1024,0.523076951503754
"monks-1",32,0.5,1,"cone",256,0.515384644269943
"monks-1",3,0.553240776062012,1,"cone",1024,0.515384644269943
"monks-1",3,0.599537014961243,1,"cone",512,0.515384644269943
"monks-1",32,0.5,0.01,"rect",256,0.515384644269943
"monks-1",32,0.5,0.1,"rect",512,0.515384644269943
"monks-1",32,0.5,1,"cone",512,0.515384644269943
"monks-1",16,0.500000059604645,1,"rect",512,0.515384644269943
"monks-1",8,0.5,1,"cone",256,0.515384644269943
"monks-1",4,0.500000059604645,1,"rect",1024,0.515384644269943
"monks-1",4,0.500000059604645,1,"rect",512,0.515384644269943
"monks-1",4,0.5,1,"rect",256,0.515384644269943
"monks-1",3,0.412037044763565,1,"rect",512,0.515384644269943
"monks-1",32,0.5,0.01,"rect",1024,0.507692337036133
"monks-1",32,0.5,1,"rect",256,0.507692337036133
"monks-1",16,0.532407402992249,0.01,"rect",256,0.507692337036133
"monks-1",16,0.5,0.1,"rect",1024,0.507692337036133
"monks-1",16,0.560185194015503,0.1,"rect",512,0.507692337036133
"monks-1",8,0.5,1,"rect",256,0.507692337036133
"monks-1",2,0.500000059604645,1,"cone",512,0.507692337036133
