"dataset","learningrate","layerForm","valAccuracy","testAccuracy","nlayers","nhidden"
"seeds",0.1,"cone",0.959090948104858,0.884615421295166,8,1024
"seeds",0.01,"cone",0.954545497894287,0.923076987266541,16,1024
"seeds",0.01,"rect",0.954545497894287,0.884615480899811,16,512
"seeds",0.01,"cone",0.954545497894287,0.884615421295166,8,1024
"seeds",0.01,"rect",0.954545497894287,0.903846204280853,8,1024
"seeds",0.01,"rect",0.954545497894287,0.884615421295166,8,512
"seeds",0.01,"rect",0.954545497894287,0.903846204280853,8,256
"seeds",0.1,"rect",0.954545497894287,0.884615421295166,8,512
"seeds",0.1,"cone",0.954545497894287,0.903846204280853,8,256
"seeds",0.1,"rect",0.954545497894287,0.942307710647583,8,256
"seeds",0.01,"cone",0.954545497894287,0.942307770252228,4,1024
"seeds",0.01,"rect",0.954545497894287,0.884615480899811,4,1024
"seeds",0.01,"cone",0.954545497894287,0.884615421295166,4,512
"seeds",0.01,"rect",0.954545497894287,0.903846204280853,4,512
"seeds",0.01,"cone",0.954545497894287,0.884615421295166,4,256
"seeds",0.01,"rect",0.954545497894287,0.884615421295166,4,256
"seeds",0.1,"cone",0.954545497894287,0.865384638309479,4,1024
"seeds",0.1,"rect",0.954545497894287,0.903846204280853,4,1024
"seeds",0.1,"cone",0.954545497894287,0.942307710647583,4,256
"seeds",0.1,"rect",0.954545497894287,0.923076987266541,4,256
"seeds",1,"cone",0.954545497894287,0.865384638309479,4,1024
"seeds",1,"cone",0.954545497894287,0.903846204280853,4,512
"seeds",1,"cone",0.954545497894287,0.865384638309479,4,256
"seeds",0.01,"cone",0.954545497894287,0.884615421295166,3,1024
"seeds",0.01,"rect",0.954545497894287,0.903846204280853,3,1024
"seeds",0.01,"cone",0.954545497894287,0.884615421295166,3,512
"seeds",0.01,"rect",0.954545497894287,0.903846263885498,3,512
"seeds",0.01,"cone",0.954545497894287,0.884615421295166,3,256
"seeds",0.01,"rect",0.954545497894287,0.884615421295166,3,256
"seeds",0.1,"cone",0.954545497894287,0.903846204280853,3,1024
"seeds",0.1,"cone",0.954545497894287,0.884615480899811,3,256
"seeds",1,"cone",0.954545497894287,0.923076987266541,3,1024
