"dataset","learningrate","nlayers","layerForm","nhidden","valAccuracy","testAccuracy"
"pittsburg-bridges-SPAN",0.1,4,"cone",1024,0.853846222162247,0.60869562625885
"pittsburg-bridges-SPAN",1,4,"cone",512,0.830769294500351,0.65217387676239
"pittsburg-bridges-SPAN",0.01,3,"cone",256,0.815384685993195,0.652173936367035
"pittsburg-bridges-SPAN",1,3,"cone",256,0.815384685993195,0.73913049697876
"pittsburg-bridges-SPAN",1,2,"cone",512,0.815384685993195,0.695652186870575
"pittsburg-bridges-SPAN",0.01,3,"cone",1024,0.800000071525574,0.52173912525177
"pittsburg-bridges-SPAN",0.1,8,"rect",256,0.800000059604645,0.652173936367035
"pittsburg-bridges-SPAN",0.01,4,"rect",256,0.792307758331299,0.52173912525177
"pittsburg-bridges-SPAN",0.01,2,"cone",512,0.79230774641037,0.56521737575531
"pittsburg-bridges-SPAN",0.1,3,"cone",1024,0.784615457057953,0.52173912525177
"pittsburg-bridges-SPAN",0.01,8,"cone",512,0.784615445137024,0.347826093435287
"pittsburg-bridges-SPAN",0.1,4,"rect",1024,0.776923149824142,0.652173936367035
"pittsburg-bridges-SPAN",0.01,2,"cone",256,0.776923143863678,0.52173912525177
"pittsburg-bridges-SPAN",0.1,8,"rect",1024,0.769230842590332,0.695652186870575
"pittsburg-bridges-SPAN",0.01,4,"cone",1024,0.769230818748474,0.60869562625885
"pittsburg-bridges-SPAN",1,3,"cone",1024,0.753846222162247,0.73913049697876
"pittsburg-bridges-SPAN",1,4,"cone",1024,0.753846216201782,0.56521737575531
"pittsburg-bridges-SPAN",0.1,16,"cone",512,0.753846216201782,0.52173912525177
"pittsburg-bridges-SPAN",1,2,"cone",1024,0.753846216201782,0.65217387676239
"pittsburg-bridges-SPAN",0.1,4,"rect",256,0.753846210241318,0.652173936367035
"pittsburg-bridges-SPAN",0.1,2,"rect",512,0.753846198320389,0.52173912525177
"pittsburg-bridges-SPAN",1,4,"cone",256,0.746153903007508,0.43478262424469
"pittsburg-bridges-SPAN",0.1,3,"rect",256,0.746153897047043,0.695652186870575
"pittsburg-bridges-SPAN",0.01,2,"rect",512,0.738461601734161,0.56521737575531
"pittsburg-bridges-SPAN",0.01,8,"rect",1024,0.730769276618958,0.652173936367035
"pittsburg-bridges-SPAN",0.1,2,"cone",1024,0.730769276618958,0.652173936367035
"pittsburg-bridges-SPAN",0.01,8,"cone",1024,0.730769270658493,0.695652186870575
"pittsburg-bridges-SPAN",0.1,4,"rect",512,0.723076981306076,0.652173936367035
"pittsburg-bridges-SPAN",0.01,4,"rect",1024,0.723076975345612,0.695652186870575
"pittsburg-bridges-SPAN",0.1,4,"cone",512,0.723076975345612,0.52173912525177
"pittsburg-bridges-SPAN",1,2,"cone",256,0.715384638309479,0.60869562625885
"pittsburg-bridges-SPAN",0.01,3,"cone",512,0.707692366838455,0.43478262424469
"pittsburg-bridges-SPAN",0.1,4,"cone",256,0.707692360877991,0.695652186870575
"pittsburg-bridges-SPAN",0.1,2,"rect",1024,0.707692360877991,0.56521737575531
"pittsburg-bridges-SPAN",0.1,8,"rect",512,0.707692354917526,0.56521737575531
"pittsburg-bridges-SPAN",0.1,8,"cone",256,0.707692348957062,0.60869562625885
"pittsburg-bridges-SPAN",1,3,"cone",512,0.707692348957062,0.56521737575531
"pittsburg-bridges-SPAN",0.1,3,"rect",512,0.707692342996597,0.652173936367035
"pittsburg-bridges-SPAN",0.1,3,"cone",256,0.707692337036133,0.60869562625885
"pittsburg-bridges-SPAN",0.1,16,"rect",256,0.707692319154739,0.56521737575531
"pittsburg-bridges-SPAN",0.01,3,"rect",512,0.700000065565109,0.47826087474823
"pittsburg-bridges-SPAN",0.01,2,"rect",256,0.700000059604645,0.52173912525177
"pittsburg-bridges-SPAN",0.01,16,"cone",512,0.700000023841858,0.56521737575531
"pittsburg-bridges-SPAN",0.01,2,"cone",1024,0.692307734489441,0.47826087474823
"pittsburg-bridges-SPAN",0.01,32,"cone",1024,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.1,32,"cone",1024,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.1,32,"cone",512,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.1,32,"rect",512,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.1,32,"cone",256,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.1,32,"rect",256,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",1,32,"cone",1024,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",1,32,"cone",512,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",1,32,"cone",256,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.01,16,"cone",256,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.1,16,"cone",1024,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.1,16,"rect",1024,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.1,16,"rect",512,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.1,16,"cone",256,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",1,16,"cone",1024,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",1,16,"cone",512,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",1,16,"cone",256,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",1,8,"cone",1024,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",1,8,"cone",512,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",1,8,"cone",256,0.692307710647583,0.56521737575531
"pittsburg-bridges-SPAN",0.01,3,"rect",256,0.684615433216095,0.56521737575531
"pittsburg-bridges-SPAN",0.01,4,"cone",512,0.684615409374237,0.56521737575531
"pittsburg-bridges-SPAN",0.1,3,"rect",1024,0.676923114061356,0.56521737575531
"pittsburg-bridges-SPAN",0.01,2,"rect",1024,0.676923114061356,0.60869562625885
"pittsburg-bridges-SPAN",0.01,16,"rect",1024,0.669230818748474,0.56521737575531
"pittsburg-bridges-SPAN",0.1,2,"cone",256,0.669230818748474,0.52173912525177
"pittsburg-bridges-SPAN",0.1,2,"rect",256,0.661538505554199,0.652173936367035
"pittsburg-bridges-SPAN",0.01,16,"rect",256,0.661538499593735,0.60869562625885
"pittsburg-bridges-SPAN",0.01,16,"cone",1024,0.66153849363327,0.56521737575531
