"dataset","nlayers","learningrate","layerForm","nhidden","valAccuracy","testAccuracy"
"chess-krvk",8,0.1,"rect",512,0.892994862794876,0.893783807754517
"chess-krvk",8,0.1,"rect",1024,0.892195624113083,0.894211530685425
"chess-krvk",4,0.1,"rect",1024,0.891537445783615,0.887653172016144
"chess-krvk",8,0.1,"rect",256,0.884156161546707,0.888223528862
"chess-krvk",3,0.1,"rect",512,0.88363898396492,0.877102911472321
"chess-krvk",3,0.1,"rect",1024,0.881993460655213,0.880239486694336
"chess-krvk",4,0.1,"rect",512,0.877292037010193,0.877245485782623
"chess-krvk",16,0.1,"rect",512,0.87183832526207,0.841174781322479
"chess-krvk",4,0.1,"rect",256,0.871227139234543,0.87553459405899
"chess-krvk",16,0.1,"rect",1024,0.86267049908638,0.856002271175385
"chess-krvk",16,0.1,"rect",256,0.860460776090622,0.838465869426727
"chess-krvk",3,0.1,"rect",256,0.859802567958832,0.858425974845886
"chess-krvk",8,0.1,"cone",512,0.859238433837891,0.853150844573975
"chess-krvk",8,0.1,"cone",1024,0.858768272399902,0.842743098735809
"chess-krvk",16,0.01,"rect",1024,0.857921993732452,0.851725161075592
"chess-krvk",4,0.1,"cone",1024,0.853831738233566,0.868976354598999
"chess-krvk",16,0.01,"cone",1024,0.8533616065979,0.861562490463257
"chess-krvk",8,1,"cone",1024,0.851763087511063,0.826204717159271
"chess-krvk",4,1,"cone",1024,0.850728780031204,0.853721141815186
"chess-krvk",16,0.01,"rect",512,0.847625786066055,0.851725161075592
"chess-krvk",4,0.1,"cone",512,0.845181047916413,0.849158823490143
"chess-krvk",16,0.1,"cone",1024,0.844945991039276,0.84587961435318
"chess-krvk",8,1,"cone",512,0.844193738698959,0.847733080387115
"chess-krvk",2,0.1,"rect",1024,0.842971360683441,0.848873615264893
"chess-krvk",16,0.01,"rect",256,0.842830312252045,0.827202677726746
"chess-krvk",16,0.1,"cone",512,0.840197503566742,0.838750958442688
"chess-krvk",3,0.1,"cone",1024,0.839680343866348,0.839891612529755
"chess-krvk",32,0.01,"rect",512,0.838175874948502,0.819218695163727
"chess-krvk",4,0.01,"rect",1024,0.836718434095383,0.835471868515015
"chess-krvk",8,0.01,"cone",1024,0.83624826669693,0.841032207012177
"chess-krvk",8,0.1,"cone",256,0.832816231250763,0.826062083244324
"chess-krvk",8,0.01,"rect",1024,0.831969982385635,0.833475887775421
"chess-krvk",8,0.01,"rect",512,0.830982661247254,0.819218635559082
"chess-krvk",2,0.1,"rect",512,0.830559498071671,0.826489865779877
"chess-krvk",4,0.01,"rect",512,0.82980729341507,0.822212696075439
"chess-krvk",4,1,"cone",512,0.829666256904602,0.829626441001892
"chess-krvk",8,0.01,"cone",512,0.82966622710228,0.824208617210388
"chess-krvk",3,1,"cone",1024,0.829619228839874,0.824921548366547
"chess-krvk",32,0.01,"rect",256,0.829431182146072,0.774308443069458
"chess-krvk",8,1,"cone",256,0.826657277345657,0.842600524425507
"chess-krvk",4,0.1,"cone",256,0.822425979375839,0.823638439178467
"chess-krvk",3,1,"cone",512,0.822378963232041,0.810094058513641
