"dataset","valAccuracy","learningrate","layerForm","nhidden","testAccuracy","nlayers"
"bank",0.900892913341522,0.01,"cone",512,0.892035365104675,2
"bank",0.900595253705978,0.1,"cone",256,0.879646062850952,2
"bank",0.900000047683716,0.01,"cone",512,0.886725604534149,4
"bank",0.899404811859131,0.01,"rect",256,0.885840773582458,3
"bank",0.899107229709625,0.1,"rect",256,0.886725664138794,8
"bank",0.899107128381729,0.01,"rect",1024,0.884955763816833,8
"bank",0.897619050741196,0.01,"rect",512,0.881415903568268,2
"bank",0.89702382683754,0.01,"cone",256,0.889380514621735,2
"bank",0.897023820877075,0.01,"rect",512,0.887610614299774,4
"bank",0.896130979061127,0.01,"cone",1024,0.883185803890228,2
"bank",0.895238137245178,0.1,"cone",512,0.873451352119446,2
"bank",0.895238107442856,0.01,"rect",256,0.885840713977814,4
"bank",0.895238089561463,0.1,"cone",1024,0.887610614299774,2
"bank",0.894940537214279,0.1,"rect",512,0.886725604534149,4
"bank",0.893154805898666,0.1,"cone",1024,0.874336242675781,3
"bank",0.892857146263123,0.01,"rect",512,0.884955704212189,16
"bank",0.891666722297669,0.1,"rect",1024,0.882300913333893,3
"bank",0.891071456670761,0.01,"cone",512,0.88849550485611,3
"bank",0.890773808956146,1,"cone",512,0.876991152763367,2
"bank",0.890476244688034,0.01,"rect",1024,0.882300853729248,2
"bank",0.890476191043854,0.01,"cone",256,0.884955763816833,3
"bank",0.890178632736206,0.01,"rect",512,0.882300853729248,3
"bank",0.890178602933884,0.1,"rect",256,0.878761053085327,3
"bank",0.890178596973419,0.01,"rect",256,0.87079644203186,8
"bank",0.89017858505249,0.01,"rect",256,0.880530893802643,2
"bank",0.889285731315613,0.1,"rect",1024,0.887610554695129,8
"bank",0.888392889499664,0.1,"cone",512,0.88938045501709,3
"bank",0.888392877578735,0.1,"rect",256,0.883185863494873,2
"bank",0.888095253705979,0.1,"cone",1024,0.874336242675781,4
"bank",0.887797653675079,0.01,"cone",1024,0.884070754051208,3
"bank",0.886904799938202,0.1,"cone",256,0.874336302280426,4
"bank",0.886904776096344,0.1,"rect",512,0.886725604534149,3
"bank",0.886607152223587,0.01,"cone",1024,0.883185803890228,4
"bank",0.886309558153152,1,"cone",512,0.885840713977814,8
"bank",0.886309552192688,0.1,"cone",512,0.878761053085327,8
"bank",0.886309552192688,0.01,"rect",1024,0.887610614299774,3
"bank",0.886011922359467,0.1,"rect",512,0.874336361885071,2
"bank",0.885714316368103,1,"cone",1024,0.89115047454834,2
"bank",0.885714316368103,1,"cone",256,0.884955763816833,2
"bank",0.885714292526245,1,"cone",512,0.887610614299774,3
"bank",0.885416716337204,0.1,"rect",1024,0.890265464782715,4
"bank",0.884821474552155,0.1,"rect",256,0.88849550485611,4
"bank",0.884226226806641,0.1,"cone",256,0.884955704212189,3
"bank",0.884226220846176,1,"cone",256,0.888495564460754,4
"bank",0.883630973100662,1,"cone",1024,0.866371750831604,8
"bank",0.883333361148834,1,"cone",256,0.870796501636505,8
"bank",0.883035743236542,0.01,"cone",256,0.895575225353241,4
"bank",0.882440513372421,0.01,"cone",1024,0.876106202602386,8
"bank",0.881845277547836,0.1,"rect",512,0.887610614299774,8
"bank",0.881547665596008,1,"cone",1024,0.887610554695129,4
"bank",0.880952405929565,1,"cone",512,0.884070813655853,4
"bank",0.88095235824585,0.01,"rect",1024,0.880530953407288,16
"bank",0.880059576034546,0.01,"rect",512,0.888495564460754,8
"bank",0.880059564113617,1,"cone",1024,0.880530953407288,3
"bank",0.880059564113617,0.01,"rect",1024,0.889380514621735,4
"bank",0.879464304447174,0.1,"cone",512,0.880530953407288,4
"bank",0.879464292526245,0.01,"cone",512,0.872566401958466,8
"bank",0.877976232767105,1,"cone",256,0.883185863494873,3
"bank",0.877976214885712,0.1,"rect",1024,0.894690275192261,2
"bank",0.875000011920929,0.01,"rect",256,0.888495564460754,16
"bank",0.873809558153152,0.1,"cone",256,0.894690275192261,8
"bank",0.871131002902985,0.1,"cone",1024,0.884070694446564,8
"bank",0.871130985021591,0.1,"rect",256,0.883185803890228,16
"bank",0.863392889499664,0.01,"cone",256,0.873451292514801,8
"bank",0.859821474552155,0.01,"rect",512,0.878760993480682,32
"bank",0.859226250648499,1,"rect",512,0.884955763816833,4
"bank",0.857142925262451,0.01,"rect",1024,0.884070754051208,32
"bank",0.857142925262451,0.01,"cone",512,0.884955704212189,32
"bank",0.857142925262451,0.1,"cone",512,0.884955644607544,32
"bank",0.857142925262451,0.1,"rect",256,0.884955763816833,32
"bank",0.857142925262451,1,"cone",512,0.884955644607544,32
"bank",0.857142925262451,1,"rect",512,0.884955704212189,32
"bank",0.857142925262451,1,"cone",256,0.884955644607544,32
"bank",0.857142925262451,1,"rect",256,0.884955644607544,32
"bank",0.857142925262451,0.01,"cone",1024,0.884955704212189,16
"bank",0.857142925262451,0.01,"cone",256,0.884955704212189,16
"bank",0.857142925262451,0.1,"rect",1024,0.884955644607544,16
"bank",0.857142925262451,0.1,"cone",512,0.884955644607544,16
"bank",0.857142925262451,0.1,"cone",256,0.884955644607544,16
"bank",0.857142925262451,1,"cone",1024,0.884955763816833,16
"bank",0.857142925262451,1,"cone",512,0.884955763816833,16
"bank",0.857142925262451,1,"rect",512,0.884955704212189,16
"bank",0.857142925262451,1,"cone",256,0.884955644607544,16
"bank",0.857142925262451,1,"rect",512,0.884955644607544,8
"bank",0.857142925262451,1,"rect",1024,0.884955644607544,3
"bank",0.857142925262451,1,"rect",256,0.884955704212189,3
"bank",0.857142925262451,1,"rect",512,0.884955763816833,2
"bank",0.857142913341522,0.01,"cone",1024,0.884955763816833,32
"bank",0.857142913341522,0.01,"cone",256,0.884955704212189,32
"bank",0.857142913341522,0.1,"cone",1024,0.884955763816833,32
"bank",0.857142913341522,0.1,"rect",1024,0.884955763816833,32
"bank",0.857142913341522,0.1,"cone",256,0.884955644607544,32
"bank",0.857142913341522,0.1,"cone",1024,0.884955763816833,16
"bank",0.857142913341522,1,"rect",1024,0.884955704212189,8
"bank",0.857142913341522,1,"rect",1024,0.884955704212189,4
"bank",0.857142913341522,1,"rect",256,0.884955644607544,4
"bank",0.857142913341522,1,"rect",512,0.884955704212189,3
"bank",0.857142913341522,1,"rect",1024,0.884955704212189,2
"bank",0.857142913341522,0.1,"rect",512,0.884955763816833,32
"bank",0.857142913341522,1,"rect",256,0.884955704212189,8
"bank",0.857142901420593,1,"cone",1024,0.884955763816833,32
"bank",0.857142901420593,0.01,"rect",256,0.884955644607544,32
"bank",0.857142901420593,0.01,"cone",512,0.884955704212189,16
"bank",0.857142901420593,0.1,"rect",512,0.884955704212189,16
"bank",0.857142901420593,1,"rect",1024,0.884955763816833,16
"bank",0.857142877578735,1,"rect",256,0.884955644607544,16
"bank",0.853273874521255,1,"rect",256,0.884955644607544,2
"bank",0.642857180535793,1,"rect",1024,0.884955644607544,32
