"dataset","layerForm","nlayers","testAccuracy","valAccuracy","nhidden","learningrate"
"molec-biol-promoter","cone",4,0.46153849363327,1,256,0.01
"molec-biol-promoter","cone",4,0.692307710647583,1,1024,0.1
"molec-biol-promoter","cone",4,0.807692289352417,1,512,0.1
"molec-biol-promoter","rect",4,0.846153914928436,1,256,0.1
"molec-biol-promoter","cone",4,0.769230842590332,1,256,1
"molec-biol-promoter","cone",3,0.884615421295166,1,1024,0.1
"molec-biol-promoter","cone",3,0.846153914928436,1,512,0.1
"molec-biol-promoter","rect",3,0.846153855323792,1,512,0.1
"molec-biol-promoter","cone",3,0.884615421295166,1,256,1
"molec-biol-promoter","rect",2,0.769230842590332,1,512,0.01
"molec-biol-promoter","cone",2,0.769230842590332,1,256,0.01
"molec-biol-promoter","rect",2,0.653846144676208,1,256,0.01
"molec-biol-promoter","cone",2,0.884615421295166,1,1024,0.1
"molec-biol-promoter","cone",2,0.884615421295166,1,512,1
"molec-biol-promoter","cone",2,0.846153855323792,1,256,1
"molec-biol-promoter","rect",8,0.884615421295166,0.825,512,0.1
"molec-biol-promoter","rect",4,0.96153849363327,0.825,1024,0.1
"molec-biol-promoter","rect",16,0.615384697914124,0.8,256,0.01
"molec-biol-promoter","cone",3,0.692307710647583,0.775,512,1
"molec-biol-promoter","rect",16,0.692307710647583,0.75,512,0.01
"molec-biol-promoter","cone",16,0.46153849363327,0.75,256,0.01
"molec-biol-promoter","cone",8,0.653846204280853,0.75,1024,0.01
"molec-biol-promoter","rect",8,0.730769276618958,0.75,512,0.01
"molec-biol-promoter","rect",8,0.769230842590332,0.75,256,0.01
"molec-biol-promoter","rect",8,0.769230842590332,0.75,1024,0.1
"molec-biol-promoter","cone",8,0.653846204280853,0.75,256,1
"molec-biol-promoter","rect",4,0.807692408561707,0.75,1024,0.01
"molec-biol-promoter","cone",4,0.807692408561707,0.75,512,0.01
"molec-biol-promoter","rect",4,0.846153914928436,0.75,512,0.01
"molec-biol-promoter","rect",4,0.769230842590332,0.75,512,0.1
"molec-biol-promoter","cone",4,0.653846204280853,0.75,256,0.1
"molec-biol-promoter","cone",4,0.884615421295166,0.75,1024,1
"molec-biol-promoter","cone",4,0.884615421295166,0.75,512,1
"molec-biol-promoter","rect",3,0.730769276618958,0.75,1024,0.01
"molec-biol-promoter","cone",3,0.653846204280853,0.75,512,0.01
"molec-biol-promoter","rect",3,0.615384638309479,0.75,256,0.01
"molec-biol-promoter","cone",3,0.769230842590332,0.75,256,0.1
"molec-biol-promoter","rect",3,0.769230842590332,0.75,256,0.1
"molec-biol-promoter","cone",3,0.884615421295166,0.75,1024,1
"molec-biol-promoter","cone",2,0.692307710647583,0.75,1024,0.01
"molec-biol-promoter","rect",2,0.730769276618958,0.75,1024,0.01
"molec-biol-promoter","rect",2,0.769230782985687,0.75,1024,0.1
"molec-biol-promoter","rect",2,0.769230782985687,0.75,512,0.1
"molec-biol-promoter","cone",2,0.846153914928436,0.75,256,0.1
"molec-biol-promoter","cone",2,0.807692348957062,0.75,1024,1
"molec-biol-promoter","cone",8,0.653846204280853,0.7,512,0.1
"molec-biol-promoter","rect",3,0.653846144676208,0.6,256,1
"molec-biol-promoter","rect",2,0.576923131942749,0.575,256,1
"molec-biol-promoter","rect",16,0.5,0.525,256,0.1
"molec-biol-promoter","rect",8,0.846153914928436,0.525,256,0.1
"molec-biol-promoter","rect",3,0.5,0.525,1024,1
"molec-biol-promoter","rect",32,0.5,0.525,1024,0.01
"molec-biol-promoter","rect",8,0.5,0.525,512,1
"molec-biol-promoter","rect",4,0.5,0.525,1024,1
"molec-biol-promoter","rect",3,0.846153914928436,0.525,1024,0.1
"molec-biol-promoter","rect",3,0.5,0.525,512,1
"molec-biol-promoter","cone",2,0.884615421295166,0.525,512,0.1
"molec-biol-promoter","rect",2,0.846153855323792,0.525,256,0.1
"molec-biol-promoter","rect",32,0.384615391492844,0.5,256,0.01
"molec-biol-promoter","cone",32,0.5,0.5,1024,0.01
"molec-biol-promoter","cone",32,0.5,0.5,512,0.01
"molec-biol-promoter","rect",32,0.5,0.5,512,0.01
"molec-biol-promoter","cone",32,0.5,0.5,256,0.01
"molec-biol-promoter","cone",32,0.5,0.5,1024,0.1
"molec-biol-promoter","rect",32,0.5,0.5,1024,0.1
"molec-biol-promoter","cone",32,0.5,0.5,512,0.1
"molec-biol-promoter","rect",32,0.5,0.5,512,0.1
"molec-biol-promoter","cone",32,0.5,0.5,256,0.1
"molec-biol-promoter","rect",32,0.5,0.5,256,0.1
"molec-biol-promoter","cone",32,0.5,0.5,1024,1
"molec-biol-promoter","rect",32,0.5,0.5,1024,1
"molec-biol-promoter","cone",32,0.5,0.5,512,1
"molec-biol-promoter","rect",32,0.5,0.5,512,1
"molec-biol-promoter","cone",32,0.5,0.5,256,1
"molec-biol-promoter","rect",32,0.5,0.5,256,1
"molec-biol-promoter","cone",16,0.615384638309479,0.5,1024,0.01
"molec-biol-promoter","rect",16,0.576923131942749,0.5,1024,0.01
"molec-biol-promoter","cone",16,0.5,0.5,512,0.01
"molec-biol-promoter","cone",16,0.5,0.5,1024,0.1
"molec-biol-promoter","rect",16,0.5,0.5,1024,0.1
"molec-biol-promoter","rect",16,0.5,0.5,512,0.1
"molec-biol-promoter","cone",16,0.5,0.5,256,0.1
"molec-biol-promoter","cone",16,0.5,0.5,1024,1
"molec-biol-promoter","rect",16,0.5,0.5,1024,1
"molec-biol-promoter","cone",16,0.5,0.5,512,1
"molec-biol-promoter","rect",16,0.5,0.5,512,1
"molec-biol-promoter","cone",16,0.5,0.5,256,1
"molec-biol-promoter","rect",16,0.5,0.5,256,1
"molec-biol-promoter","rect",8,0.807692348957062,0.5,1024,0.01
"molec-biol-promoter","cone",8,0.46153849363327,0.5,256,0.01
"molec-biol-promoter","cone",8,0.807692348957062,0.5,1024,0.1
"molec-biol-promoter","cone",8,0.730769276618958,0.5,256,0.1
"molec-biol-promoter","rect",8,0.5,0.5,1024,1
"molec-biol-promoter","cone",8,0.5,0.5,512,1
"molec-biol-promoter","rect",8,0.5,0.5,256,1
"molec-biol-promoter","cone",4,0.692307710647583,0.5,1024,0.01
"molec-biol-promoter","rect",4,0.5,0.5,512,1
"molec-biol-promoter","rect",4,0.5,0.5,256,1
"molec-biol-promoter","cone",3,0.769230782985687,0.5,1024,0.01
"molec-biol-promoter","rect",3,0.884615421295166,0.5,512,0.01
"molec-biol-promoter","cone",2,0.730769276618958,0.5,512,0.01
"molec-biol-promoter","rect",2,0.5,0.5,1024,1
"molec-biol-promoter","rect",2,0.5,0.5,512,1
"molec-biol-promoter","cone",8,0.576923131942749,0.35,1024,1
"molec-biol-promoter","cone",16,0.46153849363327,0.325,512,0.1
"molec-biol-promoter","cone",8,0.576923131942749,0.25,512,0.01
"molec-biol-promoter","rect",4,0.615384638309479,0.25,256,0.01
"molec-biol-promoter","cone",3,0.653846144676208,0.25,256,0.01
