"dataset","learningrate","valAccuracy","testAccuracy","nlayers","layerForm","nhidden"
"congressional-voting",1,0.756756782531738,0.57798159122467,3,"cone",1024
"congressional-voting",0.1,0.756756782531738,0.596330225467682,8,"cone",256
"congressional-voting",1,0.735135158896446,0.596330225467682,3,"cone",256
"congressional-voting",0.01,0.729729771614075,0.614678859710693,32,"cone",512
"congressional-voting",0.01,0.729729771614075,0.614678859710693,32,"cone",256
"congressional-voting",0.1,0.729729771614075,0.614678859710693,32,"cone",1024
"congressional-voting",0.1,0.729729771614075,0.614678859710693,32,"rect",1024
"congressional-voting",0.1,0.729729771614075,0.614678859710693,32,"cone",512
"congressional-voting",0.1,0.729729771614075,0.614678859710693,32,"rect",512
"congressional-voting",0.1,0.729729771614075,0.614678859710693,32,"cone",256
"congressional-voting",0.1,0.729729771614075,0.614678859710693,32,"rect",256
"congressional-voting",1,0.729729771614075,0.614678859710693,32,"cone",1024
"congressional-voting",1,0.729729771614075,0.614678859710693,32,"cone",512
"congressional-voting",1,0.729729771614075,0.614678859710693,32,"cone",256
"congressional-voting",0.01,0.729729771614075,0.614678859710693,16,"cone",1024
"congressional-voting",0.01,0.729729771614075,0.614678859710693,16,"cone",512
"congressional-voting",0.01,0.729729771614075,0.614678859710693,16,"cone",256
"congressional-voting",0.1,0.729729771614075,0.614678859710693,16,"cone",1024
"congressional-voting",0.1,0.729729771614075,0.614678859710693,16,"rect",1024
"congressional-voting",0.1,0.729729771614075,0.614678859710693,16,"cone",512
"congressional-voting",0.1,0.729729771614075,0.614678859710693,16,"rect",512
"congressional-voting",0.1,0.729729771614075,0.614678859710693,16,"cone",256
"congressional-voting",1,0.729729771614075,0.614678859710693,16,"cone",1024
"congressional-voting",1,0.729729771614075,0.614678859710693,16,"cone",512
"congressional-voting",1,0.729729771614075,0.614678859710693,16,"rect",512
"congressional-voting",1,0.729729771614075,0.614678859710693,16,"cone",256
"congressional-voting",0.01,0.729729771614075,0.568807303905487,8,"cone",256
"congressional-voting",1,0.729729771614075,0.614678859710693,8,"cone",512
"congressional-voting",1,0.729729771614075,0.614678859710693,8,"cone",256
"congressional-voting",1,0.729729771614075,0.614678859710693,8,"rect",256
"congressional-voting",0.01,0.729729771614075,0.550458669662476,4,"cone",256
"congressional-voting",1,0.729729771614075,0.614678859710693,4,"cone",1024
"congressional-voting",1,0.729729771614075,0.614678859710693,4,"rect",1024
"congressional-voting",1,0.729729771614075,0.614678859710693,4,"rect",512
"congressional-voting",1,0.729729771614075,0.614678859710693,3,"cone",512
"congressional-voting",1,0.729729771614075,0.614678859710693,3,"rect",512
"congressional-voting",1,0.729729771614075,0.614678859710693,2,"rect",256
"congressional-voting",0.01,0.729729756712914,0.568807303905487,3,"cone",256
"congressional-voting",0.1,0.729729756712914,0.57798159122467,3,"rect",1024
"congressional-voting",0.01,0.72702704668045,0.568807363510132,2,"cone",256
"congressional-voting",0.01,0.708108136057854,0.568807303905487,4,"rect",256
"congressional-voting",1,0.705405446887016,0.614678859710693,8,"cone",1024
"congressional-voting",0.01,0.705405434966087,0.550458669662476,3,"cone",512
"congressional-voting",0.01,0.702702760696411,0.550458669662476,8,"cone",512
"congressional-voting",0.01,0.702702730894089,0.559633016586304,2,"rect",256
"congressional-voting",0.1,0.702702730894089,0.587155878543854,2,"cone",512
"congressional-voting",1,0.700000038743019,0.522935748100281,2,"cone",256
"congressional-voting",0.1,0.697297343611717,0.623853147029877,8,"rect",512
"congressional-voting",0.1,0.697297337651253,0.596330225467682,2,"rect",256
"congressional-voting",1,0.697297328710556,0.57798159122467,2,"cone",512
"congressional-voting",0.1,0.694594612717628,0.60550457239151,8,"rect",1024
"congressional-voting",1,0.68918921649456,0.559633016586304,4,"cone",256
"congressional-voting",0.1,0.689189210534096,0.559633016586304,8,"cone",512
