"dataset","testAccuracy","learningrate","valAccuracy","nlayers","nhidden","layerForm"
"pima",0.692708373069763,0.01,0.82105262875557,2,1024,"cone"
"pima",0.692708373069763,0.01,0.812280708551407,2,512,"cone"
"pima",0.703125059604645,0.1,0.803508776426315,3,1024,"cone"
"pima",0.677083432674408,0.01,0.798245632648468,3,512,"cone"
"pima",0.734375059604645,0.1,0.794736862182617,2,1024,"cone"
"pima",0.677083373069763,0.01,0.794736844301224,4,1024,"cone"
"pima",0.6875,0.1,0.792982476949692,4,256,"cone"
"pima",0.723958373069763,0.01,0.79298243522644,3,256,"cone"
"pima",0.713541686534882,0.01,0.791228097677231,16,1024,"rect"
"pima",0.645833373069763,1,0.787719309329987,2,1024,"cone"
"pima",0.692708373069763,0.1,0.782456135749817,3,256,"cone"
"pima",0.6875,0.01,0.778947353363037,8,512,"cone"
"pima",0.666666686534882,0.1,0.777193015813828,8,256,"cone"
"pima",0.703125,0.01,0.775438612699509,2,256,"cone"
"pima",0.739583373069763,0.1,0.771929842233658,3,512,"cone"
"pima",0.6875,0.1,0.771929830312729,8,512,"cone"
"pima",0.739583373069763,0.1,0.770175451040268,2,256,"rect"
"pima",0.651041686534882,0.01,0.77017542719841,4,256,"cone"
"pima",0.6875,0.01,0.768421077728272,16,512,"rect"
"pima",0.770833373069763,1,0.764912307262421,2,512,"cone"
"pima",0.671875,0.01,0.764912295341492,3,1024,"rect"
"pima",0.682291626930237,1,0.764912295341492,3,1024,"cone"
"pima",0.734375059604645,0.01,0.764912295341492,2,1024,"rect"
"pima",0.708333313465118,1,0.761403518915176,3,256,"cone"
"pima",0.713541686534882,1,0.761403518915176,2,256,"cone"
"pima",0.692708373069763,0.1,0.761403512954712,4,512,"cone"
"pima",0.661458373069763,0.1,0.761403512954712,2,256,"cone"
"pima",0.682291686534882,0.1,0.761403506994247,3,512,"rect"
"pima",0.71875,0.01,0.759649127721787,2,512,"rect"
"pima",0.729166686534882,0.01,0.759649127721786,2,256,"rect"
"pima",0.692708373069763,0.1,0.759649115800857,2,1024,"rect"
"pima",0.729166686534882,1,0.756140345335007,2,256,"rect"
"pima",0.71875,0.01,0.754385977983475,3,1024,"cone"
"pima",0.645833432674408,0.01,0.754385948181152,8,1024,"rect"
"pima",0.750000059604645,1,0.752631604671478,4,1024,"cone"
"pima",0.625,0.1,0.752631586790085,4,1024,"cone"
"pima",0.687500059604645,0.1,0.750877219438553,2,512,"cone"
"pima",0.744791746139526,1,0.749122816324234,8,1024,"cone"
"pima",0.697916746139526,1,0.74912281036377,4,256,"cone"
"pima",0.682291686534882,0.01,0.749122804403305,8,256,"rect"
"pima",0.661458373069763,0.01,0.747368437051773,3,256,"rect"
"pima",0.671875,0.01,0.743859654664993,3,512,"rect"
"pima",0.713541626930237,0.1,0.743859648704529,16,256,"rect"
"pima",0.671875,0.1,0.742105281352997,2,512,"rect"
"pima",0.640625,0.01,0.740350908041,4,256,"rect"
"pima",0.755208373069763,1,0.740350896120071,4,512,"cone"
"pima",0.6875,0.01,0.738596498966217,4,512,"rect"
"pima",0.682291746139526,0.01,0.738596481084824,8,512,"rect"
"pima",0.692708313465118,0.1,0.735087722539902,3,1024,"rect"
"pima",0.703125,1,0.73333335518837,3,512,"cone"
"pima",0.713541746139526,0.1,0.733333349227905,8,1024,"cone"
"pima",0.71875,1,0.733333331346512,8,512,"cone"
"pima",0.656250059604645,0.1,0.724561411142349,4,1024,"rect"
"pima",0.666666746139526,0.01,0.714035129547119,8,1024,"cone"
"pima",0.703125,0.1,0.714035099744797,4,512,"rect"
"pima",0.671875,0.1,0.71052633523941,8,512,"rect"
"pima",0.682291686534882,0.1,0.708771938085556,3,256,"rect"
