"dataset","nlayers","testAccuracy","layerForm","nhidden","learningrate","valAccuracy"
"optical",2,0.975514650344849,"cone",1024,0.1,0.989389896392822
"optical",3,0.973845243453979,"cone",512,1,0.987798380851746
"optical",3,0.963828563690186,"rect",256,0.1,0.986737370491028
"optical",2,0.971062898635864,"rect",1024,0.1,0.986737370491028
"optical",4,0.965497970581055,"cone",1024,0.1,0.984350097179413
"optical",3,0.969393372535706,"rect",1024,0.1,0.984084904193878
"optical",8,0.969393372535706,"rect",1024,0.1,0.984084844589234
"optical",4,0.960489690303802,"rect",512,0.01,0.984084844589234
"optical",4,0.971062898635864,"rect",1024,0.1,0.984084844589234
"optical",4,0.959933161735535,"cone",256,0.1,0.984084844589234
"optical",4,0.971619367599487,"cone",1024,1,0.984084844589234
"optical",3,0.971619367599487,"rect",512,0.1,0.984084844589234
"optical",3,0.968836784362793,"cone",256,0.1,0.984084844589234
"optical",2,0.967723906040192,"cone",1024,1,0.984084844589234
"optical",2,0.977740585803986,"cone",256,1,0.984084844589234
"optical",2,0.966054558753967,"cone",512,0.1,0.981962823867798
"optical",2,0.967167496681213,"rect",256,0.01,0.981432378292084
"optical",2,0.967723965644836,"rect",256,0.1,0.981432378292084
"optical",4,0.964941501617432,"cone",512,0.1,0.981432318687439
"optical",3,0.959933161735535,"cone",1024,0.01,0.981432318687439
"optical",2,0.968280434608459,"cone",256,0.1,0.981432318687439
"optical",2,0.971062839031219,"cone",512,1,0.980901873111725
"optical",2,0.965497970581055,"rect",1024,1,0.980636578798294
"optical",2,0.970506310462952,"rect",256,1,0.980371308326721
"optical",8,0.961046099662781,"cone",512,1,0.980106061697006
"optical",8,0.958820223808289,"rect",512,0.1,0.979575562477112
"optical",4,0.963272094726562,"rect",512,0.1,0.979045104980469
"optical",3,0.968280434608459,"cone",1024,1,0.979045104980469
"optical",3,0.954368352890015,"rect",256,0.01,0.978779852390289
"optical",3,0.973288774490356,"cone",256,1,0.978779852390289
"optical",2,0.966054499149323,"rect",1024,0.01,0.978779852390289
"optical",3,0.964941501617432,"rect",1024,0.01,0.978779792785645
"optical",4,0.967723965644836,"cone",512,1,0.97851459980011
"optical",2,0.964941501617432,"rect",512,1,0.977718842029572
"optical",2,0.969949841499329,"rect",512,0.1,0.977718782424927
"optical",3,0.966054439544678,"cone",512,0.1,0.977188313007355
"optical",8,0.960489630699158,"cone",256,1,0.976923048496246
"optical",3,0.966054439544678,"cone",1024,0.1,0.976657825708389
"optical",3,0.961602568626404,"rect",256,1,0.976127326488495
"optical",2,0.96104621887207,"rect",512,0.01,0.976127326488495
"optical",2,0.959376692771912,"cone",256,0.01,0.976127326488495
"optical",4,0.961046099662781,"rect",256,0.01,0.97612726688385
"optical",3,0.959933221340179,"cone",512,0.01,0.97612726688385
"optical",3,0.966054499149323,"rect",512,0.01,0.97612726688385
"optical",16,0.959933161735535,"rect",512,0.1,0.975596767663956
"optical",8,0.963272035121918,"cone",1024,0.1,0.975596761703491
"optical",8,0.960489749908447,"rect",256,0.1,0.975066256523133
"optical",16,0.954368412494659,"cone",1024,0.1,0.974005281925201
"optical",16,0.938786864280701,"cone",256,0.1,0.973740023374558
"optical",4,0.970506370067596,"cone",256,1,0.973739993572235
"optical",2,0.96271550655365,"cone",512,0.01,0.9734748005867
"optical",4,0.963272094726562,"rect",1024,0.01,0.973474740982056
"optical",2,0.966610968112946,"cone",1024,0.01,0.973474740982056
"optical",8,0.964385032653809,"cone",1024,1,0.972148513793945
"optical",4,0.954368352890015,"rect",256,1,0.971087527275085
"optical",8,0.953811883926392,"cone",256,0.1,0.970822274684906
"optical",4,0.949359953403473,"cone",1024,0.01,0.970822274684906
"optical",4,0.963272035121918,"rect",256,0.1,0.970822274684906
"optical",16,0.946577548980713,"cone",512,0.1,0.969230765104294
"optical",8,0.956594228744507,"cone",512,0.1,0.968169808387756
"optical",16,0.952142357826233,"rect",256,0.1,0.966047728061676
"optical",4,0.955481350421906,"cone",256,0.01,0.965517222881317
