"dataset","layerForm","testAccuracy","valAccuracy","nhidden","nlayers","learningrate"
"oocytes_trisopterus_states_5b","rect",0.899122834205627,0.91587308049202,512,4,0.01
"oocytes_trisopterus_states_5b","cone",0.925438642501831,0.914285778999329,1024,2,0.1
"oocytes_trisopterus_states_5b","rect",0.912280738353729,0.912698477506638,256,3,0.01
"oocytes_trisopterus_states_5b","rect",0.916666626930237,0.912698477506638,1024,2,0.01
"oocytes_trisopterus_states_5b","cone",0.921052575111389,0.909523874521255,256,3,1
"oocytes_trisopterus_states_5b","rect",0.894736886024475,0.907936573028564,256,8,0.1
"oocytes_trisopterus_states_5b","rect",0.90350878238678,0.904761970043182,1024,4,0.01
"oocytes_trisopterus_states_5b","rect",0.872806966304779,0.9015873670578,512,8,0.01
"oocytes_trisopterus_states_5b","cone",0.907894730567932,0.9015873670578,512,4,0.01
"oocytes_trisopterus_states_5b","rect",0.90350878238678,0.898412764072418,256,4,0.01
"oocytes_trisopterus_states_5b","rect",0.907894730567932,0.898412764072418,1024,3,0.01
"oocytes_trisopterus_states_5b","rect",0.925438523292542,0.898412764072418,256,3,0.1
"oocytes_trisopterus_states_5b","cone",0.912280797958374,0.896825462579727,1024,3,0.01
"oocytes_trisopterus_states_5b","cone",0.837719261646271,0.896825462579727,256,3,0.1
"oocytes_trisopterus_states_5b","rect",0.899122834205627,0.895238161087036,512,3,0.01
"oocytes_trisopterus_states_5b","rect",0.899122774600983,0.893650859594345,512,4,0.1
"oocytes_trisopterus_states_5b","cone",0.90350878238678,0.893650859594345,1024,3,0.1
"oocytes_trisopterus_states_5b","rect",0.916666626930237,0.893650859594345,1024,3,0.1
"oocytes_trisopterus_states_5b","cone",0.912280678749084,0.893650859594345,512,3,0.1
"oocytes_trisopterus_states_5b","rect",0.912280738353729,0.893650859594345,512,2,0.1
"oocytes_trisopterus_states_5b","cone",0.90350878238678,0.892063558101654,1024,4,0.1
"oocytes_trisopterus_states_5b","rect",0.907894730567932,0.888888955116272,512,3,0.1
"oocytes_trisopterus_states_5b","cone",0.921052575111389,0.888888955116272,1024,2,0.01
"oocytes_trisopterus_states_5b","rect",0.899122834205627,0.888888955116272,512,2,0.01
"oocytes_trisopterus_states_5b","cone",0.890350878238678,0.888888955116272,256,2,0.01
"oocytes_trisopterus_states_5b","rect",0.907894790172577,0.887301653623581,256,2,0.01
"oocytes_trisopterus_states_5b","rect",0.912280678749084,0.887301653623581,1024,2,0.1
"oocytes_trisopterus_states_5b","cone",0.916666746139526,0.884127050638199,256,2,0.1
"oocytes_trisopterus_states_5b","rect",0.864035069942474,0.880952447652817,512,16,0.01
"oocytes_trisopterus_states_5b","cone",0.881578981876373,0.880952447652817,1024,8,0.01
"oocytes_trisopterus_states_5b","rect",0.899122834205627,0.880952447652817,1024,8,0.01
"oocytes_trisopterus_states_5b","cone",0.899122834205627,0.880952447652817,512,4,0.1
"oocytes_trisopterus_states_5b","rect",0.912280797958374,0.880952447652817,256,2,0.1
"oocytes_trisopterus_states_5b","cone",0.916666746139526,0.879365146160126,1024,4,0.01
"oocytes_trisopterus_states_5b","cone",0.912280797958374,0.879365146160126,256,4,0.01
"oocytes_trisopterus_states_5b","cone",0.912280678749084,0.879365146160126,512,2,0.1
"oocytes_trisopterus_states_5b","cone",0.881579041481018,0.877777844667435,256,2,1
"oocytes_trisopterus_states_5b","cone",0.921052634716034,0.876190543174744,512,3,1
"oocytes_trisopterus_states_5b","cone",0.828947305679321,0.874603241682053,256,8,0.01
"oocytes_trisopterus_states_5b","rect",0.881579041481018,0.873015940189362,1024,16,0.01
"oocytes_trisopterus_states_5b","cone",0.872806966304779,0.873015940189362,512,8,0.01
"oocytes_trisopterus_states_5b","rect",0.899122834205627,0.871428638696671,256,4,0.1
"oocytes_trisopterus_states_5b","cone",0.899122834205627,0.871428638696671,512,2,0.01
"oocytes_trisopterus_states_5b","rect",0.907894730567932,0.868254035711288,1024,4,0.1
"oocytes_trisopterus_states_5b","cone",0.912280738353729,0.865079432725906,256,4,1
"oocytes_trisopterus_states_5b","cone",0.894736886024475,0.865079432725906,512,2,1
"oocytes_trisopterus_states_5b","cone",0.894736886024475,0.863492131233215,1024,2,1
"oocytes_trisopterus_states_5b","cone",0.912280738353729,0.861904829740524,256,4,0.1
"oocytes_trisopterus_states_5b","cone",0.907894730567932,0.860317528247833,1024,4,1
"oocytes_trisopterus_states_5b","cone",0.907894730567932,0.860317528247833,1024,3,1
"oocytes_trisopterus_states_5b","rect",0.88596498966217,0.857142925262451,256,8,0.01
"oocytes_trisopterus_states_5b","cone",0.890350937843323,0.853968322277069,256,3,0.01
"oocytes_trisopterus_states_5b","cone",0.88596498966217,0.852381020784378,512,8,0.1
"oocytes_trisopterus_states_5b","cone",0.881578922271729,0.850793719291687,512,4,1
"oocytes_trisopterus_states_5b","rect",0.872807025909424,0.846031814813614,256,16,0.01
"oocytes_trisopterus_states_5b","rect",0.899122774600983,0.842857211828232,1024,8,0.1
"oocytes_trisopterus_states_5b","cone",0.89473682641983,0.83968260884285,512,3,0.01
"oocytes_trisopterus_states_5b","cone",0.885964930057526,0.838095307350159,1024,8,0.1
"oocytes_trisopterus_states_5b","cone",0.868421077728271,0.834920704364777,256,8,0.1
"oocytes_trisopterus_states_5b","cone",0.793859660625458,0.795238167047501,512,8,1
"oocytes_trisopterus_states_5b","cone",0.802631556987762,0.790476262569427,512,16,0.01
"oocytes_trisopterus_states_5b","cone",0.811403572559357,0.784127056598663,256,8,1
"oocytes_trisopterus_states_5b","cone",0.771929800510406,0.777777850627899,1024,16,0.01
"oocytes_trisopterus_states_5b","rect",0.79824560880661,0.774603247642517,256,32,0.01
"oocytes_trisopterus_states_5b","rect",0.785087645053864,0.761904835700989,512,32,0.01
"oocytes_trisopterus_states_5b","rect",0.574561417102814,0.749206417798996,512,8,0.1
"oocytes_trisopterus_states_5b","cone",0.754385948181152,0.731746107339859,1024,8,1
"oocytes_trisopterus_states_5b","rect",0.758771955966949,0.698412775993347,256,16,0.1
"oocytes_trisopterus_states_5b","rect",0.771929800510406,0.684127056598663,1024,16,0.1
"oocytes_trisopterus_states_5b","rect",0.767543852329254,0.682539761066437,512,16,0.1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.636508017778396,512,16,0.1
"oocytes_trisopterus_states_5b","cone",0.767543911933899,0.619047701358795,1024,16,0.1
"oocytes_trisopterus_states_5b","cone",0.574561417102814,0.587301611900329,256,16,0.01
"oocytes_trisopterus_states_5b","cone",0.574561417102814,0.571428656578064,1024,32,0.1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.571428656578064,256,16,0.1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.555555582046509,1024,32,0.01
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.555555582046509,512,32,0.01
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.555555582046509,1024,32,0.1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.555555582046509,512,32,0.1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.555555582046509,512,32,0.1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.555555582046509,256,32,0.1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.555555582046509,256,32,0.1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.555555582046509,1024,32,1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.555555582046509,1024,16,1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.555555582046509,512,16,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.555555582046509,512,16,1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.555555582046509,256,16,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.555555582046509,1024,8,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.555555582046509,512,8,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.555555582046509,256,8,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.555555582046509,512,4,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.555555582046509,1024,2,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.555555582046509,512,2,1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.541269871592522,512,32,1
"oocytes_trisopterus_states_5b","cone",0.578947365283966,0.539682626724243,256,32,1
"oocytes_trisopterus_states_5b","rect",0.407894730567932,0.526984161138535,512,32,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.526984161138535,1024,16,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.512698450684547,1024,32,0.01
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.512698450684547,1024,4,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.512698450684547,256,4,1
"oocytes_trisopterus_states_5b","rect",0.649122834205627,0.511111173033714,256,3,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.49841274023056,1024,32,1
"oocytes_trisopterus_states_5b","rect",0.407894760370255,0.469841319322586,256,16,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.458730211853981,1024,3,1
"oocytes_trisopterus_states_5b","rect",0.407894730567932,0.455555608868599,512,3,1
"oocytes_trisopterus_states_5b","rect",0.578947365283966,0.450793672353029,256,2,1
"oocytes_trisopterus_states_5b","cone",0.407894760370255,0.412698477506638,256,32,0.01
"oocytes_trisopterus_states_5b","rect",0.407894760370255,0.407936540991068,256,32,1
