"dataset","valAccuracy","nhidden","layerForm","learningrate","nlayers","testAccuracy"
"oocytes_merluccius_states_2f",0.977631562948227,1024,"rect",0.1,4,0.941176474094391
"oocytes_merluccius_states_2f",0.974999988079071,1024,"rect",0.1,2,0.937254905700684
"oocytes_merluccius_states_2f",0.973684191703796,1024,"rect",0.01,16,0.905882358551025
"oocytes_merluccius_states_2f",0.972368407249451,512,"rect",0.1,3,0.941176474094391
"oocytes_merluccius_states_2f",0.971052622795105,256,"rect",0.01,3,0.933333337306976
"oocytes_merluccius_states_2f",0.971052616834641,256,"cone",0.1,3,0.937254905700684
"oocytes_merluccius_states_2f",0.969736838340759,1024,"cone",0.01,3,0.925490200519562
"oocytes_merluccius_states_2f",0.96710524559021,512,"cone",0.01,3,0.929411768913269
"oocytes_merluccius_states_2f",0.965789484977722,512,"cone",0.01,2,0.933333337306976
"oocytes_merluccius_states_2f",0.965789449214935,512,"rect",0.1,2,0.933333337306976
"oocytes_merluccius_states_2f",0.961842089891434,256,"rect",0.1,3,0.898039221763611
"oocytes_merluccius_states_2f",0.961842077970505,1024,"rect",0.1,3,0.949019610881805
"oocytes_merluccius_states_2f",0.96052634716034,256,"cone",0.01,3,0.937254905700684
"oocytes_merluccius_states_2f",0.960526317358017,256,"rect",0.1,2,0.945098042488098
"oocytes_merluccius_states_2f",0.960526317358017,1024,"cone",0.1,2,0.941176474094391
"oocytes_merluccius_states_2f",0.960526311397553,1024,"cone",0.1,3,0.925490200519562
"oocytes_merluccius_states_2f",0.957894742488861,256,"cone",0.01,4,0.933333337306976
"oocytes_merluccius_states_2f",0.956578958034516,256,"rect",0.1,4,0.937254905700684
"oocytes_merluccius_states_2f",0.956578952074051,512,"rect",0.01,3,0.952941179275513
"oocytes_merluccius_states_2f",0.956578940153122,512,"cone",1,2,0.898039221763611
"oocytes_merluccius_states_2f",0.956578916311264,1024,"rect",0.01,2,0.937254905700684
"oocytes_merluccius_states_2f",0.953947365283966,256,"cone",0.1,4,0.921568632125854
"oocytes_merluccius_states_2f",0.953947359323502,1024,"cone",0.1,8,0.874509811401367
"oocytes_merluccius_states_2f",0.953947359323502,512,"cone",0.1,2,0.933333337306976
"oocytes_merluccius_states_2f",0.953947347402573,1024,"rect",0.01,4,0.921568632125854
"oocytes_merluccius_states_2f",0.953947347402573,512,"cone",0.1,4,0.905882358551025
"oocytes_merluccius_states_2f",0.953947341442108,256,"cone",0.1,8,0.925490200519562
"oocytes_merluccius_states_2f",0.952631568908691,512,"cone",0.1,3,0.949019610881805
"oocytes_merluccius_states_2f",0.951315814256668,1024,"cone",0.01,2,0.941176474094391
"oocytes_merluccius_states_2f",0.949999982118607,512,"cone",0.01,4,0.949019610881805
"oocytes_merluccius_states_2f",0.949999976158142,512,"rect",0.01,16,0.894117653369904
"oocytes_merluccius_states_2f",0.949999964237213,512,"rect",0.01,2,0.945098042488098
"oocytes_merluccius_states_2f",0.948684203624725,1024,"rect",0.01,3,0.901960790157318
"oocytes_merluccius_states_2f",0.947368431091309,1024,"cone",1,4,0.917647063732147
"oocytes_merluccius_states_2f",0.94736841917038,1024,"cone",0.1,4,0.933333337306976
"oocytes_merluccius_states_2f",0.947368383407593,512,"rect",0.1,4,0.933333337306976
"oocytes_merluccius_states_2f",0.946052646636963,256,"cone",1,4,0.905882358551025
"oocytes_merluccius_states_2f",0.944736862182617,256,"cone",1,2,0.945098042488098
"oocytes_merluccius_states_2f",0.944736832380295,1024,"cone",0.01,4,0.937254905700684
"oocytes_merluccius_states_2f",0.944736814498901,256,"rect",0.1,8,0.929411768913269
"oocytes_merluccius_states_2f",0.943421041965485,1024,"cone",1,3,0.929411768913269
"oocytes_merluccius_states_2f",0.94342103600502,512,"rect",0.1,8,0.929411768913269
"oocytes_merluccius_states_2f",0.943421030044556,256,"rect",0.01,2,0.937254905700684
"oocytes_merluccius_states_2f",0.94210524559021,256,"cone",0.1,2,0.929411768913269
"oocytes_merluccius_states_2f",0.94210524559021,256,"rect",1,2,0.886274516582489
"oocytes_merluccius_states_2f",0.940789467096329,256,"cone",1,3,0.921568632125854
"oocytes_merluccius_states_2f",0.940789467096329,256,"rect",1,3,0.929411768913269
"oocytes_merluccius_states_2f",0.9407894551754,512,"cone",1,4,0.921568632125854
"oocytes_merluccius_states_2f",0.938157898187638,512,"cone",1,3,0.890196084976196
"oocytes_merluccius_states_2f",0.938157880306244,512,"cone",0.01,8,0.909803926944733
"oocytes_merluccius_states_2f",0.936842095851898,512,"rect",0.01,4,0.901960790157318
"oocytes_merluccius_states_2f",0.935526287555695,1024,"cone",1,2,0.917647063732147
"oocytes_merluccius_states_2f",0.934210538864136,1024,"rect",0.01,8,0.921568632125854
"oocytes_merluccius_states_2f",0.934210538864136,256,"rect",0.01,8,0.941176474094391
"oocytes_merluccius_states_2f",0.934210538864136,256,"rect",0.01,4,0.941176474094391
"oocytes_merluccius_states_2f",0.934210532903671,256,"cone",0.01,8,0.890196084976196
"oocytes_merluccius_states_2f",0.934210520982742,512,"cone",0.1,8,0.925490200519562
"oocytes_merluccius_states_2f",0.932894742488861,256,"cone",0.01,2,0.917647063732147
"oocytes_merluccius_states_2f",0.928947365283966,512,"cone",0.01,16,0.878431379795074
"oocytes_merluccius_states_2f",0.926315796375275,1024,"rect",0.1,8,0.91372549533844
"oocytes_merluccius_states_2f",0.923684221506119,256,"rect",0.01,16,0.937254905700684
"oocytes_merluccius_states_2f",0.921052634716034,1024,"cone",0.01,8,0.878431379795074
"oocytes_merluccius_states_2f",0.921052610874176,256,"rect",0.01,32,0.858823537826538
"oocytes_merluccius_states_2f",0.9157894551754,512,"rect",0.01,8,0.925490200519562
"oocytes_merluccius_states_2f",0.915789437294006,256,"cone",1,8,0.831372559070587
"oocytes_merluccius_states_2f",0.906578934192657,512,"cone",1,8,0.792156875133514
"oocytes_merluccius_states_2f",0.905263143777847,256,"cone",0.01,16,0.82745099067688
"oocytes_merluccius_states_2f",0.877631568908691,1024,"cone",0.01,16,0.847058832645416
"oocytes_merluccius_states_2f",0.868421018123627,512,"cone",0.1,16,0.792156875133514
"oocytes_merluccius_states_2f",0.864473658800125,1024,"cone",1,8,0.768627464771271
"oocytes_merluccius_states_2f",0.864473652839661,256,"cone",0.1,16,0.7843137383461
"oocytes_merluccius_states_2f",0.85526317358017,512,"rect",0.01,32,0.807843148708344
"oocytes_merluccius_states_2f",0.828947401046753,1024,"rect",0.1,16,0.690196096897125
"oocytes_merluccius_states_2f",0.781578981876373,1024,"rect",0.01,32,0.756862759590149
"oocytes_merluccius_states_2f",0.710526347160339,512,"cone",1,16,0.709803938865662
"oocytes_merluccius_states_2f",0.698684233427048,1024,"cone",0.1,16,0.772549033164978
"oocytes_merluccius_states_2f",0.682894790172577,1024,"cone",1,32,0.694117665290833
"oocytes_merluccius_states_2f",0.671052694320679,1024,"cone",0.01,32,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,256,"cone",0.01,32,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,1024,"cone",0.1,32,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,1024,"rect",0.1,32,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,512,"cone",0.1,32,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,512,"rect",0.1,32,0.690196096897125
