"dataset","learningrate","layerForm","testAccuracy","nlayers","valAccuracy","nhidden"
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,8,0.909999978542328,1024
"pittsburg-bridges-T-OR-D",0.01,"cone",0.879999995231628,32,0.899999976158142,1024
"pittsburg-bridges-T-OR-D",0.01,"cone",0.879999995231628,32,0.899999976158142,512
"pittsburg-bridges-T-OR-D",0.01,"rect",0.879999995231628,32,0.899999976158142,512
"pittsburg-bridges-T-OR-D",0.01,"cone",0.879999995231628,32,0.899999976158142,256
"pittsburg-bridges-T-OR-D",0.01,"rect",0.879999995231628,32,0.899999976158142,256
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,32,0.899999976158142,1024
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,32,0.899999976158142,512
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,32,0.899999976158142,512
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,32,0.899999976158142,256
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,32,0.899999976158142,256
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,32,0.899999976158142,1024
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,32,0.899999976158142,512
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,32,0.899999976158142,512
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,32,0.899999976158142,256
"pittsburg-bridges-T-OR-D",0.01,"cone",0.879999995231628,16,0.899999976158142,1024
"pittsburg-bridges-T-OR-D",0.01,"cone",0.879999995231628,16,0.899999976158142,512
"pittsburg-bridges-T-OR-D",0.01,"cone",0.879999995231628,16,0.899999976158142,256
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,16,0.899999976158142,1024
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,16,0.899999976158142,512
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,16,0.899999976158142,256
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,16,0.899999976158142,256
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,16,0.899999976158142,512
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,16,0.899999976158142,256
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,8,0.899999976158142,1024
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,8,0.899999976158142,512
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,8,0.899999976158142,256
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,8,0.899999976158142,1024
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,8,0.899999976158142,1024
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,8,0.899999976158142,512
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,8,0.899999976158142,512
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,8,0.899999976158142,256
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,8,0.899999976158142,256
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,4,0.899999976158142,1024
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,4,0.899999976158142,512
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,4,0.899999976158142,512
