"dataset","testAccuracy","nhidden","layerForm","nlayers","valAccuracy","learningrate"
"letter",0.974199712276459,512,"rect",3,0.978979253768921,0.1
"letter",0.976599752902985,1024,"cone",4,0.976897269487381,1
"letter",0.97659969329834,256,"rect",4,0.976830124855042,1
"letter",0.974799752235413,1024,"rect",4,0.976427203416824,0.1
"letter",0.974199712276459,1024,"cone",8,0.976292854547501,1
"letter",0.96919971704483,256,"cone",8,0.976292854547501,1
"letter",0.975399732589722,512,"rect",4,0.976225739717484,0.1
"letter",0.975599825382233,1024,"cone",8,0.976024186611176,0.1
"letter",0.974999666213989,512,"cone",16,0.975957089662552,0.1
"letter",0.976199746131897,256,"rect",2,0.975957036018372,1
"letter",0.978399753570557,256,"rect",3,0.975822746753693,1
"letter",0.973999738693237,1024,"cone",2,0.975755548477173,0.1
"letter",0.969199776649475,256,"rect",8,0.975688409805298,0.1
"letter",0.976399719715118,512,"rect",2,0.97548696398735,1
"letter",0.971999764442444,512,"cone",4,0.97541977763176,0.1
"letter",0.974999666213989,512,"cone",2,0.975419741868973,1
"letter",0.975399732589722,512,"cone",3,0.975285446643829,1
"letter",0.974599719047546,512,"cone",4,0.975083988904953,1
"letter",0.975799679756165,1024,"cone",2,0.97441241145134,1
"letter",0.973399758338928,1024,"cone",3,0.974412375688553,0.1
"letter",0.976199686527252,1024,"rect",3,0.973337888717651,0.1
"letter",0.975599646568298,1024,"cone",4,0.97327064871788,0.1
"letter",0.97359973192215,512,"rect",8,0.973136425018311,0.1
"letter",0.970399677753448,512,"cone",8,0.97313631772995,0.1
"letter",0.971599757671356,512,"cone",2,0.972666245698929,0.1
"letter",0.971599757671356,1024,"cone",16,0.972464793920517,0.1
"letter",0.973999738693237,1024,"cone",3,0.972330445051193,1
"letter",0.973799705505371,512,"cone",3,0.97226328253746,0.1
"letter",0.969799697399139,256,"rect",4,0.971927511692047,0.1
"letter",0.975799679756165,512,"rect",2,0.971860355138779,0.1
"letter",0.977799713611603,1024,"rect",2,0.971726024150848,0.1
"letter",0.968199729919434,1024,"cone",2,0.971524578332901,0.01
"letter",0.971999764442444,256,"cone",4,0.971457380056381,1
"letter",0.975999772548676,1024,"rect",8,0.971255934238434,0.1
"letter",0.968999743461609,256,"rect",16,0.971188759803772,0.1
"letter",0.968599796295166,256,"cone",16,0.970987242460251,0.1
"letter",0.971999764442444,256,"rect",2,0.970785808563233,0.1
"letter",0.972399711608887,512,"cone",8,0.970785802602768,1
"letter",0.963999688625336,256,"cone",8,0.970449984073639,0.1
"letter",0.974199712276459,256,"cone",3,0.970248550176621,1
"letter",0.971999704837799,512,"rect",16,0.970114231109619,0.1
"letter",0.967199742794037,512,"rect",4,0.969912731647491,0.01
"letter",0.9683997631073,256,"cone",3,0.969375419616699,0.1
"letter",0.971199750900269,512,"rect",2,0.968905341625214,0.01
"letter",0.969999670982361,256,"cone",2,0.968770986795426,1
"letter",0.967199683189392,1024,"rect",3,0.968300890922546,0.01
"letter",0.966799736022949,512,"rect",3,0.967562174797058,0.01
"letter",0.966199696063995,256,"cone",4,0.967293524742126,0.1
"letter",0.973399698734283,1024,"rect",2,0.966554778814316,0.01
"letter",0.959799706935883,512,"cone",3,0.966353273391724,0.01
"letter",0.972599744796753,256,"rect",3,0.965547400712967,0.1
"letter",0.966199696063995,256,"rect",2,0.965547382831574,0.01
"letter",0.965199708938599,1024,"rect",16,0.965144449472427,0.1
"letter",0.965599715709686,256,"cone",2,0.965144431591034,0.1
"letter",0.965999782085419,1024,"cone",3,0.965077286958694,0.01
"letter",0.965999722480774,256,"rect",3,0.964942985773087,0.01
"letter",0.960599720478058,1024,"cone",4,0.964942944049835,0.01
"letter",0.968399703502655,1024,"rect",4,0.964875799417496,0.01
"letter",0.962999761104584,256,"rect",4,0.964808630943298,0.01
"letter",0.964999794960022,512,"cone",2,0.959435904026031,0.01
"letter",0.953599810600281,1024,"rect",8,0.959032893180847,0.01
"letter",0.955999732017517,512,"cone",4,0.955943650007248,0.01
"letter",0.956799685955048,256,"cone",2,0.955339181423187,0.01
"letter",0.956599712371826,256,"cone",3,0.950436562299728,0.01
"letter",0.951999664306641,256,"cone",4,0.949630689620972,0.01
"letter",0.951999723911285,512,"rect",8,0.949160492420197,0.01
"letter",0.94439971446991,1024,"cone",8,0.9476158618927,0.01
"letter",0.946599662303925,1024,"rect",16,0.942243140935898,0.01
"letter",0.93479973077774,512,"rect",16,0.941907352209091,0.01
"letter",0.935999691486359,512,"cone",8,0.938146388530731,0.01
"letter",0.931399762630463,1024,"rect",32,0.935191440582275,0.01
"letter",0.938199758529663,256,"rect",8,0.932639396190644,0.01
"letter",0.9301997423172,1024,"cone",16,0.930758947134018,0.01
"letter",0.922399699687958,256,"rect",16,0.929953008890152,0.01
"letter",0.924999713897705,512,"cone",16,0.928274029493332,0.01
"letter",0.933999717235565,256,"cone",8,0.923035681247711,0.01
"letter",0.920999705791473,256,"cone",16,0.920147788524628,0.01
"letter",0.914599716663361,256,"rect",32,0.919073247909546,0.01
"letter",0.92419970035553,512,"rect",32,0.918737411499023,0.01
"letter",0.90699976682663,256,"cone",32,0.904566866159439,0.01
"letter",0.708199858665466,512,"cone",32,0.682001352310181,0.01
"letter",0.63999992609024,1024,"cone",32,0.64291473031044,0.01
"letter",0.34799998998642,1024,"cone",16,0.397380810976029,1
"letter",0.370599985122681,256,"cone",16,0.359503048658371,1
"letter",0.0722000002861023,512,"cone",32,0.0712558779865503,0.1
"letter",0.0425999946892262,1024,"rect",32,0.0490261919796467,0.1
"letter",0.0391999967396259,512,"cone",16,0.0431833442300558,1
"letter",0.039599996060133,1024,"rect",3,0.042780389636755,1
"letter",0.0411999970674515,1024,"rect",2,0.0410342514514923,1
"letter",0.0391999967396259,512,"rect",8,0.0409670919179916,1
"letter",0.0401999950408936,1024,"cone",32,0.0404969777911902,0.1
"letter",0.0389999933540821,512,"cone",32,0.0404298186302185,1
"letter",0.0389999970793724,1024,"cone",32,0.0402283411473036,1
"letter",0.0375999994575977,1024,"rect",32,0.0400940228253603,1
"letter",0.0401999987661839,512,"rect",16,0.0400268644094467,1
"letter",0.0368000008165836,1024,"rect",4,0.0397582270205021,1
"letter",0.0383999980986118,256,"rect",32,0.0396910682320595,0.1
"letter",0.0425999984145164,512,"rect",4,0.0392881127074361,1
"letter",0.0365999974310398,256,"rect",16,0.0392209537327289,1
"letter",0.0397999994456768,256,"cone",32,0.0390866354107857,1
"letter",0.0385999977588654,512,"rect",32,0.039019476249814,0.1
"letter",0.0385999977588654,512,"rect",3,0.0385493624955416,1
"letter",0.0391999967396259,256,"cone",32,0.0383478846400976,0.1
"letter",0.0393999963998795,512,"rect",32,0.038280725479126,1
"letter",0.0394000001251698,256,"rect",32,0.038280725479126,1
"letter",0.0394000001251698,1024,"rect",16,0.038280725479126,1
"letter",0.0394000001251698,1024,"rect",8,0.038280725479126,1
"letter",0.0394000001251698,256,"rect",8,0.038280725479126,1
