"dataset","layerForm","nlayers","nhidden","learningrate","testAccuracy","valAccuracy"
"spect","cone",4,512,1,0.672043025493622,0.899999976158142
"spect","rect",8,256,0.1,0.655913949012756,0.830000001192093
"spect","cone",3,512,1,0.688172042369843,0.81000000834465
"spect","cone",8,1024,0.01,0.580645143985748,0.800000011920929
"spect","cone",4,1024,0.1,0.672043025493622,0.800000011920929
"spect","rect",4,512,0.1,0.688172042369843,0.800000011920929
"spect","cone",4,256,0.1,0.645161271095276,0.800000011920929
"spect","rect",3,1024,0.01,0.677419364452362,0.800000011920929
"spect","cone",3,1024,0.1,0.709677457809448,0.800000011920929
"spect","cone",2,1024,0.01,0.688172042369843,0.800000011920929
"spect","cone",2,512,0.01,0.639784932136536,0.800000011920929
"spect","cone",2,256,0.1,0.693548381328583,0.800000011920929
"spect","rect",8,512,0.01,0.618279576301575,0.790000015497208
"spect","rect",4,1024,0.1,0.553763389587402,0.790000015497208
"spect","cone",3,1024,1,0.666666686534882,0.780000019073486
"spect","rect",2,512,0.01,0.672042965888977,0.770000022649765
"spect","cone",2,1024,1,0.634408593177795,0.770000016689301
"spect","cone",2,1024,0.1,0.661290287971497,0.760000026226044
"spect","cone",3,512,0.1,0.704301059246063,0.750000029802322
"spect","cone",2,256,1,0.645161271095276,0.750000029802322
"spect","cone",3,256,1,0.634408593177795,0.740000033378601
"spect","rect",3,256,0.01,0.629032254219055,0.730000030994415
"spect","rect",2,1024,0.1,0.672043025493622,0.720000040531158
"spect","rect",8,1024,0.01,0.650537610054016,0.720000040531158
"spect","cone",4,512,0.1,0.623655915260315,0.720000040531158
"spect","cone",2,512,1,0.677419424057007,0.720000040531158
"spect","cone",2,512,0.1,0.639784932136536,0.720000034570694
"spect","rect",2,512,0.1,0.682795643806458,0.720000019669533
"spect","cone",16,1024,0.01,0.456989228725433,0.700000047683716
"spect","cone",8,256,0.01,0.559139788150787,0.700000047683716
"spect","cone",8,256,0.1,0.559139728546143,0.700000047683716
"spect","rect",4,256,0.01,0.650537669658661,0.700000047683716
"spect","cone",3,256,0.01,0.639784932136536,0.700000047683716
