"dataset","valAccuracy","nlayers","nhidden","layerForm","learningrate","testAccuracy"
"lenses",1,32,1024,"cone",0.01,0.666666686534882
"lenses",1,32,512,"cone",0.01,0.666666686534882
"lenses",1,32,256,"cone",0.01,0.666666686534882
"lenses",1,32,1024,"cone",0.1,0.666666686534882
"lenses",1,32,512,"cone",0.1,0.666666686534882
"lenses",1,32,512,"rect",0.1,0.666666686534882
"lenses",1,32,256,"cone",0.1,0.666666686534882
"lenses",1,32,256,"rect",0.1,0.666666686534882
"lenses",1,32,1024,"cone",1,0.666666686534882
"lenses",1,32,256,"cone",1,0.666666686534882
"lenses",1,16,1024,"cone",0.01,0.666666686534882
"lenses",1,16,1024,"rect",0.01,0.666666686534882
"lenses",1,16,512,"cone",0.01,0.666666686534882
"lenses",1,16,512,"rect",0.01,0.666666686534882
"lenses",1,16,1024,"cone",0.1,0.666666686534882
"lenses",1,16,512,"cone",0.1,0.666666686534882
"lenses",1,16,512,"rect",0.1,0.666666686534882
"lenses",1,16,256,"cone",0.1,0.666666686534882
"lenses",1,16,256,"rect",0.1,0.666666686534882
"lenses",1,16,1024,"cone",1,0.333333343267441
"lenses",1,16,512,"cone",1,0.666666686534882
"lenses",1,16,256,"cone",1,0.666666686534882
"lenses",1,8,1024,"rect",0.01,0.833333373069763
"lenses",1,8,512,"cone",0.01,0.833333373069763
"lenses",1,8,1024,"cone",0.1,0.666666686534882
"lenses",1,8,1024,"rect",0.1,0.5
"lenses",1,8,512,"rect",0.1,0.666666686534882
"lenses",1,8,256,"cone",0.1,0.666666686534882
"lenses",1,4,512,"rect",0.01,1
"lenses",1,4,256,"cone",0.01,0.666666686534882
"lenses",1,4,1024,"cone",0.1,0.833333373069763
"lenses",1,4,1024,"rect",0.1,0.666666686534882
"lenses",1,4,512,"rect",0.1,0.666666686534882
"lenses",1,4,1024,"cone",1,0.666666686534882
"lenses",1,3,1024,"rect",0.01,1
"lenses",1,3,256,"cone",0.01,0.833333373069763
"lenses",1,3,256,"rect",0.01,1
"lenses",1,3,1024,"cone",0.1,0.833333373069763
"lenses",1,3,1024,"rect",0.1,0.833333373069763
"lenses",1,2,1024,"cone",0.01,1
"lenses",1,2,512,"cone",0.01,1
"lenses",1,2,256,"cone",0.01,1
"lenses",1,2,1024,"cone",0.1,0.833333373069763
"lenses",1,2,1024,"rect",0.1,1
"lenses",1,2,512,"rect",0.1,0.833333373069763
"lenses",1,2,256,"rect",0.1,0.666666686534882
"lenses",0.9,32,256,"rect",0.01,0.666666686534882
