"dataset","nlayers","layerForm","valAccuracy","testAccuracy","nhidden","learningrate"
"pittsburg-bridges-TYPE",8,"cone",0.716666692495346,0.653846204280853,1024,0.1
"pittsburg-bridges-TYPE",16,"rect",0.666666686534881,0.653846204280853,1024,0.01
"pittsburg-bridges-TYPE",8,"rect",0.566666677594185,0.384615421295166,256,0.1
"pittsburg-bridges-TYPE",8,"cone",0.566666674613953,0.692307710647583,1024,0.01
"pittsburg-bridges-TYPE",4,"cone",0.550000005960465,0.384615421295166,256,1
"pittsburg-bridges-TYPE",3,"cone",0.533333340287209,0.46153849363327,256,1
"pittsburg-bridges-TYPE",4,"cone",0.533333337306976,0.538461565971375,512,1
"pittsburg-bridges-TYPE",16,"rect",0.533333337306976,0.5,256,0.1
"pittsburg-bridges-TYPE",2,"rect",0.516666668653488,0.576923131942749,256,0.01
"pittsburg-bridges-TYPE",8,"rect",0.500000002980232,0.615384638309479,256,0.01
"pittsburg-bridges-TYPE",8,"rect",0.500000002980232,0.538461565971375,512,0.1
"pittsburg-bridges-TYPE",8,"cone",0.500000002980232,0.5,512,1
"pittsburg-bridges-TYPE",32,"cone",0.5,0.5,1024,0.01
"pittsburg-bridges-TYPE",32,"cone",0.5,0.5,512,0.01
"pittsburg-bridges-TYPE",32,"cone",0.5,0.5,256,0.01
"pittsburg-bridges-TYPE",32,"cone",0.5,0.5,1024,0.1
"pittsburg-bridges-TYPE",32,"rect",0.5,0.5,1024,0.1
"pittsburg-bridges-TYPE",32,"cone",0.5,0.5,512,0.1
"pittsburg-bridges-TYPE",32,"rect",0.5,0.5,512,0.1
"pittsburg-bridges-TYPE",32,"cone",0.5,0.5,256,0.1
"pittsburg-bridges-TYPE",32,"rect",0.5,0.5,256,0.1
"pittsburg-bridges-TYPE",32,"cone",0.5,0.5,1024,1
"pittsburg-bridges-TYPE",32,"cone",0.5,0.5,512,1
"pittsburg-bridges-TYPE",16,"cone",0.5,0.5,1024,0.01
"pittsburg-bridges-TYPE",16,"cone",0.5,0.46153849363327,256,0.01
"pittsburg-bridges-TYPE",16,"rect",0.5,0.5,256,0.01
"pittsburg-bridges-TYPE",16,"cone",0.5,0.5,1024,0.1
"pittsburg-bridges-TYPE",16,"rect",0.5,0.5,1024,0.1
"pittsburg-bridges-TYPE",16,"rect",0.5,0.538461565971375,512,0.1
"pittsburg-bridges-TYPE",16,"cone",0.5,0.5,256,0.1
"pittsburg-bridges-TYPE",16,"cone",0.5,0.5,1024,1
