"dataset","nhidden","learningrate","nlayers","valAccuracy","layerForm","testAccuracy"
"breast-cancer-wisc-prog",512,0.1,4,0.899999976158142,"rect",0.795918345451355
"breast-cancer-wisc-prog",256,0.1,3,0.899999976158142,"rect",0.897959172725677
"breast-cancer-wisc-prog",256,0.01,4,0.894999980926514,"cone",0.795918345451355
"breast-cancer-wisc-prog",512,0.1,8,0.889999979734421,"rect",0.857142806053162
"breast-cancer-wisc-prog",1024,0.01,3,0.865000009536743,"cone",0.816326498985291
"breast-cancer-wisc-prog",1024,0.01,32,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",512,0.01,32,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",256,0.01,32,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",1024,0.1,32,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",1024,0.1,32,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",512,0.1,32,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",512,0.1,32,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",256,0.1,32,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",256,0.1,32,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",1024,1,32,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",1024,1,32,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",512,1,32,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",512,1,32,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",256,1,32,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",1024,0.01,16,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",512,0.01,16,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",256,0.01,16,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",1024,0.1,16,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",1024,0.1,16,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",512,0.1,16,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",512,0.1,16,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",256,0.1,16,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",256,0.1,16,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",1024,1,16,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",512,1,16,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",512,1,16,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",256,1,16,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",256,0.01,8,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",1024,0.1,8,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",1024,1,8,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",512,1,8,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",256,1,8,0.850000023841858,"cone",0.775510191917419
