"dataset","learningrate","testAccuracy","valAccuracy","nhidden","layerForm","nlayers"
"conn-bench-sonar-mines-rocks",0.01,0.673076987266541,0.875,512,"rect",8
"conn-bench-sonar-mines-rocks",0.1,0.788461625576019,0.875,512,"cone",4
"conn-bench-sonar-mines-rocks",0.1,0.807692348957062,0.875,512,"rect",4
"conn-bench-sonar-mines-rocks",1,0.807692408561707,0.875,1024,"cone",4
"conn-bench-sonar-mines-rocks",0.1,0.826923131942749,0.875,1024,"cone",3
"conn-bench-sonar-mines-rocks",0.01,0.788461565971375,0.875,1024,"cone",2
"conn-bench-sonar-mines-rocks",0.01,0.788461565971375,0.875,256,"rect",2
"conn-bench-sonar-mines-rocks",0.1,0.788461565971375,0.875,1024,"cone",2
"conn-bench-sonar-mines-rocks",0.1,0.807692348957062,0.875,256,"cone",2
"conn-bench-sonar-mines-rocks",0.1,0.788461565971375,0.875,256,"rect",2
"conn-bench-sonar-mines-rocks",1,0.807692289352417,0.875,1024,"cone",2
"conn-bench-sonar-mines-rocks",1,0.826923131942749,0.875,512,"cone",2
"conn-bench-sonar-mines-rocks",1,0.826923191547394,0.875,256,"cone",2
"conn-bench-sonar-mines-rocks",0.01,0.807692408561707,0.81875,1024,"rect",4
"conn-bench-sonar-mines-rocks",0.01,0.673076987266541,0.81875,512,"cone",4
"conn-bench-sonar-mines-rocks",0.1,0.71153849363327,0.81875,256,"cone",4
"conn-bench-sonar-mines-rocks",0.1,0.846153855323792,0.81875,512,"cone",3
"conn-bench-sonar-mines-rocks",0.1,0.826923191547394,0.81875,256,"rect",3
"conn-bench-sonar-mines-rocks",0.1,0.846153914928436,0.81875,1024,"rect",2
"conn-bench-sonar-mines-rocks",0.1,0.807692348957062,0.81875,512,"rect",2
"conn-bench-sonar-mines-rocks",0.01,0.634615421295166,0.8125,256,"cone",8
"conn-bench-sonar-mines-rocks",0.01,0.615384697914124,0.8125,256,"rect",8
"conn-bench-sonar-mines-rocks",0.1,0.807692348957062,0.8125,512,"rect",8
"conn-bench-sonar-mines-rocks",0.1,0.788461625576019,0.8125,256,"rect",8
"conn-bench-sonar-mines-rocks",0.01,0.692307710647583,0.8125,1024,"cone",4
"conn-bench-sonar-mines-rocks",0.01,0.730769276618958,0.8125,512,"rect",4
"conn-bench-sonar-mines-rocks",0.01,0.711538553237915,0.8125,256,"rect",4
"conn-bench-sonar-mines-rocks",0.1,0.807692348957062,0.8125,1024,"cone",4
"conn-bench-sonar-mines-rocks",0.1,0.807692348957062,0.8125,1024,"rect",4
"conn-bench-sonar-mines-rocks",0.1,0.788461565971375,0.8125,256,"rect",4
"conn-bench-sonar-mines-rocks",1,0.730769276618958,0.8125,256,"cone",4
"conn-bench-sonar-mines-rocks",0.01,0.75,0.8125,512,"cone",3
"conn-bench-sonar-mines-rocks",0.01,0.788461565971375,0.8125,256,"cone",3
"conn-bench-sonar-mines-rocks",0.1,0.826923191547394,0.8125,256,"cone",3
"conn-bench-sonar-mines-rocks",1,0.788461565971375,0.8125,1024,"cone",3
"conn-bench-sonar-mines-rocks",1,0.807692408561707,0.8125,512,"cone",3
"conn-bench-sonar-mines-rocks",1,0.788461565971375,0.8125,256,"cone",3
"conn-bench-sonar-mines-rocks",0.01,0.788461565971375,0.8125,1024,"rect",2
"conn-bench-sonar-mines-rocks",0.01,0.730769276618958,0.8125,512,"cone",2
"conn-bench-sonar-mines-rocks",0.01,0.807692348957062,0.8125,512,"rect",2
