"dataset","layerForm","learningrate","nlayers","testAccuracy","valAccuracy","nhidden"
"iris","rect",0.01,16,0.783783793449402,0.859999990463257,1024
"iris","rect",0.01,8,0.945945978164673,0.839999997615814,256
"iris","rect",0.1,16,0.675675749778748,0.760000014305115,1024
"iris","cone",1,8,0.675675749778748,0.760000014305115,256
"iris","rect",0.1,8,0.675675749778748,0.740000015497208,1024
"iris","rect",0.1,16,0.648648679256439,0.740000015497208,512
"iris","rect",1,4,0.675675749778748,0.740000015497208,512
"iris","cone",1,3,0.675675749778748,0.740000015497208,1024
"iris","rect",0.01,32,0.675675749778748,0.720000016689301,512
"iris","cone",1,8,0.675675749778748,0.700000017881394,1024
"iris","rect",0.1,32,0.675675749778748,0.700000017881393,1024
"iris","cone",0.01,16,0.702702760696411,0.600000023841858,512
"iris","cone",0.1,16,0.675675749778748,0.600000023841858,1024
"iris","cone",1,8,0.675675749778748,0.560000014305115,512
"iris","cone",0.01,32,0.459459453821182,0.5,512
"iris","rect",1,3,0.351351380348206,0.460000009089708,512
"iris","rect",1,4,0.32432433962822,0.430000008642674,256
"iris","cone",0.01,32,0.351351380348206,0.410000005364418,256
"iris","cone",0.01,32,0.32432433962822,0.410000005364418,1024
"iris","rect",1,8,0.351351380348206,0.400000005960465,1024
"iris","rect",1,3,0.351351380348206,0.400000005960465,1024
"iris","rect",1,2,0.351351380348206,0.400000005960465,1024
"iris","rect",1,2,0.351351380348206,0.400000005960465,512
"iris","rect",0.01,32,0.351351380348206,0.380000005662441,256
"iris","cone",1,32,0.32432433962822,0.380000005662441,1024
"iris","rect",1,32,0.32432433962822,0.380000005662441,1024
"iris","rect",1,32,0.32432433962822,0.380000005662441,256
"iris","cone",0.1,16,0.32432433962822,0.360000005364418,512
"iris","rect",1,16,0.32432433962822,0.360000005364418,1024
"iris","rect",1,16,0.32432433962822,0.360000005364418,512
"iris","rect",1,8,0.351351380348206,0.360000005364418,256
"iris","rect",1,4,0.297297298908234,0.360000005364418,1024
"iris","rect",1,3,0.32432433962822,0.360000005364418,256
"iris","rect",0.1,16,0.32432433962822,0.360000005364418,256
"iris","rect",0.01,32,0.32432433962822,0.340000005066395,1024
"iris","rect",0.1,32,0.32432433962822,0.340000005066395,512
"iris","rect",1,32,0.32432433962822,0.340000005066395,512
"iris","cone",1,32,0.32432433962822,0.340000005066395,256
"iris","cone",1,16,0.351351380348206,0.340000005066395,1024
"iris","cone",0.1,32,0.32432433962822,0.320000004768372,512
"iris","cone",1,32,0.351351380348206,0.320000004768372,512
"iris","cone",1,16,0.32432433962822,0.320000004768372,512
"iris","cone",1,16,0.32432433962822,0.320000004768372,256
"iris","rect",1,16,0.351351380348206,0.320000004768372,256
"iris","rect",0.1,32,0.32432433962822,0.320000004768372,256
"iris","rect",1,8,0.351351380348206,0.320000004768372,512
"iris","cone",0.1,16,0.32432433962822,0.300000004470348,256
"iris","cone",0.1,32,0.32432433962822,0.260000003874302,1024
"iris","cone",0.1,32,0.32432433962822,0.230000002682209,256
"iris","cone",0.01,16,0.32432433962822,0.220000003278256,1024
"iris","cone",0.01,16,0.405405402183533,0.190000002831221,256
