"dataset","nhidden","learningrate","layerForm","nlayers","valAccuracy","testAccuracy"
"primary-tumor",256,0.01,"cone",2,0.476470592617989,0.451219499111176
"primary-tumor",1024,0.1,"cone",16,0.435294127464294,0.414634108543396
"primary-tumor",512,1,"cone",8,0.429411780834198,0.46341460943222
"primary-tumor",256,0.1,"cone",8,0.411764724552631,0.475609719753265
"primary-tumor",256,1,"cone",8,0.411764720082283,0.560975551605225
"primary-tumor",256,0.1,"rect",16,0.405882361531258,0.451219499111176
"primary-tumor",1024,1,"cone",8,0.39411765486002,0.341463387012482
"primary-tumor",256,1,"cone",4,0.388235303759575,0.451219469308853
"primary-tumor",512,0.01,"cone",3,0.376470595598221,0.451219499111176
"primary-tumor",512,0.01,"cone",2,0.376470595598221,0.487804889678955
"primary-tumor",1024,0.01,"rect",32,0.36470589786768,0.329268276691437
"primary-tumor",512,0.1,"cone",16,0.364705893397331,0.512195110321045
"primary-tumor",256,0.1,"cone",3,0.364705893397331,0.46341460943222
"primary-tumor",1024,0.01,"cone",32,0.358823542296886,0.378048777580261
"primary-tumor",256,0.01,"rect",32,0.358823537826538,0.317073166370392
"primary-tumor",256,0.01,"rect",2,0.358823537826538,0.512195110321045
"primary-tumor",512,1,"cone",4,0.358823536336422,0.512195110321045
"primary-tumor",1024,1,"cone",16,0.358823536336422,0.329268276691437
"primary-tumor",256,0.1,"cone",16,0.352941186726093,0.426829218864441
"primary-tumor",1024,0.1,"cone",32,0.352941185235977,0.341463416814804
"primary-tumor",256,0.01,"rect",8,0.352941185235977,0.341463387012482
"primary-tumor",256,0.01,"rect",4,0.352941185235977,0.475609719753265
"primary-tumor",512,0.01,"rect",32,0.352941183745861,0.268292665481567
"primary-tumor",512,0.01,"rect",16,0.335294127464294,0.414634108543396
"primary-tumor",256,0.01,"cone",3,0.335294127464294,0.439024388790131
"primary-tumor",1024,1,"cone",4,0.335294125974178,0.48780483007431
"primary-tumor",256,1,"cone",3,0.329411777853966,0.46341460943222
"primary-tumor",512,1,"cone",3,0.329411773383617,0.52439022064209
"primary-tumor",256,0.01,"rect",3,0.323529422283173,0.426829248666763
"primary-tumor",512,0.1,"rect",16,0.317647068202496,0.23170730471611
"primary-tumor",256,1,"cone",2,0.31764706671238,0.5
"primary-tumor",512,0.1,"cone",3,0.311764717102051,0.475609749555588
"primary-tumor",1024,0.1,"rect",8,0.311764715611935,0.487804889678955
"primary-tumor",1024,0.01,"rect",2,0.311764715611935,0.512195110321045
"primary-tumor",256,0.1,"rect",8,0.311764711141586,0.46341460943222
"primary-tumor",1024,0.01,"cone",16,0.305882361531258,0.329268276691437
"primary-tumor",512,0.1,"rect",8,0.300000011920929,0.5
"primary-tumor",1024,1,"cone",2,0.300000010430813,0.365853607654572
"primary-tumor",512,0.01,"cone",8,0.300000010430813,0.378048777580261
"primary-tumor",256,0.1,"rect",4,0.300000010430813,0.439024388790131
"primary-tumor",1024,1,"cone",3,0.300000008940697,0.512195110321045
"primary-tumor",1024,0.01,"rect",8,0.294117659330368,0.475609749555588
"primary-tumor",1024,0.01,"cone",2,0.294117659330368,0.52439022064209
"primary-tumor",1024,0.1,"rect",3,0.288235302269459,0.52439022064209
"primary-tumor",512,0.1,"rect",3,0.288235302269459,0.439024388790131
"primary-tumor",512,0.1,"cone",4,0.288235300779343,0.5
"primary-tumor",256,1,"rect",2,0.282352949678898,0.46341460943222
"primary-tumor",512,0.1,"cone",8,0.282352948188782,0.426829248666763
"primary-tumor",512,0.01,"rect",2,0.282352946698666,0.512195110321045
"primary-tumor",1024,0.1,"cone",8,0.282352946698666,0.5
"primary-tumor",1024,0.1,"cone",3,0.282352946698666,0.487804889678955
"primary-tumor",256,0.01,"cone",16,0.276470594108105,0.304878056049347
"primary-tumor",512,0.01,"rect",3,0.270588240027428,0.5
"primary-tumor",512,1,"cone",2,0.264705891907215,0.463414639234543
"primary-tumor",512,0.01,"cone",4,0.264705890417099,0.439024358987808
"primary-tumor",256,0.1,"cone",2,0.258823536336422,0.512195110321045
"primary-tumor",1024,0.1,"rect",4,0.25882353335619,0.46341460943222
"primary-tumor",1024,0.01,"rect",16,0.252941183000803,0.390243887901306
"primary-tumor",1024,0.01,"rect",3,0.252941180765629,0.5
"primary-tumor",1024,0.01,"cone",4,0.252941179275513,0.439024358987808
"primary-tumor",512,0.01,"cone",16,0.247058828175068,0.378048747777939
"primary-tumor",512,0.1,"rect",2,0.247058826684952,0.475609719753265
"primary-tumor",256,0.1,"rect",3,0.247058825194836,0.439024388790131
"primary-tumor",1024,0.01,"cone",8,0.241176472604275,0.268292665481567
"primary-tumor",512,0.01,"cone",32,0.235294118523598,0.304878056049347
"primary-tumor",256,0.01,"cone",32,0.235294118523598,0.304878056049347
"primary-tumor",1024,0.1,"rect",32,0.235294118523598,0.304878056049347
"primary-tumor",512,0.1,"cone",32,0.235294118523598,0.304878056049347
"primary-tumor",512,0.1,"rect",32,0.235294118523598,0.304878056049347
"primary-tumor",256,0.1,"cone",32,0.235294118523598,0.304878056049347
"primary-tumor",1024,1,"cone",32,0.235294118523598,0.304878056049347
"primary-tumor",512,1,"cone",32,0.235294118523598,0.304878056049347
"primary-tumor",256,1,"cone",32,0.235294118523598,0.304878056049347
"primary-tumor",1024,0.1,"rect",16,0.235294118523598,0.304878056049347
"primary-tumor",512,1,"cone",16,0.235294118523598,0.304878056049347
"primary-tumor",256,1,"cone",16,0.235294118523598,0.304878056049347
"primary-tumor",512,0.01,"rect",8,0.235294118523598,0.353658497333527
"primary-tumor",1024,1,"rect",8,0.235294118523598,0.304878056049347
"primary-tumor",512,1,"rect",8,0.235294118523598,0.304878056049347
"primary-tumor",256,1,"rect",8,0.235294118523598,0.304878056049347
"primary-tumor",1024,1,"rect",4,0.235294118523598,0.304878056049347
"primary-tumor",512,1,"rect",3,0.235294118523598,0.304878056049347
"primary-tumor",1024,1,"rect",2,0.235294118523598,0.304878056049347
"primary-tumor",512,1,"rect",2,0.235294118523598,0.304878056049347
"primary-tumor",256,0.1,"rect",2,0.229411770403385,0.46341460943222
"primary-tumor",256,0.1,"cone",4,0.229411770403385,0.487804889678955
"primary-tumor",512,0.01,"rect",4,0.229411768913269,0.46341460943222
"primary-tumor",256,0.1,"rect",32,0.229411765933037,0.304878056049347
"primary-tumor",512,0.1,"rect",4,0.223529417812824,0.439024388790131
"primary-tumor",1024,0.1,"rect",2,0.217647062242031,0.439024388790131
"primary-tumor",1024,0.1,"cone",2,0.217647060751915,0.487804859876633
"primary-tumor",512,0.1,"cone",2,0.211764711141586,0.487804859876633
"primary-tumor",256,0.01,"rect",16,0.205882357060909,0.341463387012482
"primary-tumor",1024,0.1,"cone",4,0.205882357060909,0.512195110321045
"primary-tumor",256,0.01,"cone",4,0.205882355570793,0.451219499111176
"primary-tumor",256,1,"rect",4,0.200000003352761,0.304878056049347
"primary-tumor",256,0.01,"cone",8,0.194117649644613,0.195121943950653
"primary-tumor",1024,0.01,"rect",4,0.188235299289226,0.46341460943222
"primary-tumor",1024,0.01,"cone",3,0.176470592617989,0.46341460943222
