"dataset","valAccuracy","nhidden","layerForm","nlayers","testAccuracy","learningrate"
"hayes-roth",0.900000023841858,1024,"rect",8,0.892857193946838,0.01
"hayes-roth",0.900000017881393,256,"cone",3,0.785714268684387,0.1
"hayes-roth",0.900000017881393,512,"cone",2,0.857142925262451,1
"hayes-roth",0.891666674613953,512,"rect",8,0.785714268684387,0.01
"hayes-roth",0.883333361148834,256,"rect",16,0.75,0.01
"hayes-roth",0.883333361148834,1024,"cone",2,0.821428596973419,0.1
"hayes-roth",0.88333335518837,256,"rect",2,0.714285731315613,0.1
"hayes-roth",0.88333335518837,256,"rect",2,0.464285731315613,0.01
"hayes-roth",0.883333349227905,1024,"rect",16,0.821428596973419,0.01
"hayes-roth",0.883333349227905,256,"cone",4,0.607142865657806,0.1
"hayes-roth",0.883333349227905,1024,"cone",2,0.678571462631226,0.01
"hayes-roth",0.875000029802322,1024,"cone",8,0.678571462631226,0.1
"hayes-roth",0.875000029802322,256,"rect",4,0.785714328289032,0.1
"hayes-roth",0.875000029802322,512,"rect",2,0.821428596973419,0.01
"hayes-roth",0.875000023841858,512,"rect",4,0.857142925262451,0.01
"hayes-roth",0.875000023841858,256,"cone",2,0.642857193946838,0.01
"hayes-roth",0.875000023841858,256,"cone",2,0.75,1
"hayes-roth",0.875000017881393,1024,"rect",4,0.75,0.1
"hayes-roth",0.875000011920929,256,"cone",3,0.714285731315613,1
"hayes-roth",0.875000011920929,512,"rect",3,0.857142925262451,0.1
"hayes-roth",0.866666692495346,512,"rect",16,0.607142865657806,0.01
"hayes-roth",0.866666692495346,512,"rect",4,0.535714268684387,0.1
"hayes-roth",0.866666692495346,1024,"rect",2,0.785714328289032,0.1
"hayes-roth",0.858333367109299,1024,"cone",16,0.464285731315613,0.01
"hayes-roth",0.858333367109299,512,"cone",3,0.714285731315613,0.1
"hayes-roth",0.858333367109299,1024,"rect",2,0.892857193946838,0.01
"hayes-roth",0.858333361148834,512,"cone",2,0.75,0.1
"hayes-roth",0.858333361148834,1024,"cone",3,0.642857193946838,0.01
"hayes-roth",0.858333361148834,256,"rect",3,0.607142865657806,0.01
"hayes-roth",0.85833335518837,256,"cone",2,0.892857193946838,0.1
"hayes-roth",0.858333343267441,512,"cone",8,0.607142925262451,0.1
"hayes-roth",0.850000035762787,256,"cone",4,0.678571462631226,0.01
"hayes-roth",0.850000023841858,512,"rect",3,0.678571462631226,0.01
"hayes-roth",0.850000023841858,1024,"rect",3,0.75,0.1
"hayes-roth",0.850000017881394,1024,"cone",4,0.928571462631226,0.1
"hayes-roth",0.841666698455811,256,"rect",4,0.678571462631226,0.01
"hayes-roth",0.841666692495346,1024,"cone",4,0.857142925262451,0.01
"hayes-roth",0.841666692495346,1024,"rect",4,0.607142925262451,0.01
"hayes-roth",0.841666692495346,512,"cone",3,0.642857193946838,0.01
"hayes-roth",0.841666692495346,256,"rect",3,0.857142925262451,0.1
"hayes-roth",0.833333373069763,256,"cone",8,0.607142925262451,0.01
"hayes-roth",0.833333361148834,1024,"rect",3,0.714285731315613,0.01
"hayes-roth",0.833333361148834,256,"rect",8,0.642857193946838,0.01
"hayes-roth",0.83333335518837,512,"cone",2,0.821428596973419,0.01
"hayes-roth",0.83333335518837,256,"cone",3,0.678571462631226,0.01
"hayes-roth",0.825000023841858,512,"rect",2,0.75,0.1
"hayes-roth",0.800000017881394,512,"cone",4,0.535714268684387,0.01
"hayes-roth",0.791666686534882,1024,"cone",3,0.928571462631226,0.1
"hayes-roth",0.791666686534882,512,"cone",4,0.571428596973419,0.1
"hayes-roth",0.708333349227905,256,"cone",8,0.392857134342194,0.1
"hayes-roth",0.700000023841858,1024,"cone",3,0.714285731315613,1
"hayes-roth",0.691666692495346,1024,"cone",2,0.571428596973419,1
"hayes-roth",0.666666692495346,1024,"cone",4,0.642857193946838,1
"hayes-roth",0.666666686534881,512,"cone",16,0.25,0.01
"hayes-roth",0.65833335518837,1024,"cone",8,0.5,0.01
"hayes-roth",0.65833335518837,512,"cone",3,0.785714268684387,1
"hayes-roth",0.641666686534882,512,"cone",4,0.571428596973419,1
"hayes-roth",0.633333349227905,512,"cone",8,0.392857134342194,0.01
"hayes-roth",0.608333361148834,256,"cone",4,0.535714268684387,1
"hayes-roth",0.591666680574417,256,"cone",16,0.357142865657806,0.01
