"dataset","layerForm","testAccuracy","nlayers","valAccuracy","nhidden","learningrate"
"monks-2","rect",0.680555582046509,4,0.633333349227905,1024,0.1
"monks-2","cone",0.650462985038757,3,0.633333349227905,1024,0.1
"monks-2","cone",0.546296298503876,2,0.625000029802322,256,0.01
"monks-2","rect",0.495370388031006,3,0.616666692495346,256,0.1
"monks-2","cone",0.560185194015503,2,0.616666686534882,1024,0.01
"monks-2","rect",0.44907408952713,16,0.600000017881393,1024,0.01
"monks-2","rect",0.555555582046509,16,0.600000017881393,512,0.01
"monks-2","rect",0.671296358108521,16,0.600000017881393,256,1
"monks-2","rect",0.328703731298447,8,0.600000017881393,1024,1
"monks-2","rect",0.671296298503876,8,0.600000017881393,512,1
"monks-2","rect",0.590277791023254,8,0.600000017881393,256,1
"monks-2","cone",0.67592591047287,2,0.600000017881393,1024,1
"monks-2","rect",0.671296358108521,32,0.600000017881393,256,0.01
"monks-2","rect",0.671296298503876,32,0.600000017881393,512,1
"monks-2","rect",0.671296298503876,2,0.600000017881393,1024,1
"monks-2","rect",0.583333373069763,4,0.575000029802322,256,0.01
"monks-2","rect",0.671296358108521,4,0.566666683554649,256,1
"monks-2","cone",0.418981492519379,2,0.566666683554649,512,0.1
"monks-2","cone",0.328703731298447,4,0.533333349227905,1024,1
"monks-2","rect",0.671296358108521,32,0.533333349227905,512,0.01
"monks-2","rect",0.328703731298447,32,0.533333349227905,1024,1
"monks-2","rect",0.622685194015503,2,0.533333349227905,512,1
"monks-2","rect",0.328703731298447,32,0.533333349227905,256,1
"monks-2","rect",0.5,2,0.525000020861626,256,0.1
"monks-2","cone",0.671296298503876,3,0.466666680574417,1024,1
"monks-2","cone",0.606481492519379,3,0.400000011920929,256,1
