"dataset","nhidden","learningrate","nlayers","valAccuracy","testAccuracy","layerForm"
"steel-plates",256,0.1,4,0.757894718647003,0.758762896060944,"rect"
"steel-plates",256,0.1,8,0.756140327453613,0.754639208316803,"rect"
"steel-plates",512,0.1,4,0.741520458459854,0.767010271549225,"rect"
"steel-plates",512,0.01,3,0.740935671329498,0.734020590782166,"cone"
"steel-plates",512,0.01,3,0.739181262254715,0.76907217502594,"rect"
"steel-plates",512,0.1,4,0.738011705875397,0.756701052188873,"cone"
"steel-plates",256,0.01,3,0.737426894903183,0.754639148712158,"cone"
"steel-plates",1024,0.01,2,0.737426882982254,0.775257766246796,"rect"
"steel-plates",1024,0.01,8,0.736842077970505,0.740206301212311,"rect"
"steel-plates",512,0.01,2,0.735672509670258,0.767010271549225,"rect"
"steel-plates",512,1,8,0.735672497749329,0.721649587154388,"cone"
"steel-plates",256,0.01,2,0.735087704658508,0.740206241607666,"rect"
"steel-plates",1024,0.01,4,0.734502911567688,0.748453617095947,"cone"
"steel-plates",1024,0.1,3,0.733333337306976,0.758762836456299,"rect"
"steel-plates",512,0.01,4,0.73216370344162,0.777319550514221,"rect"
"steel-plates",512,0.1,2,0.731578952074051,0.779381513595581,"rect"
"steel-plates",1024,0.1,4,0.730409330129624,0.764948487281799,"cone"
"steel-plates",1024,0.01,3,0.729239773750305,0.744329869747162,"cone"
"steel-plates",256,0.01,2,0.729239767789841,0.740206241607666,"cone"
"steel-plates",1024,0.1,3,0.729239767789841,0.758762955665588,"cone"
"steel-plates",1024,0.1,2,0.729239755868912,0.762886583805084,"rect"
"steel-plates",1024,0.1,4,0.728070169687271,0.777319610118866,"rect"
"steel-plates",512,0.01,8,0.728070151805878,0.73195880651474,"rect"
"steel-plates",256,0.01,3,0.727485364675522,0.752577304840088,"rect"
"steel-plates",1024,0.1,2,0.726315802335739,0.762886643409729,"cone"
"steel-plates",512,0.1,3,0.726315778493881,0.76907217502594,"cone"
"steel-plates",256,1,2,0.726315772533417,0.705154716968536,"cone"
"steel-plates",512,0.1,3,0.725731009244919,0.777319550514221,"rect"
"steel-plates",256,0.01,8,0.725146186351776,0.740206241607666,"rect"
"steel-plates",512,0.01,4,0.72456139922142,0.72989696264267,"cone"
"steel-plates",1024,0.01,3,0.723976612091064,0.748453676700592,"rect"
"steel-plates",1024,0.01,4,0.723391795158386,0.771134078502655,"rect"
"steel-plates",256,0.1,2,0.722807025909424,0.754639208316803,"cone"
"steel-plates",256,0.1,3,0.721637415885925,0.727835059165955,"rect"
"steel-plates",256,0.1,3,0.72105262875557,0.750515520572662,"cone"
"steel-plates",1024,1,4,0.721052616834641,0.721649467945099,"cone"
"steel-plates",512,1,3,0.719883036613464,0.746391773223877,"cone"
"steel-plates",512,0.1,2,0.719298255443573,0.77113401889801,"cone"
"steel-plates",512,1,2,0.718713456392288,0.752577364444733,"cone"
"steel-plates",512,0.1,8,0.718713450431824,0.764948487281799,"cone"
"steel-plates",256,0.1,2,0.716374295949936,0.762886643409729,"rect"
"steel-plates",512,0.01,2,0.716374272108078,0.754639208316803,"cone"
"steel-plates",1024,0.1,8,0.715204685926437,0.767010390758514,"rect"
"steel-plates",256,1,4,0.715204674005508,0.738144338130951,"cone"
"steel-plates",1024,1,2,0.714619868993759,0.73195880651474,"cone"
"steel-plates",256,1,3,0.714035087823868,0.760824739933014,"cone"
"steel-plates",256,0.01,4,0.713450288772583,0.738144278526306,"cone"
"steel-plates",256,0.1,16,0.713450282812119,0.73195880651474,"rect"
"steel-plates",256,0.1,4,0.713450253009796,0.756701052188873,"cone"
"steel-plates",1024,0.1,8,0.712865495681763,0.752577424049377,"cone"
"steel-plates",512,0.1,8,0.710526305437088,0.764948487281799,"rect"
"steel-plates",256,0.01,4,0.709941548109055,0.746391832828522,"rect"
"steel-plates",512,1,4,0.709941506385803,0.756701052188873,"cone"
"steel-plates",256,1,8,0.708771914243698,0.742268085479736,"cone"
"steel-plates",1024,0.01,2,0.707602334022522,0.764948487281799,"cone"
"steel-plates",256,0.1,8,0.705263161659241,0.727835059165955,"cone"
"steel-plates",1024,1,8,0.696491235494614,0.725773215293884,"cone"
"steel-plates",1024,1,3,0.691228044033051,0.740206241607666,"cone"
"steel-plates",1024,0.01,16,0.678362572193146,0.729896903038025,"rect"
"steel-plates",256,0.01,16,0.673099434375763,0.620618581771851,"cone"
"steel-plates",1024,0.01,16,0.665497082471848,0.686597943305969,"cone"
"steel-plates",512,0.01,16,0.662573122978211,0.719587624073029,"rect"
"steel-plates",256,0.01,16,0.661403489112854,0.703092813491821,"rect"
"steel-plates",512,0.01,8,0.659064316749573,0.643298983573914,"cone"
"steel-plates",1024,0.01,8,0.657894736528397,0.663917541503906,"cone"
"steel-plates",1024,0.1,16,0.64619882106781,0.682474255561829,"cone"
"steel-plates",256,0.01,8,0.638011705875397,0.651546359062195,"cone"
"steel-plates",512,0.01,16,0.622222220897675,0.639175295829773,"cone"
"steel-plates",256,0.1,16,0.607017540931702,0.635051548480988,"cone"
"steel-plates",1024,0.01,32,0.588888901472092,0.585567057132721,"rect"
"steel-plates",512,1,16,0.561403512954712,0.492783516645432,"cone"
"steel-plates",512,0.1,16,0.526315808296204,0.501030921936035,"cone"
"steel-plates",256,1,16,0.457894742488861,0.360824763774872,"cone"
"steel-plates",1024,0.01,32,0.397660821676254,0.352577358484268,"cone"
"steel-plates",512,0.01,32,0.397660821676254,0.352577358484268,"cone"
"steel-plates",256,0.01,32,0.397660821676254,0.352577358484268,"cone"
"steel-plates",256,0.01,32,0.397660821676254,0.352577358484268,"rect"
"steel-plates",1024,0.1,32,0.397660821676254,0.352577358484268,"cone"
"steel-plates",1024,0.1,32,0.397660821676254,0.352577358484268,"rect"
"steel-plates",512,0.1,32,0.397660821676254,0.352577328681946,"cone"
"steel-plates",512,0.1,32,0.397660821676254,0.352577328681946,"rect"
"steel-plates",256,0.1,32,0.397660821676254,0.352577358484268,"cone"
"steel-plates",256,0.1,32,0.397660821676254,0.352577328681946,"rect"
"steel-plates",1024,1,32,0.397660821676254,0.352577358484268,"cone"
"steel-plates",512,1,32,0.397660821676254,0.352577328681946,"cone"
"steel-plates",256,1,32,0.397660821676254,0.352577358484268,"cone"
"steel-plates",1024,1,16,0.397660821676254,0.352577358484268,"cone"
"steel-plates",512,0.1,16,0.394736841320992,0.352577328681946,"rect"
"steel-plates",1024,0.1,16,0.383625727891922,0.352577358484268,"rect"
"steel-plates",512,0.01,32,0.373684212565422,0.348453640937805,"rect"
"steel-plates",256,1,3,0.319883041083813,0.200000017881393,"rect"
"steel-plates",1024,1,3,0.266081866621971,0.206185579299927,"rect"
"steel-plates",1024,1,16,0.260233919322491,0.0371134057641029,"rect"
"steel-plates",1024,1,4,0.260233919322491,0.352577328681946,"rect"
"steel-plates",512,1,32,0.255555555969477,0.352577328681946,"rect"
"steel-plates",1024,1,2,0.24561403542757,0.206185579299927,"rect"
"steel-plates",512,1,4,0.243859649449587,0.0969072133302689,"rect"
"steel-plates",256,1,2,0.238011696189642,0.200000017881393,"rect"
"steel-plates",512,1,3,0.236842104792595,0.0268041230738163,"rect"
"steel-plates",256,1,4,0.236257310956717,0.0804123729467392,"rect"
"steel-plates",256,1,16,0.229239767789841,0.352577358484268,"rect"
"steel-plates",256,1,8,0.203508772701025,0.0804123729467392,"rect"
"steel-plates",1024,1,32,0.201169590651989,0.352577358484268,"rect"
"steel-plates",1024,1,8,0.199415205419064,0.0371134057641029,"rect"
"steel-plates",512,1,16,0.18596491292119,0.352577358484268,"rect"
"steel-plates",512,1,2,0.171345032006502,0.0804123729467392,"rect"
"steel-plates",512,1,8,0.120467837154865,0.0804123729467392,"rect"
"steel-plates",256,1,32,0.0883040942251682,0.0804123729467392,"rect"
